
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6553862646625748, 'l1_ratio': 0.4694978061277798} - results: ROC_AUC: 0.2004498, PRECISION: 0.0437282, PRECISION_RECALL_MIN_DEN: 0.1564793, RECALL: 0.1518971, MAP: 0.0727364, MRR: 0.1498958, NDCG: 0.1089356, F1: 0.0679059, HIT_RATE: 0.4372819, ARHR: 0.1749637, NOVELTY: 0.0049557, AVERAGE_POPULARITY: 0.0831465, DIVERSITY_MEAN_INTER_LIST: 0.9912514, DIVERSITY_HERFINDAHL: 0.9991076, COVERAGE_ITEM: 0.4943677, COVERAGE_ITEM_CORRECT: 0.0576015, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2245627, DIVERSITY_GINI: 0.1795243, SHANNON_ENTROPY: 12.0467564, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.4973334775913678, 'l1_ratio': 0.6790274919219236} - results: ROC_AUC: 0.2012163, PRECISION: 0.0437598, PRECISION_RECALL_MIN_DEN: 0.1567856, RECALL: 0.1522370, MAP: 0.0729078, MRR: 0.1504882, NDCG: 0.1092117, F1: 0.0679780, HIT_RATE: 0.4375979, ARHR: 0.1755760, NOVELTY: 0.0049414, AVERAGE_POPULARITY: 0.0869586, DIVERSITY_MEAN_INTER_LIST: 0.9903871, DIVERSITY_HERFINDAHL: 0.9990212, COVERAGE_ITEM: 0.4950067, COVERAGE_ITEM_CORRECT: 0.0572320, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250912, DIVERSITY_GINI: 0.1785091, SHANNON_ENTROPY: 11.9979641, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.7578791500238017, 'l1_ratio': 0.03747135151203863} - results: ROC_AUC: 0.1781602, PRECISION: 0.0377309, PRECISION_RECALL_MIN_DEN: 0.1312816, RECALL: 0.1270564, MAP: 0.0624268, MRR: 0.1326056, NDCG: 0.0933311, F1: 0.0581811, HIT_RATE: 0.3773089, ARHR: 0.1534538, NOVELTY: 0.0048802, AVERAGE_POPULARITY: 0.0945083, DIVERSITY_MEAN_INTER_LIST: 0.9886150, DIVERSITY_HERFINDAHL: 0.9988440, COVERAGE_ITEM: 0.4587026, COVERAGE_ITEM_CORRECT: 0.0445505, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1969045, DIVERSITY_GINI: 0.1504756, SHANNON_ENTROPY: 11.6889533, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7404583701408723, 'l1_ratio': 0.8295312679427578} - results: ROC_AUC: 0.1770776, PRECISION: 0.0380193, PRECISION_RECALL_MIN_DEN: 0.1387261, RECALL: 0.1348188, MAP: 0.0627194, MRR: 0.1291972, NDCG: 0.0949632, F1: 0.0593120, HIT_RATE: 0.3801931, ARHR: 0.1493483, NOVELTY: 0.0051283, AVERAGE_POPULARITY: 0.0493088, DIVERSITY_MEAN_INTER_LIST: 0.9961495, DIVERSITY_HERFINDAHL: 0.9995973, COVERAGE_ITEM: 0.5702252, COVERAGE_ITEM_CORRECT: 0.0574244, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2004027, DIVERSITY_GINI: 0.2516675, SHANNON_ENTROPY: 12.7818643, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8129450544571467, 'l1_ratio': 0.8309127061774344} - results: ROC_AUC: 0.1637468, PRECISION: 0.0349843, PRECISION_RECALL_MIN_DEN: 0.1280088, RECALL: 0.1243806, MAP: 0.0571171, MRR: 0.1181602, NDCG: 0.0869814, F1: 0.0546083, HIT_RATE: 0.3498434, ARHR: 0.1357431, NOVELTY: 0.0051724, AVERAGE_POPULARITY: 0.0402904, DIVERSITY_MEAN_INTER_LIST: 0.9969076, DIVERSITY_HERFINDAHL: 0.9996731, COVERAGE_ITEM: 0.5815823, COVERAGE_ITEM_CORRECT: 0.0554610, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1871398, DIVERSITY_GINI: 0.2651328, SHANNON_ENTROPY: 12.9099889, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9625052770589412, 'l1_ratio': 0.027858412566941555} - results: ROC_AUC: 0.1742311, PRECISION: 0.0369002, PRECISION_RECALL_MIN_DEN: 0.1287690, RECALL: 0.1246148, MAP: 0.0604528, MRR: 0.1292527, NDCG: 0.0908602, F1: 0.0569383, HIT_RATE: 0.3690024, ARHR: 0.1493346, NOVELTY: 0.0049242, AVERAGE_POPULARITY: 0.0856038, DIVERSITY_MEAN_INTER_LIST: 0.9904842, DIVERSITY_HERFINDAHL: 0.9990309, COVERAGE_ITEM: 0.4640924, COVERAGE_ITEM_CORRECT: 0.0446429, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1935322, DIVERSITY_GINI: 0.1563414, SHANNON_ENTROPY: 11.8222767, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.2860124279528788, 'l1_ratio': 0.16020130541580216} - results: ROC_AUC: 0.1806793, PRECISION: 0.0385962, PRECISION_RECALL_MIN_DEN: 0.1345433, RECALL: 0.1302742, MAP: 0.0631002, MRR: 0.1343449, NDCG: 0.0948776, F1: 0.0595468, HIT_RATE: 0.3859620, ARHR: 0.1555620, NOVELTY: 0.0048234, AVERAGE_POPULARITY: 0.1073298, DIVERSITY_MEAN_INTER_LIST: 0.9852009, DIVERSITY_HERFINDAHL: 0.9985027, COVERAGE_ITEM: 0.4468758, COVERAGE_ITEM_CORRECT: 0.0443580, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2017365, DIVERSITY_GINI: 0.1413677, SHANNON_ENTROPY: 11.4822303, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.49929060919153667, 'l1_ratio': 0.42852584645237324} - results: ROC_AUC: 0.1963441, PRECISION: 0.0425021, PRECISION_RECALL_MIN_DEN: 0.1496421, RECALL: 0.1450728, MAP: 0.0706260, MRR: 0.1469181, NDCG: 0.1054327, F1: 0.0657417, HIT_RATE: 0.4250213, ARHR: 0.1712649, NOVELTY: 0.0048893, AVERAGE_POPULARITY: 0.0955635, DIVERSITY_MEAN_INTER_LIST: 0.9884776, DIVERSITY_HERFINDAHL: 0.9988303, COVERAGE_ITEM: 0.4657709, COVERAGE_ITEM_CORRECT: 0.0530279, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2184220, DIVERSITY_GINI: 0.1573178, SHANNON_ENTROPY: 11.7531855, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.005104904296467817, 'l1_ratio': 0.458216086564474} - results: ROC_AUC: 0.1769690, PRECISION: 0.0374445, PRECISION_RECALL_MIN_DEN: 0.1310536, RECALL: 0.1269490, MAP: 0.0613561, MRR: 0.1312216, NDCG: 0.0923708, F1: 0.0578294, HIT_RATE: 0.3744455, ARHR: 0.1515906, NOVELTY: 0.0047971, AVERAGE_POPULARITY: 0.1128136, DIVERSITY_MEAN_INTER_LIST: 0.9834306, DIVERSITY_HERFINDAHL: 0.9983257, COVERAGE_ITEM: 0.4395303, COVERAGE_ITEM_CORRECT: 0.0420327, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967787, DIVERSITY_GINI: 0.1362732, SHANNON_ENTROPY: 11.3759459, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.316756774320298, 'l1_ratio': 0.0875285976974829} - results: ROC_AUC: 0.1793976, PRECISION: 0.0381405, PRECISION_RECALL_MIN_DEN: 0.1330065, RECALL: 0.1287992, MAP: 0.0625217, MRR: 0.1332714, NDCG: 0.0939462, F1: 0.0588504, HIT_RATE: 0.3814053, ARHR: 0.1542350, NOVELTY: 0.0048259, AVERAGE_POPULARITY: 0.1069180, DIVERSITY_MEAN_INTER_LIST: 0.9853011, DIVERSITY_HERFINDAHL: 0.9985127, COVERAGE_ITEM: 0.4503099, COVERAGE_ITEM_CORRECT: 0.0437883, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1996728, DIVERSITY_GINI: 0.1426410, SHANNON_ENTROPY: 11.4918310, 
