SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.6166471046003498, 'l1_ratio': 0.13430775658801622} - results: ROC_AUC: 0.1651721, PRECISION: 0.0332414, PRECISION_RECALL_MIN_DEN: 0.1461520, RECALL: 0.1436970, MAP: 0.0636555, MRR: 0.1181746, NDCG: 0.0955518, F1: 0.0539927, HIT_RATE: 0.3324141, ARHR: 0.1320784, NOVELTY: 0.0047913, AVERAGE_POPULARITY: 0.1076665, DIVERSITY_MEAN_INTER_LIST: 0.9838563, DIVERSITY_HERFINDAHL: 0.9983648, COVERAGE_ITEM: 0.4218287, COVERAGE_ITEM_CORRECT: 0.0368816, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1565371, DIVERSITY_GINI: 0.1420768, SHANNON_ENTROPY: 11.4488637, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.7132359512233724, 'l1_ratio': 0.5012958506801464} - results: ROC_AUC: 0.1346235, PRECISION: 0.0270683, PRECISION_RECALL_MIN_DEN: 0.1172887, RECALL: 0.1151848, MAP: 0.0511921, MRR: 0.0957144, NDCG: 0.0767937, F1: 0.0438353, HIT_RATE: 0.2706831, ARHR: 0.1061126, NOVELTY: 0.0050632, AVERAGE_POPULARITY: 0.0508465, DIVERSITY_MEAN_INTER_LIST: 0.9959517, DIVERSITY_HERFINDAHL: 0.9995740, COVERAGE_ITEM: 0.5399808, COVERAGE_ITEM_CORRECT: 0.0372666, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1292312, DIVERSITY_GINI: 0.2524814, SHANNON_ENTROPY: 12.7667124, 
SearchBayesianSkopt: New best config found. Config 2: {'alpha': 0.5820908460671728, 'l1_ratio': 0.17756098845519488} - results: ROC_AUC: 0.1651475, PRECISION: 0.0333687, PRECISION_RECALL_MIN_DEN: 0.1480108, RECALL: 0.1455811, MAP: 0.0636835, MRR: 0.1178100, NDCG: 0.0959206, F1: 0.0542929, HIT_RATE: 0.3336869, ARHR: 0.1315705, NOVELTY: 0.0048133, AVERAGE_POPULARITY: 0.1033072, DIVERSITY_MEAN_INTER_LIST: 0.9851279, DIVERSITY_HERFINDAHL: 0.9984919, COVERAGE_ITEM: 0.4384216, COVERAGE_ITEM_CORRECT: 0.0379981, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1569146, DIVERSITY_GINI: 0.1533444, SHANNON_ENTROPY: 11.5861378, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.04976131418962916, 'l1_ratio': 0.32145402191310674} - results: ROC_AUC: 0.1488752, PRECISION: 0.0294018, PRECISION_RECALL_MIN_DEN: 0.1266537, RECALL: 0.1243610, MAP: 0.0554033, MRR: 0.1048626, NDCG: 0.0834041, F1: 0.0475594, HIT_RATE: 0.2940178, ARHR: 0.1167156, NOVELTY: 0.0046947, AVERAGE_POPULARITY: 0.1271799, DIVERSITY_MEAN_INTER_LIST: 0.9765959, DIVERSITY_HERFINDAHL: 0.9976389, COVERAGE_ITEM: 0.3576131, COVERAGE_ITEM_CORRECT: 0.0291049, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1396753, DIVERSITY_GINI: 0.1026823, SHANNON_ENTROPY: 10.8728647, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.3003481754004998, 'l1_ratio': 0.5363562930310105} - results: ROC_AUC: 0.1633448, PRECISION: 0.0329444, PRECISION_RECALL_MIN_DEN: 0.1459789, RECALL: 0.1435767, MAP: 0.0626265, MRR: 0.1165943, NDCG: 0.0945871, F1: 0.0535919, HIT_RATE: 0.3294442, ARHR: 0.1300474, NOVELTY: 0.0048476, AVERAGE_POPULARITY: 0.0978012, DIVERSITY_MEAN_INTER_LIST: 0.9864616, DIVERSITY_HERFINDAHL: 0.9986252, COVERAGE_ITEM: 0.4611357, COVERAGE_ITEM_CORRECT: 0.0380366, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1545237, DIVERSITY_GINI: 0.1706531, SHANNON_ENTROPY: 11.7779409, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.7454188855040051, 'l1_ratio': 0.8681924062609482} - results: ROC_AUC: 0.1063264, PRECISION: 0.0215104, PRECISION_RECALL_MIN_DEN: 0.0922324, RECALL: 0.0903862, MAP: 0.0389637, MRR: 0.0740992, NDCG: 0.0593159, F1: 0.0347507, HIT_RATE: 0.2151039, ARHR: 0.0818221, NOVELTY: 0.0051808, AVERAGE_POPULARITY: 0.0286211, DIVERSITY_MEAN_INTER_LIST: 0.9977145, DIVERSITY_HERFINDAHL: 0.9997503, COVERAGE_ITEM: 0.5613859, COVERAGE_ITEM_CORRECT: 0.0338787, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1038128, DIVERSITY_GINI: 0.2809604, SHANNON_ENTROPY: 13.0501924, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.969342831863019, 'l1_ratio': 0.1918468823857568} - results: ROC_AUC: 0.1446449, PRECISION: 0.0292321, PRECISION_RECALL_MIN_DEN: 0.1317150, RECALL: 0.1297754, MAP: 0.0566819, MRR: 0.1028364, NDCG: 0.0851436, F1: 0.0477161, HIT_RATE: 0.2923207, ARHR: 0.1137816, NOVELTY: 0.0049974, AVERAGE_POPULARITY: 0.0624998, DIVERSITY_MEAN_INTER_LIST: 0.9944782, DIVERSITY_HERFINDAHL: 0.9994267, COVERAGE_ITEM: 0.5196920, COVERAGE_ITEM_CORRECT: 0.0392685, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1395495, DIVERSITY_GINI: 0.2282491, SHANNON_ENTROPY: 12.5286092, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.23360962366855592, 'l1_ratio': 0.43564444677495606} - results: ROC_AUC: 0.1646986, PRECISION: 0.0328384, PRECISION_RECALL_MIN_DEN: 0.1457543, RECALL: 0.1433429, MAP: 0.0632861, MRR: 0.1162862, NDCG: 0.0949065, F1: 0.0534353, HIT_RATE: 0.3283835, ARHR: 0.1293432, NOVELTY: 0.0047753, AVERAGE_POPULARITY: 0.1125117, DIVERSITY_MEAN_INTER_LIST: 0.9819024, DIVERSITY_HERFINDAHL: 0.9981694, COVERAGE_ITEM: 0.4155919, COVERAGE_ITEM_CORRECT: 0.0355342, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1560337, DIVERSITY_GINI: 0.1372339, SHANNON_ENTROPY: 11.3516412, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.574484963327474, 'l1_ratio': 0.24054347854169128} - results: ROC_AUC: 0.1639050, PRECISION: 0.0333475, PRECISION_RECALL_MIN_DEN: 0.1468047, RECALL: 0.1442838, MAP: 0.0635599, MRR: 0.1180590, NDCG: 0.0955809, F1: 0.0541740, HIT_RATE: 0.3334748, ARHR: 0.1317885, NOVELTY: 0.0048564, AVERAGE_POPULARITY: 0.0947547, DIVERSITY_MEAN_INTER_LIST: 0.9875532, DIVERSITY_HERFINDAHL: 0.9987344, COVERAGE_ITEM: 0.4620212, COVERAGE_ITEM_CORRECT: 0.0389605, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1559079, DIVERSITY_GINI: 0.1724203, SHANNON_ENTROPY: 11.8300554, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.9274516309601859, 'l1_ratio': 0.27095104924252983} - results: ROC_AUC: 0.1361743, PRECISION: 0.0276623, PRECISION_RECALL_MIN_DEN: 0.1238380, RECALL: 0.1218731, MAP: 0.0537569, MRR: 0.0972191, NDCG: 0.0803415, F1: 0.0450902, HIT_RATE: 0.2766228, ARHR: 0.1076234, NOVELTY: 0.0050388, AVERAGE_POPULARITY: 0.0544013, DIVERSITY_MEAN_INTER_LIST: 0.9955852, DIVERSITY_HERFINDAHL: 0.9995374, COVERAGE_ITEM: 0.5318191, COVERAGE_ITEM_CORRECT: 0.0384986, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1312445, DIVERSITY_GINI: 0.2432917, SHANNON_ENTROPY: 12.6897733, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.5323931653215068, 'l1_ratio': 0.6354965591154577} - results: ROC_AUC: 0.1413794, PRECISION: 0.0285532, PRECISION_RECALL_MIN_DEN: 0.1225027, RECALL: 0.1202373, MAP: 0.0537569, MRR: 0.1009198, NDCG: 0.0805086, F1: 0.0461476, HIT_RATE: 0.2855325, ARHR: 0.1128461, NOVELTY: 0.0050238, AVERAGE_POPULARITY: 0.0597534, DIVERSITY_MEAN_INTER_LIST: 0.9947955, DIVERSITY_HERFINDAHL: 0.9994584, COVERAGE_ITEM: 0.5328585, COVERAGE_ITEM_CORRECT: 0.0374206, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1335095, DIVERSITY_GINI: 0.2409249, SHANNON_ENTROPY: 12.6282501, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'alpha': 0.9644881934821145, 'l1_ratio': 0.2074427552829387} - results: ROC_AUC: 0.1419101, PRECISION: 0.0290624, PRECISION_RECALL_MIN_DEN: 0.1312570, RECALL: 0.1293072, MAP: 0.0558955, MRR: 0.1014178, NDCG: 0.0842638, F1: 0.0474583, HIT_RATE: 0.2906237, ARHR: 0.1121784, NOVELTY: 0.0050095, AVERAGE_POPULARITY: 0.0603718, DIVERSITY_MEAN_INTER_LIST: 0.9947849, DIVERSITY_HERFINDAHL: 0.9994574, COVERAGE_ITEM: 0.5225024, COVERAGE_ITEM_CORRECT: 0.0393455, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1382912, DIVERSITY_GINI: 0.2318944, SHANNON_ENTROPY: 12.5704903, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'alpha': 0.2940677735104911, 'l1_ratio': 0.04680778540329667} - results: ROC_AUC: 0.1497275, PRECISION: 0.0295927, PRECISION_RECALL_MIN_DEN: 0.1275184, RECALL: 0.1252098, MAP: 0.0555530, MRR: 0.1053411, NDCG: 0.0837617, F1: 0.0478713, HIT_RATE: 0.2959270, ARHR: 0.1171383, NOVELTY: 0.0046981, AVERAGE_POPULARITY: 0.1260010, DIVERSITY_MEAN_INTER_LIST: 0.9772397, DIVERSITY_HERFINDAHL: 0.9977032, COVERAGE_ITEM: 0.3571511, COVERAGE_ITEM_CORRECT: 0.0292589, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1411854, DIVERSITY_GINI: 0.1027034, SHANNON_ENTROPY: 10.8892600, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'alpha': 0.4128842385758291, 'l1_ratio': 0.33389106976993904} - results: ROC_AUC: 0.1643099, PRECISION: 0.0332202, PRECISION_RECALL_MIN_DEN: 0.1469284, RECALL: 0.1445211, MAP: 0.0634330, MRR: 0.1174181, NDCG: 0.0954937, F1: 0.0540226, HIT_RATE: 0.3322020, ARHR: 0.1311952, NOVELTY: 0.0048316, AVERAGE_POPULARITY: 0.0999094, DIVERSITY_MEAN_INTER_LIST: 0.9859563, DIVERSITY_HERFINDAHL: 0.9985747, COVERAGE_ITEM: 0.4537055, COVERAGE_ITEM_CORRECT: 0.0383446, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1554046, DIVERSITY_GINI: 0.1644738, SHANNON_ENTROPY: 11.7080611, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'alpha': 0.1435305958456611, 'l1_ratio': 0.44456533344224847} - results: ROC_AUC: 0.1597598, PRECISION: 0.0312898, PRECISION_RECALL_MIN_DEN: 0.1380957, RECALL: 0.1357356, MAP: 0.0606698, MRR: 0.1119719, NDCG: 0.0906550, F1: 0.0508562, HIT_RATE: 0.3128978, ARHR: 0.1244725, NOVELTY: 0.0047316, AVERAGE_POPULARITY: 0.1206982, DIVERSITY_MEAN_INTER_LIST: 0.9790254, DIVERSITY_HERFINDAHL: 0.9978818, COVERAGE_ITEM: 0.3827526, COVERAGE_ITEM_CORRECT: 0.0328008, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1489870, DIVERSITY_GINI: 0.1166585, SHANNON_ENTROPY: 11.0803793, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'alpha': 0.2204525600054082, 'l1_ratio': 0.982237452355549} - results: ROC_AUC: 0.1597361, PRECISION: 0.0325202, PRECISION_RECALL_MIN_DEN: 0.1425626, RECALL: 0.1401320, MAP: 0.0613905, MRR: 0.1145995, NDCG: 0.0926086, F1: 0.0527895, HIT_RATE: 0.3252015, ARHR: 0.1281542, NOVELTY: 0.0048936, AVERAGE_POPULARITY: 0.0886122, DIVERSITY_MEAN_INTER_LIST: 0.9888868, DIVERSITY_HERFINDAHL: 0.9988677, COVERAGE_ITEM: 0.4859673, COVERAGE_ITEM_CORRECT: 0.0385371, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1518812, DIVERSITY_GINI: 0.1915611, SHANNON_ENTROPY: 12.0279343, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'alpha': 0.22794641392347798, 'l1_ratio': 0.3691694472309824} - results: ROC_AUC: 0.1623283, PRECISION: 0.0320747, PRECISION_RECALL_MIN_DEN: 0.1420432, RECALL: 0.1396798, MAP: 0.0624948, MRR: 0.1145068, NDCG: 0.0931992, F1: 0.0521696, HIT_RATE: 0.3207467, ARHR: 0.1273256, NOVELTY: 0.0047547, AVERAGE_POPULARITY: 0.1161708, DIVERSITY_MEAN_INTER_LIST: 0.9806552, DIVERSITY_HERFINDAHL: 0.9980447, COVERAGE_ITEM: 0.3997305, COVERAGE_ITEM_CORRECT: 0.0341482, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1525104, DIVERSITY_GINI: 0.1271540, SHANNON_ENTROPY: 11.2249343, 
