
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8801166348502029, 'l1_ratio': 0.5890503214643263, 'topK': 133, 'normalize': True} - results: ROC_AUC: 0.1962138, PRECISION: 0.0427979, PRECISION_RECALL_MIN_DEN: 0.1532786, RECALL: 0.1486684, MAP: 0.0707940, MRR: 0.1446325, NDCG: 0.1060361, F1: 0.0664613, HIT_RATE: 0.4279795, ARHR: 0.1693331, NOVELTY: 0.0050712, AVERAGE_POPULARITY: 0.0624065, DIVERSITY_MEAN_INTER_LIST: 0.9949128, DIVERSITY_HERFINDAHL: 0.9994737, COVERAGE_ITEM: 0.5457555, COVERAGE_ITEM_CORRECT: 0.0619596, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193784, DIVERSITY_GINI: 0.2249806, SHANNON_ENTROPY: 12.5383323, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.27279057039783056, 'l1_ratio': 0.5088044671463908, 'topK': 742, 'normalize': True} - results: ROC_AUC: 0.1851693, PRECISION: 0.0403174, PRECISION_RECALL_MIN_DEN: 0.1402213, RECALL: 0.1358228, MAP: 0.0654561, MRR: 0.1381166, NDCG: 0.0984766, F1: 0.0621753, HIT_RATE: 0.4031745, ARHR: 0.1609330, NOVELTY: 0.0048873, AVERAGE_POPULARITY: 0.1007361, DIVERSITY_MEAN_INTER_LIST: 0.9871427, DIVERSITY_HERFINDAHL: 0.9986968, COVERAGE_ITEM: 0.4689124, COVERAGE_ITEM_CORRECT: 0.0486699, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2083050, DIVERSITY_GINI: 0.1608740, SHANNON_ENTROPY: 11.7362746, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.5223092746721534, 'l1_ratio': 0.17421376122956148, 'topK': 329, 'normalize': True} - results: ROC_AUC: 0.1812769, PRECISION: 0.0386294, PRECISION_RECALL_MIN_DEN: 0.1340519, RECALL: 0.1296962, MAP: 0.0633563, MRR: 0.1354018, NDCG: 0.0949736, F1: 0.0595265, HIT_RATE: 0.3862937, ARHR: 0.1570364, NOVELTY: 0.0049332, AVERAGE_POPULARITY: 0.0882570, DIVERSITY_MEAN_INTER_LIST: 0.9902999, DIVERSITY_HERFINDAHL: 0.9990125, COVERAGE_ITEM: 0.4797844, COVERAGE_ITEM_CORRECT: 0.0474225, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2008808, DIVERSITY_GINI: 0.1678918, SHANNON_ENTROPY: 11.9099415, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.3457198106385941, 'l1_ratio': 0.39405237051484776, 'topK': 505, 'normalize': False} - results: ROC_AUC: 0.1981735, PRECISION: 0.0432424, PRECISION_RECALL_MIN_DEN: 0.1560623, RECALL: 0.1515237, MAP: 0.0714633, MRR: 0.1463522, NDCG: 0.1074978, F1: 0.0672828, HIT_RATE: 0.4324243, ARHR: 0.1709083, NOVELTY: 0.0050370, AVERAGE_POPULARITY: 0.0671053, DIVERSITY_MEAN_INTER_LIST: 0.9941146, DIVERSITY_HERFINDAHL: 0.9993939, COVERAGE_ITEM: 0.5326968, COVERAGE_ITEM_CORRECT: 0.0608739, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2223984, DIVERSITY_GINI: 0.2139615, SHANNON_ENTROPY: 12.4286693, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.7740966945536553, 'l1_ratio': 0.5774737397485529, 'topK': 989, 'normalize': True} - results: ROC_AUC: 0.1985438, PRECISION: 0.0435649, PRECISION_RECALL_MIN_DEN: 0.1571419, RECALL: 0.1526676, MAP: 0.0721173, MRR: 0.1479727, NDCG: 0.1084190, F1: 0.0677855, HIT_RATE: 0.4356487, ARHR: 0.1727482, NOVELTY: 0.0050099, AVERAGE_POPULARITY: 0.0722042, DIVERSITY_MEAN_INTER_LIST: 0.9932712, DIVERSITY_HERFINDAHL: 0.9993096, COVERAGE_ITEM: 0.5082425, COVERAGE_ITEM_CORRECT: 0.0597036, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244872, DIVERSITY_GINI: 0.1941940, SHANNON_ENTROPY: 12.2557763, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.03277918971401817, 'l1_ratio': 0.8605160701841275, 'topK': 201, 'normalize': False} - results: ROC_AUC: 0.1858975, PRECISION: 0.0408272, PRECISION_RECALL_MIN_DEN: 0.1427812, RECALL: 0.1382586, MAP: 0.0661745, MRR: 0.1383177, NDCG: 0.0995743, F1: 0.0630367, HIT_RATE: 0.4082724, ARHR: 0.1616221, NOVELTY: 0.0049320, AVERAGE_POPULARITY: 0.0933581, DIVERSITY_MEAN_INTER_LIST: 0.9887571, DIVERSITY_HERFINDAHL: 0.9988582, COVERAGE_ITEM: 0.4929971, COVERAGE_ITEM_CORRECT: 0.0520731, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2091859, DIVERSITY_GINI: 0.1809792, SHANNON_ENTROPY: 11.9634666, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3538288925293486, 'l1_ratio': 0.47095030134461, 'topK': 120, 'normalize': False} - results: ROC_AUC: 0.1903190, PRECISION: 0.0415571, PRECISION_RECALL_MIN_DEN: 0.1493719, RECALL: 0.1449211, MAP: 0.0689931, MRR: 0.1406868, NDCG: 0.1033030, F1: 0.0645915, HIT_RATE: 0.4155714, ARHR: 0.1642412, NOVELTY: 0.0050896, AVERAGE_POPULARITY: 0.0575105, DIVERSITY_MEAN_INTER_LIST: 0.9954939, DIVERSITY_HERFINDAHL: 0.9995318, COVERAGE_ITEM: 0.5737440, COVERAGE_ITEM_CORRECT: 0.0614668, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2139424, DIVERSITY_GINI: 0.2493231, SHANNON_ENTROPY: 12.7107873, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9295190455581253, 'l1_ratio': 0.5840351024434728, 'topK': 165, 'normalize': False} - results: ROC_AUC: 0.1551632, PRECISION: 0.0336691, PRECISION_RECALL_MIN_DEN: 0.1216914, RECALL: 0.1180067, MAP: 0.0534096, MRR: 0.1111035, NDCG: 0.0819020, F1: 0.0523898, HIT_RATE: 0.3366915, ARHR: 0.1274442, NOVELTY: 0.0052022, AVERAGE_POPULARITY: 0.0335807, DIVERSITY_MEAN_INTER_LIST: 0.9975102, DIVERSITY_HERFINDAHL: 0.9997334, COVERAGE_ITEM: 0.6071299, COVERAGE_ITEM_CORRECT: 0.0563388, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1806720, DIVERSITY_GINI: 0.2889445, SHANNON_ENTROPY: 13.0688957, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.9886117612627605, 'l1_ratio': 0.39800880252239457, 'topK': 24, 'normalize': True} - results: ROC_AUC: 0.1824342, PRECISION: 0.0389544, PRECISION_RECALL_MIN_DEN: 0.1373781, RECALL: 0.1329246, MAP: 0.0653082, MRR: 0.1352862, NDCG: 0.0969956, F1: 0.0602501, HIT_RATE: 0.3895437, ARHR: 0.1571239, NOVELTY: 0.0050804, AVERAGE_POPULARITY: 0.0642178, DIVERSITY_MEAN_INTER_LIST: 0.9945861, DIVERSITY_HERFINDAHL: 0.9994410, COVERAGE_ITEM: 0.5535553, COVERAGE_ITEM_CORRECT: 0.0557921, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2017868, DIVERSITY_GINI: 0.2251318, SHANNON_ENTROPY: 12.5005770, 
