
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1591668, PRECISION: 0.0334542, PRECISION_RECALL_MIN_DEN: 0.1217856, RECALL: 0.1185948, MAP: 0.0538827, MRR: 0.1136266, NDCG: 0.0829500, F1: 0.0521852, HIT_RATE: 0.3345415, ARHR: 0.1293254, NOVELTY: 0.0051315, AVERAGE_POPULARITY: 0.0408025, DIVERSITY_MEAN_INTER_LIST: 0.9970761, DIVERSITY_HERFINDAHL: 0.9996900, COVERAGE_ITEM: 0.5475881, COVERAGE_ITEM_CORRECT: 0.0544986, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1816283, DIVERSITY_GINI: 0.2384625, SHANNON_ENTROPY: 12.7890878, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1949771, PRECISION: 0.0425305, PRECISION_RECALL_MIN_DEN: 0.1518197, RECALL: 0.1472742, MAP: 0.0705085, MRR: 0.1450975, NDCG: 0.1055508, F1: 0.0659991, HIT_RATE: 0.4253050, ARHR: 0.1694884, NOVELTY: 0.0049967, AVERAGE_POPULARITY: 0.0761513, DIVERSITY_MEAN_INTER_LIST: 0.9926919, DIVERSITY_HERFINDAHL: 0.9992517, COVERAGE_ITEM: 0.5136631, COVERAGE_ITEM_CORRECT: 0.0581713, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2187492, DIVERSITY_GINI: 0.1980320, SHANNON_ENTROPY: 12.2580595, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1495422, PRECISION: 0.0314976, PRECISION_RECALL_MIN_DEN: 0.1142695, RECALL: 0.1112030, MAP: 0.0501085, MRR: 0.1058181, NDCG: 0.0774165, F1: 0.0490882, HIT_RATE: 0.3149756, ARHR: 0.1202079, NOVELTY: 0.0051741, AVERAGE_POPULARITY: 0.0357610, DIVERSITY_MEAN_INTER_LIST: 0.9974193, DIVERSITY_HERFINDAHL: 0.9997243, COVERAGE_ITEM: 0.5633725, COVERAGE_ITEM_CORRECT: 0.0530125, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1724173, DIVERSITY_GINI: 0.2557840, SHANNON_ENTROPY: 12.9157960, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1784089, PRECISION: 0.0384807, PRECISION_RECALL_MIN_DEN: 0.1382737, RECALL: 0.1342270, MAP: 0.0631099, MRR: 0.1303740, NDCG: 0.0952663, F1: 0.0598126, HIT_RATE: 0.3848068, ARHR: 0.1513176, NOVELTY: 0.0050862, AVERAGE_POPULARITY: 0.0559056, DIVERSITY_MEAN_INTER_LIST: 0.9958214, DIVERSITY_HERFINDAHL: 0.9995645, COVERAGE_ITEM: 0.5453013, COVERAGE_ITEM_CORRECT: 0.0571396, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2012835, DIVERSITY_GINI: 0.2308053, SHANNON_ENTROPY: 12.6448050, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1815641, PRECISION: 0.0386456, PRECISION_RECALL_MIN_DEN: 0.1350095, RECALL: 0.1306806, MAP: 0.0633694, MRR: 0.1349964, NDCG: 0.0952212, F1: 0.0596490, HIT_RATE: 0.3864558, ARHR: 0.1563327, NOVELTY: 0.0047675, AVERAGE_POPULARITY: 0.1094929, DIVERSITY_MEAN_INTER_LIST: 0.9853562, DIVERSITY_HERFINDAHL: 0.9985182, COVERAGE_ITEM: 0.3979673, COVERAGE_ITEM_CORRECT: 0.0443195, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2019630, DIVERSITY_GINI: 0.1161161, SHANNON_ENTROPY: 11.2781935, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1543409, PRECISION: 0.0332747, PRECISION_RECALL_MIN_DEN: 0.1177027, RECALL: 0.1136143, MAP: 0.0524203, MRR: 0.1125934, NDCG: 0.0800780, F1: 0.0514724, HIT_RATE: 0.3327473, ARHR: 0.1298285, NOVELTY: 0.0047984, AVERAGE_POPULARITY: 0.0808738, DIVERSITY_MEAN_INTER_LIST: 0.9916089, DIVERSITY_HERFINDAHL: 0.9991434, COVERAGE_ITEM: 0.3413898, COVERAGE_ITEM_CORRECT: 0.0456439, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1760161, DIVERSITY_GINI: 0.0949684, SHANNON_ENTROPY: 11.3398137, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1538687, PRECISION: 0.0325478, PRECISION_RECALL_MIN_DEN: 0.1182695, RECALL: 0.1151728, MAP: 0.0512792, MRR: 0.1099606, NDCG: 0.0798563, F1: 0.0507520, HIT_RATE: 0.3254785, ARHR: 0.1252898, NOVELTY: 0.0050353, AVERAGE_POPULARITY: 0.0494160, DIVERSITY_MEAN_INTER_LIST: 0.9962271, DIVERSITY_HERFINDAHL: 0.9996051, COVERAGE_ITEM: 0.5052782, COVERAGE_ITEM_CORRECT: 0.0525351, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1773248, DIVERSITY_GINI: 0.1983462, SHANNON_ENTROPY: 12.4744939, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1789104, PRECISION: 0.0381682, PRECISION_RECALL_MIN_DEN: 0.1331405, RECALL: 0.1289026, MAP: 0.0623956, MRR: 0.1331864, NDCG: 0.0938743, F1: 0.0588955, HIT_RATE: 0.3816821, ARHR: 0.1539272, NOVELTY: 0.0047645, AVERAGE_POPULARITY: 0.1127452, DIVERSITY_MEAN_INTER_LIST: 0.9840597, DIVERSITY_HERFINDAHL: 0.9983886, COVERAGE_ITEM: 0.4043503, COVERAGE_ITEM_CORRECT: 0.0432647, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2000503, DIVERSITY_GINI: 0.1193002, SHANNON_ENTROPY: 11.2641992, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5446984003945655, 'b': 0.8853041970163904, 'c': 0.3088141769756458, 'normalize': False} - results: ROC_AUC: 0.1873194, PRECISION: 0.0407602, PRECISION_RECALL_MIN_DEN: 0.1459563, RECALL: 0.1415859, MAP: 0.0673080, MRR: 0.1380715, NDCG: 0.1009973, F1: 0.0632966, HIT_RATE: 0.4076017, ARHR: 0.1610715, NOVELTY: 0.0050590, AVERAGE_POPULARITY: 0.0635744, DIVERSITY_MEAN_INTER_LIST: 0.9947173, DIVERSITY_HERFINDAHL: 0.9994541, COVERAGE_ITEM: 0.5353763, COVERAGE_ITEM_CORRECT: 0.0582945, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2106455, DIVERSITY_GINI: 0.2200681, SHANNON_ENTROPY: 12.5121339, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.1131508014582984, 'b': 0.2985694025115306, 'c': 0.3248900134453407, 'normalize': False} - results: ROC_AUC: 0.1952940, PRECISION: 0.0425234, PRECISION_RECALL_MIN_DEN: 0.1496831, RECALL: 0.1450886, MAP: 0.0701365, MRR: 0.1460155, NDCG: 0.1049377, F1: 0.0657687, HIT_RATE: 0.4252342, ARHR: 0.1706337, NOVELTY: 0.0048696, AVERAGE_POPULARITY: 0.0990014, DIVERSITY_MEAN_INTER_LIST: 0.9877602, DIVERSITY_HERFINDAHL: 0.9987586, COVERAGE_ITEM: 0.4551376, COVERAGE_ITEM_CORRECT: 0.0533436, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2178432, DIVERSITY_GINI: 0.1517089, SHANNON_ENTROPY: 11.6949898, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.1690264949509698, 'b': 0.760900178621083, 'c': 0.13499643859738888, 'normalize': True} - results: ROC_AUC: 0.1434599, PRECISION: 0.0302990, PRECISION_RECALL_MIN_DEN: 0.1102833, RECALL: 0.1072905, MAP: 0.0482031, MRR: 0.1012540, NDCG: 0.0744468, F1: 0.0472508, HIT_RATE: 0.3029903, ARHR: 0.1147766, NOVELTY: 0.0052021, AVERAGE_POPULARITY: 0.0323097, DIVERSITY_MEAN_INTER_LIST: 0.9975687, DIVERSITY_HERFINDAHL: 0.9997392, COVERAGE_ITEM: 0.5722425, COVERAGE_ITEM_CORRECT: 0.0519192, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1667548, DIVERSITY_GINI: 0.2654692, SHANNON_ENTROPY: 12.9805095, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.6031557913035522, 'b': 0.21614274887108048, 'c': 0.9919177723285282, 'normalize': False} - results: ROC_AUC: 0.1825154, PRECISION: 0.0391088, PRECISION_RECALL_MIN_DEN: 0.1364101, RECALL: 0.1320490, MAP: 0.0638700, MRR: 0.1356628, NDCG: 0.0960253, F1: 0.0603439, HIT_RATE: 0.3910876, ARHR: 0.1572170, NOVELTY: 0.0047805, AVERAGE_POPULARITY: 0.1113314, DIVERSITY_MEAN_INTER_LIST: 0.9843954, DIVERSITY_HERFINDAHL: 0.9984221, COVERAGE_ITEM: 0.4124196, COVERAGE_ITEM_CORRECT: 0.0450972, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2038002, DIVERSITY_GINI: 0.1241321, SHANNON_ENTROPY: 11.3224226, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'a': 0.2712832907080625, 'b': 0.15153957647934183, 'c': 0.39483554741715265, 'normalize': False} - results: ROC_AUC: 0.1867387, PRECISION: 0.0402686, PRECISION_RECALL_MIN_DEN: 0.1403182, RECALL: 0.1358586, MAP: 0.0659006, MRR: 0.1389307, NDCG: 0.0988568, F1: 0.0621226, HIT_RATE: 0.4026857, ARHR: 0.1614402, NOVELTY: 0.0047967, AVERAGE_POPULARITY: 0.1087492, DIVERSITY_MEAN_INTER_LIST: 0.9852107, DIVERSITY_HERFINDAHL: 0.9985037, COVERAGE_ITEM: 0.4190337, COVERAGE_ITEM_CORRECT: 0.0474225, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2084309, DIVERSITY_GINI: 0.1283262, SHANNON_ENTROPY: 11.3912056, 
