SearchBayesianSkopt-CV: Resuming 'CFW_D_Similarity_Linalg' Failed, no such file exists.

SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 660, 'add_zeros_quota': 0.49195106962972923, 'normalize_similarity': False} - results: ROC_AUC: 0.0922711, PRECISION: 0.0181480, PRECISION_RECALL_MIN_DEN: 0.0731028, RECALL: 0.0716946, MAP: 0.0324844, MRR: 0.0645590, NDCG: 0.0493740, F1: 0.0289632, HIT_RATE: 0.1814798, ARHR: 0.0710126, NOVELTY: 0.0051017, AVERAGE_POPULARITY: 0.0163800, DIVERSITY_MEAN_INTER_LIST: 0.9943491, DIVERSITY_HERFINDAHL: 0.9994161, COVERAGE_ITEM: 0.3866410, COVERAGE_ITEM_CORRECT: 0.0322310, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0988801, DIVERSITY_GINI: 0.1523098, SHANNON_ENTROPY: 12.1105474, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 742, 'add_zeros_quota': 0.3277663828534135, 'normalize_similarity': False} - results: ROC_AUC: 0.0904606, PRECISION: 0.0178831, PRECISION_RECALL_MIN_DEN: 0.0726259, RECALL: 0.0712848, MAP: 0.0317108, MRR: 0.0627011, NDCG: 0.0484989, F1: 0.0285908, HIT_RATE: 0.1788314, ARHR: 0.0687797, NOVELTY: 0.0050965, AVERAGE_POPULARITY: 0.0160237, DIVERSITY_MEAN_INTER_LIST: 0.9942740, DIVERSITY_HERFINDAHL: 0.9994086, COVERAGE_ITEM: 0.3861405, COVERAGE_ITEM_CORRECT: 0.0318306, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0982257, DIVERSITY_GINI: 0.1522926, SHANNON_ENTROPY: 12.1078567, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 247, 'add_zeros_quota': 0.07906875175490093, 'normalize_similarity': True} - results: ROC_AUC: 0.0754353, PRECISION: 0.0155603, PRECISION_RECALL_MIN_DEN: 0.0657206, RECALL: 0.0645821, MAP: 0.0266119, MRR: 0.0499641, NDCG: 0.0415348, F1: 0.0250768, HIT_RATE: 0.1556034, ARHR: 0.0544898, NOVELTY: 0.0050260, AVERAGE_POPULARITY: 0.0145913, DIVERSITY_MEAN_INTER_LIST: 0.9952016, DIVERSITY_HERFINDAHL: 0.9995013, COVERAGE_ITEM: 0.4274803, COVERAGE_ITEM_CORRECT: 0.0284427, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0872027, DIVERSITY_GINI: 0.1728101, SHANNON_ENTROPY: 12.2950093, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 912, 'add_zeros_quota': 0.788642593709324, 'normalize_similarity': False} - results: ROC_AUC: 0.0928679, PRECISION: 0.0181936, PRECISION_RECALL_MIN_DEN: 0.0725735, RECALL: 0.0711268, MAP: 0.0330346, MRR: 0.0660333, NDCG: 0.0497797, F1: 0.0289731, HIT_RATE: 0.1819355, ARHR: 0.0727401, NOVELTY: 0.0051110, AVERAGE_POPULARITY: 0.0166810, DIVERSITY_MEAN_INTER_LIST: 0.9940805, DIVERSITY_HERFINDAHL: 0.9993892, COVERAGE_ITEM: 0.3819365, COVERAGE_ITEM_CORRECT: 0.0322926, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0986032, DIVERSITY_GINI: 0.1487926, SHANNON_ENTROPY: 12.0669611, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 660, 'add_zeros_quota': 0.4040218641090928, 'normalize_similarity': True} - results: ROC_AUC: 0.0826514, PRECISION: 0.0166053, PRECISION_RECALL_MIN_DEN: 0.0687484, RECALL: 0.0675330, MAP: 0.0294001, MRR: 0.0567368, NDCG: 0.0451236, F1: 0.0266557, HIT_RATE: 0.1660533, ARHR: 0.0620847, NOVELTY: 0.0050710, AVERAGE_POPULARITY: 0.0162095, DIVERSITY_MEAN_INTER_LIST: 0.9940839, DIVERSITY_HERFINDAHL: 0.9993896, COVERAGE_ITEM: 0.3991068, COVERAGE_ITEM_CORRECT: 0.0298210, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0919089, DIVERSITY_GINI: 0.1511726, SHANNON_ENTROPY: 12.0636452, 

SearchBayesianSkopt-CV: New best config found. Config 14: {'topK': 76, 'add_zeros_quota': 0.6990037032113234, 'normalize_similarity': False} - results: ROC_AUC: 0.0979115, PRECISION: 0.0191223, PRECISION_RECALL_MIN_DEN: 0.0747075, RECALL: 0.0729857, MAP: 0.0344217, MRR: 0.0704837, NDCG: 0.0517056, F1: 0.0303033, HIT_RATE: 0.1912229, ARHR: 0.0780936, NOVELTY: 0.0050696, AVERAGE_POPULARITY: 0.0162787, DIVERSITY_MEAN_INTER_LIST: 0.9955741, DIVERSITY_HERFINDAHL: 0.9995385, COVERAGE_ITEM: 0.4301444, COVERAGE_ITEM_CORRECT: 0.0341636, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1024538, DIVERSITY_GINI: 0.1842110, SHANNON_ENTROPY: 12.4230268, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 374, 'add_zeros_quota': 0.7383941186083179, 'normalize_similarity': True} - results: ROC_AUC: 0.0858214, PRECISION: 0.0170568, PRECISION_RECALL_MIN_DEN: 0.0686816, RECALL: 0.0673220, MAP: 0.0305861, MRR: 0.0600610, NDCG: 0.0463500, F1: 0.0272170, HIT_RATE: 0.1705675, ARHR: 0.0658745, NOVELTY: 0.0050821, AVERAGE_POPULARITY: 0.0163845, DIVERSITY_MEAN_INTER_LIST: 0.9947954, DIVERSITY_HERFINDAHL: 0.9994607, COVERAGE_ITEM: 0.4051588, COVERAGE_ITEM_CORRECT: 0.0304601, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0931924, DIVERSITY_GINI: 0.1576254, SHANNON_ENTROPY: 12.1585218, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 331, 'add_zeros_quota': 0.3762914241227002, 'normalize_similarity': False} - results: ROC_AUC: 0.0940619, PRECISION: 0.0184853, PRECISION_RECALL_MIN_DEN: 0.0735686, RECALL: 0.0720842, MAP: 0.0328026, MRR: 0.0654878, NDCG: 0.0498377, F1: 0.0294228, HIT_RATE: 0.1848529, ARHR: 0.0720620, NOVELTY: 0.0050856, AVERAGE_POPULARITY: 0.0161708, DIVERSITY_MEAN_INTER_LIST: 0.9949870, DIVERSITY_HERFINDAHL: 0.9994798, COVERAGE_ITEM: 0.3994456, COVERAGE_ITEM_CORRECT: 0.0328701, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1005914, DIVERSITY_GINI: 0.1624799, SHANNON_ENTROPY: 12.2272116, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 811, 'add_zeros_quota': 0.7100975883464582, 'normalize_similarity': False} - results: ROC_AUC: 0.0928575, PRECISION: 0.0182501, PRECISION_RECALL_MIN_DEN: 0.0727495, RECALL: 0.0712984, MAP: 0.0329610, MRR: 0.0659695, NDCG: 0.0497747, F1: 0.0290594, HIT_RATE: 0.1825011, ARHR: 0.0727273, NOVELTY: 0.0051076, AVERAGE_POPULARITY: 0.0166508, DIVERSITY_MEAN_INTER_LIST: 0.9941767, DIVERSITY_HERFINDAHL: 0.9993988, COVERAGE_ITEM: 0.3834610, COVERAGE_ITEM_CORRECT: 0.0323696, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0988801, DIVERSITY_GINI: 0.1499576, SHANNON_ENTROPY: 12.0813834, 
