
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'sgd_mode': 'adagrad', 'epochs': 500, 'use_bias': True, 'batch_size': 8, 'num_factors': 48, 'item_reg': 0.0014656063108674671, 'user_reg': 0.00020598922011883525, 'learning_rate': 0.0002738352068666837, 'negative_interactions_quota': 0.2237336301464815, 'epochs0': 500, 'epochs1': 95, 'epochs2': 35, 'epochs3': 150, 'epochs4': 500} - results: ROC_AUC: 0.0015528, PRECISION: 0.0002727, PRECISION_RECALL_MIN_DEN: 0.0009381, RECALL: 0.0008816, MAP: 0.0003345, MRR: 0.0010019, NDCG: 0.0005739, F1: 0.0004162, HIT_RATE: 0.0027270, ARHR: 0.0010019, NOVELTY: 0.0052131, AVERAGE_POPULARITY: 0.0221312, DIVERSITY_MEAN_INTER_LIST: 0.9983576, DIVERSITY_HERFINDAHL: 0.9998168, COVERAGE_ITEM: 0.5471954, COVERAGE_ITEM_CORRECT: 0.0004620, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0018120, DIVERSITY_GINI: 0.2809190, SHANNON_ENTROPY: 13.1594826, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'sgd_mode': 'sgd', 'epochs': 500, 'use_bias': False, 'batch_size': 2, 'num_factors': 94, 'item_reg': 0.00549212856902173, 'user_reg': 0.002806098847241682, 'learning_rate': 0.005665940933685619, 'negative_interactions_quota': 0.0037482225037164816, 'epochs0': 5, 'epochs1': 25, 'epochs2': 5, 'epochs3': 5, 'epochs4': 5} - results: ROC_AUC: 0.0005346, PRECISION: 0.0001175, PRECISION_RECALL_MIN_DEN: 0.0003753, RECALL: 0.0003546, MAP: 0.0001012, MRR: 0.0003561, NDCG: 0.0002108, F1: 0.0001736, HIT_RATE: 0.0011748, ARHR: 0.0003561, NOVELTY: 0.0050087, AVERAGE_POPULARITY: 0.0110314, DIVERSITY_MEAN_INTER_LIST: 0.9992667, DIVERSITY_HERFINDAHL: 0.9999077, COVERAGE_ITEM: 0.6999654, COVERAGE_ITEM_CORRECT: 0.0002387, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0007802, DIVERSITY_GINI: 0.4218898, SHANNON_ENTROPY: 13.7611014, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'sgd_mode': 'sgd', 'epochs': 500, 'use_bias': True, 'batch_size': 1024, 'num_factors': 91, 'item_reg': 6.764504994282582e-05, 'user_reg': 1.6943009358762846e-05, 'learning_rate': 0.0010246835127283424, 'negative_interactions_quota': 0.492186641625986, 'epochs0': 5, 'epochs1': 5, 'epochs2': 5, 'epochs3': 5, 'epochs4': 10} - results: ROC_AUC: 0.0006824, PRECISION: 0.0001213, PRECISION_RECALL_MIN_DEN: 0.0003652, RECALL: 0.0003403, MAP: 0.0001369, MRR: 0.0003899, NDCG: 0.0002333, F1: 0.0001765, HIT_RATE: 0.0012131, ARHR: 0.0003899, NOVELTY: 0.0050123, AVERAGE_POPULARITY: 0.0110752, DIVERSITY_MEAN_INTER_LIST: 0.9992485, DIVERSITY_HERFINDAHL: 0.9999059, COVERAGE_ITEM: 0.6919346, COVERAGE_ITEM_CORRECT: 0.0002464, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0008053, DIVERSITY_GINI: 0.4153869, SHANNON_ENTROPY: 13.7390746, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'sgd_mode': 'sgd', 'epochs': 500, 'use_bias': True, 'batch_size': 1, 'num_factors': 13, 'item_reg': 5.870783539707959e-05, 'user_reg': 8.322864969891626e-05, 'learning_rate': 0.012982647331468984, 'negative_interactions_quota': 0.362781788096307, 'epochs0': 5, 'epochs1': 5, 'epochs2': 5, 'epochs3': 5, 'epochs4': 5} - results: ROC_AUC: 0.0319071, PRECISION: 0.0057606, PRECISION_RECALL_MIN_DEN: 0.0221852, RECALL: 0.0215588, MAP: 0.0087145, MRR: 0.0209329, NDCG: 0.0142662, F1: 0.0090907, HIT_RATE: 0.0576063, ARHR: 0.0219748, NOVELTY: 0.0036746, AVERAGE_POPULARITY: 0.4322468, DIVERSITY_MEAN_INTER_LIST: 0.2793413, DIVERSITY_HERFINDAHL: 0.9279288, COVERAGE_ITEM: 0.0016015, COVERAGE_ITEM_CORRECT: 0.0008239, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0346798, DIVERSITY_GINI: 0.0005255, SHANNON_ENTROPY: 4.0223774, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'sgd_mode': 'sgd', 'epochs': 500, 'use_bias': True, 'batch_size': 1, 'num_factors': 46, 'item_reg': 0.0003161277115532252, 'user_reg': 1.4886362241744478e-05, 'learning_rate': 0.0017276863171670521, 'negative_interactions_quota': 0.1960309016980294, 'epochs0': 15, 'epochs1': 15, 'epochs2': 15, 'epochs3': 15, 'epochs4': 20} - results: ROC_AUC: 0.0339189, PRECISION: 0.0056773, PRECISION_RECALL_MIN_DEN: 0.0212464, RECALL: 0.0205929, MAP: 0.0097528, MRR: 0.0235722, NDCG: 0.0150507, F1: 0.0089005, HIT_RATE: 0.0567728, ARHR: 0.0245660, NOVELTY: 0.0036996, AVERAGE_POPULARITY: 0.4247547, DIVERSITY_MEAN_INTER_LIST: 0.3806591, DIVERSITY_HERFINDAHL: 0.9380587, COVERAGE_ITEM: 0.0144524, COVERAGE_ITEM_CORRECT: 0.0012166, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0346043, DIVERSITY_GINI: 0.0008578, SHANNON_ENTROPY: 4.6273765, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'sgd_mode': 'adam', 'epochs': 500, 'use_bias': True, 'batch_size': 64, 'num_factors': 71, 'item_reg': 1.2685884636861386e-05, 'user_reg': 7.958310441218617e-05, 'learning_rate': 0.0943575337014405, 'negative_interactions_quota': 0.15434318146066014, 'epochs0': 35, 'epochs1': 10, 'epochs2': 20, 'epochs3': 5, 'epochs4': 15} - results: ROC_AUC: 0.0007689, PRECISION: 0.0001517, PRECISION_RECALL_MIN_DEN: 0.0005592, RECALL: 0.0005158, MAP: 0.0002000, MRR: 0.0004846, NDCG: 0.0003137, F1: 0.0002296, HIT_RATE: 0.0015170, ARHR: 0.0004921, NOVELTY: 0.0048380, AVERAGE_POPULARITY: 0.0081810, DIVERSITY_MEAN_INTER_LIST: 0.9978328, DIVERSITY_HERFINDAHL: 0.9997644, COVERAGE_ITEM: 0.4300828, COVERAGE_ITEM_CORRECT: 0.0003080, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0009815, DIVERSITY_GINI: 0.2102395, SHANNON_ENTROPY: 12.7188161, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'sgd_mode': 'adagrad', 'epochs': 500, 'use_bias': True, 'batch_size': 64, 'num_factors': 14, 'item_reg': 0.00029419077989830967, 'user_reg': 7.664261990259318e-05, 'learning_rate': 0.014367067634804649, 'negative_interactions_quota': 0.36046452246868194, 'epochs0': 5, 'epochs1': 10, 'epochs2': 5, 'epochs3': 10, 'epochs4': 5} - results: ROC_AUC: 0.0308829, PRECISION: 0.0052152, PRECISION_RECALL_MIN_DEN: 0.0197641, RECALL: 0.0191833, MAP: 0.0087993, MRR: 0.0217495, NDCG: 0.0137519, F1: 0.0081989, HIT_RATE: 0.0521523, ARHR: 0.0225384, NOVELTY: 0.0037816, AVERAGE_POPULARITY: 0.3921612, DIVERSITY_MEAN_INTER_LIST: 0.5413656, DIVERSITY_HERFINDAHL: 0.9541263, COVERAGE_ITEM: 0.0139365, COVERAGE_ITEM_CORRECT: 0.0014013, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0320876, DIVERSITY_GINI: 0.0013173, SHANNON_ENTROPY: 5.2925054, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'sgd_mode': 'adam', 'epochs': 500, 'use_bias': True, 'batch_size': 2, 'num_factors': 73, 'item_reg': 1.765372109636261e-05, 'user_reg': 0.003716689414461052, 'learning_rate': 0.0005465985570463055, 'negative_interactions_quota': 0.2502497852602867, 'epochs0': 15, 'epochs1': 25, 'epochs2': 5, 'epochs3': 10, 'epochs4': 10} - results: ROC_AUC: 0.0264380, PRECISION: 0.0043659, PRECISION_RECALL_MIN_DEN: 0.0162847, RECALL: 0.0157821, MAP: 0.0071855, MRR: 0.0182473, NDCG: 0.0113075, F1: 0.0068348, HIT_RATE: 0.0436594, ARHR: 0.0189096, NOVELTY: 0.0039926, AVERAGE_POPULARITY: 0.3245426, DIVERSITY_MEAN_INTER_LIST: 0.7442935, DIVERSITY_HERFINDAHL: 0.9744152, COVERAGE_ITEM: 0.0774206, COVERAGE_ITEM_CORRECT: 0.0018248, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0269284, DIVERSITY_GINI: 0.0081576, SHANNON_ENTROPY: 7.0204758, 

RIFARE CON PIU' EPOCHS E SEMMAI QUALCHE PARAMETRO PIU' STRETTO

