
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8801166348502029, 'l1_ratio': 0.5890503214643263, 'topK': 133, 'normalize': True} - results: ROC_AUC: 0.1958922, PRECISION: 0.0428615, PRECISION_RECALL_MIN_DEN: 0.1537039, RECALL: 0.1490882, MAP: 0.0708581, MRR: 0.1449976, NDCG: 0.1061811, F1: 0.0665791, HIT_RATE: 0.4286148, ARHR: 0.1697346, NOVELTY: 0.0050704, AVERAGE_POPULARITY: 0.0635481, DIVERSITY_MEAN_INTER_LIST: 0.9947386, DIVERSITY_HERFINDAHL: 0.9994563, COVERAGE_ITEM: 0.5410895, COVERAGE_ITEM_CORRECT: 0.0617517, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2195545, DIVERSITY_GINI: 0.2214656, SHANNON_ENTROPY: 12.5076369, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.27279057039783056, 'l1_ratio': 0.5088044671463908, 'topK': 742, 'normalize': True} - results: ROC_AUC: 0.1869050, PRECISION: 0.0402186, PRECISION_RECALL_MIN_DEN: 0.1402124, RECALL: 0.1357811, MAP: 0.0658484, MRR: 0.1390098, NDCG: 0.0988190, F1: 0.0620539, HIT_RATE: 0.4021864, ARHR: 0.1616302, NOVELTY: 0.0048532, AVERAGE_POPULARITY: 0.1018934, DIVERSITY_MEAN_INTER_LIST: 0.9867720, DIVERSITY_HERFINDAHL: 0.9986598, COVERAGE_ITEM: 0.4533667, COVERAGE_ITEM_CORRECT: 0.0481232, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2082547, DIVERSITY_GINI: 0.1473274, SHANNON_ENTROPY: 11.5984039, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.5223092746721534, 'l1_ratio': 0.17421376122956148, 'topK': 329, 'normalize': True} - results: ROC_AUC: 0.1808502, PRECISION: 0.0383107, PRECISION_RECALL_MIN_DEN: 0.1332618, RECALL: 0.1289076, MAP: 0.0634224, MRR: 0.1343579, NDCG: 0.0946737, F1: 0.0590644, HIT_RATE: 0.3831066, ARHR: 0.1558934, NOVELTY: 0.0049231, AVERAGE_POPULARITY: 0.0886198, DIVERSITY_MEAN_INTER_LIST: 0.9901322, DIVERSITY_HERFINDAHL: 0.9989957, COVERAGE_ITEM: 0.4733397, COVERAGE_ITEM_CORRECT: 0.0471838, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991443, DIVERSITY_GINI: 0.1630997, SHANNON_ENTROPY: 11.8684244, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3457198106385941, 'l1_ratio': 0.39405237051484776, 'topK': 505, 'normalize': False} - results: ROC_AUC: 0.1838821, PRECISION: 0.0395053, PRECISION_RECALL_MIN_DEN: 0.1376004, RECALL: 0.1331943, MAP: 0.0645541, MRR: 0.1370588, NDCG: 0.0969729, F1: 0.0609344, HIT_RATE: 0.3950533, ARHR: 0.1591013, NOVELTY: 0.0048397, AVERAGE_POPULARITY: 0.1054404, DIVERSITY_MEAN_INTER_LIST: 0.9857565, DIVERSITY_HERFINDAHL: 0.9985582, COVERAGE_ITEM: 0.4522425, COVERAGE_ITEM_CORRECT: 0.0465602, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2048068, DIVERSITY_GINI: 0.1457280, SHANNON_ENTROPY: 11.5460014, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.7740966945536553, 'l1_ratio': 0.5774737397485529, 'topK': 989, 'normalize': True} - results: ROC_AUC: 0.1981785, PRECISION: 0.0435544, PRECISION_RECALL_MIN_DEN: 0.1566536, RECALL: 0.1521388, MAP: 0.0720136, MRR: 0.1483425, NDCG: 0.1082645, F1: 0.0677201, HIT_RATE: 0.4355443, ARHR: 0.1731569, NOVELTY: 0.0049987, AVERAGE_POPULARITY: 0.0748876, DIVERSITY_MEAN_INTER_LIST: 0.9927995, DIVERSITY_HERFINDAHL: 0.9992624, COVERAGE_ITEM: 0.4972243, COVERAGE_ITEM_CORRECT: 0.0589105, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2241852, DIVERSITY_GINI: 0.1855137, SHANNON_ENTROPY: 12.1732973, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.03277918971401817, 'l1_ratio': 0.8605160701841275, 'topK': 201, 'normalize': False} - results: ROC_AUC: 0.1773900, PRECISION: 0.0377246, PRECISION_RECALL_MIN_DEN: 0.1314100, RECALL: 0.1271241, MAP: 0.0619986, MRR: 0.1323873, NDCG: 0.0929060, F1: 0.0581814, HIT_RATE: 0.3772461, ARHR: 0.1535780, NOVELTY: 0.0048852, AVERAGE_POPULARITY: 0.0988920, DIVERSITY_MEAN_INTER_LIST: 0.9874721, DIVERSITY_HERFINDAHL: 0.9987298, COVERAGE_ITEM: 0.4729163, COVERAGE_ITEM_CORRECT: 0.0451896, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966277, DIVERSITY_GINI: 0.1607056, SHANNON_ENTROPY: 11.7358812, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3538288925293486, 'l1_ratio': 0.47095030134461, 'topK': 120, 'normalize': False} - results: ROC_AUC: 0.1834921, PRECISION: 0.0394495, PRECISION_RECALL_MIN_DEN: 0.1369663, RECALL: 0.1324495, MAP: 0.0648566, MRR: 0.1372504, NDCG: 0.0969060, F1: 0.0607917, HIT_RATE: 0.3944946, ARHR: 0.1598908, NOVELTY: 0.0049479, AVERAGE_POPULARITY: 0.0900531, DIVERSITY_MEAN_INTER_LIST: 0.9897586, DIVERSITY_HERFINDAHL: 0.9989584, COVERAGE_ITEM: 0.4945140, COVERAGE_ITEM_CORRECT: 0.0499634, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032717, DIVERSITY_GINI: 0.1788419, SHANNON_ENTROPY: 11.9703625, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9295190455581253, 'l1_ratio': 0.5840351024434728, 'topK': 165, 'normalize': False} - results: ROC_AUC: 0.1754059, PRECISION: 0.0383126, PRECISION_RECALL_MIN_DEN: 0.1389978, RECALL: 0.1348874, MAP: 0.0622442, MRR: 0.1274722, NDCG: 0.0944086, F1: 0.0596743, HIT_RATE: 0.3831257, ARHR: 0.1478380, NOVELTY: 0.0051502, AVERAGE_POPULARITY: 0.0450363, DIVERSITY_MEAN_INTER_LIST: 0.9967436, DIVERSITY_HERFINDAHL: 0.9996567, COVERAGE_ITEM: 0.5919615, COVERAGE_ITEM_CORRECT: 0.0597498, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2008808, DIVERSITY_GINI: 0.2711049, SHANNON_ENTROPY: 12.9162141, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.9886117612627605, 'l1_ratio': 0.39800880252239457, 'topK': 24, 'normalize': True} - results: ROC_AUC: 0.1823889, PRECISION: 0.0389436, PRECISION_RECALL_MIN_DEN: 0.1372370, RECALL: 0.1327763, MAP: 0.0653364, MRR: 0.1354281, NDCG: 0.0969883, F1: 0.0602220, HIT_RATE: 0.3894360, ARHR: 0.1572475, NOVELTY: 0.0050808, AVERAGE_POPULARITY: 0.0642662, DIVERSITY_MEAN_INTER_LIST: 0.9945831, DIVERSITY_HERFINDAHL: 0.9994407, COVERAGE_ITEM: 0.5534937, COVERAGE_ITEM_CORRECT: 0.0557151, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2016358, DIVERSITY_GINI: 0.2251106, SHANNON_ENTROPY: 12.5002595, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.459289827775228, 'l1_ratio': 0.7155102196987172, 'topK': 744, 'normalize': False} - results: ROC_AUC: 0.1965061, PRECISION: 0.0427349, PRECISION_RECALL_MIN_DEN: 0.1507707, RECALL: 0.1462576, MAP: 0.0707145, MRR: 0.1472064, NDCG: 0.1058587, F1: 0.0661423, HIT_RATE: 0.4273489, ARHR: 0.1718227, NOVELTY: 0.0048869, AVERAGE_POPULARITY: 0.0982953, DIVERSITY_MEAN_INTER_LIST: 0.9876971, DIVERSITY_HERFINDAHL: 0.9987523, COVERAGE_ITEM: 0.4682579, COVERAGE_ITEM_CORRECT: 0.0536131, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2195294, DIVERSITY_GINI: 0.1585052, SHANNON_ENTROPY: 11.7325054, 
