
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.9862458454880799, 'l1_ratio': 0.0825994470558107} - results: ROC_AUC: 0.1717433, PRECISION: 0.0362572, PRECISION_RECALL_MIN_DEN: 0.1254180, RECALL: 0.1213253, MAP: 0.0595193, MRR: 0.1277943, NDCG: 0.0892335, F1: 0.0558290, HIT_RATE: 0.3625725, ARHR: 0.1475628, NOVELTY: 0.0049164, AVERAGE_POPULARITY: 0.0870581, DIVERSITY_MEAN_INTER_LIST: 0.9901445, DIVERSITY_HERFINDAHL: 0.9989970, COVERAGE_ITEM: 0.4650164, COVERAGE_ITEM_CORRECT: 0.0432724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1898075, DIVERSITY_GINI: 0.1556588, SHANNON_ENTROPY: 11.7968077, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9012439392219816, 'l1_ratio': 0.6188110735410793} - results: ROC_AUC: 0.1875268, PRECISION: 0.0399819, PRECISION_RECALL_MIN_DEN: 0.1410135, RECALL: 0.1367098, MAP: 0.0667483, MRR: 0.1399395, NDCG: 0.0997524, F1: 0.0618677, HIT_RATE: 0.3998190, ARHR: 0.1621259, NOVELTY: 0.0048442, AVERAGE_POPULARITY: 0.1007794, DIVERSITY_MEAN_INTER_LIST: 0.9868914, DIVERSITY_HERFINDAHL: 0.9986717, COVERAGE_ITEM: 0.4536439, COVERAGE_ITEM_CORRECT: 0.0482079, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2078772, DIVERSITY_GINI: 0.1465382, SHANNON_ENTROPY: 11.5900967, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9849783757604138, 'l1_ratio': 0.4327095793509682} - results: ROC_AUC: 0.1820258, PRECISION: 0.0388869, PRECISION_RECALL_MIN_DEN: 0.1363693, RECALL: 0.1321037, MAP: 0.0646519, MRR: 0.1362948, NDCG: 0.0966178, F1: 0.0600853, HIT_RATE: 0.3888690, ARHR: 0.1577942, NOVELTY: 0.0048808, AVERAGE_POPULARITY: 0.0927771, DIVERSITY_MEAN_INTER_LIST: 0.9887923, DIVERSITY_HERFINDAHL: 0.9988618, COVERAGE_ITEM: 0.4538133, COVERAGE_ITEM_CORRECT: 0.0473532, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020637, DIVERSITY_GINI: 0.1487674, SHANNON_ENTROPY: 11.6893723, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7950171710390869, 'l1_ratio': 0.3555366675682457} - results: ROC_AUC: 0.1793485, PRECISION: 0.0381546, PRECISION_RECALL_MIN_DEN: 0.1329898, RECALL: 0.1287816, MAP: 0.0626082, MRR: 0.1334210, NDCG: 0.0940655, F1: 0.0588653, HIT_RATE: 0.3815456, ARHR: 0.1543727, NOVELTY: 0.0048507, AVERAGE_POPULARITY: 0.1027600, DIVERSITY_MEAN_INTER_LIST: 0.9865043, DIVERSITY_HERFINDAHL: 0.9986330, COVERAGE_ITEM: 0.4576939, COVERAGE_ITEM_CORRECT: 0.0441886, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1996728, DIVERSITY_GINI: 0.1488864, SHANNON_ENTROPY: 11.5924330, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.4640741305933167, 'l1_ratio': 0.2398782341752425} - results: ROC_AUC: 0.1691079, PRECISION: 0.0357450, PRECISION_RECALL_MIN_DEN: 0.1231591, RECALL: 0.1191976, MAP: 0.0581189, MRR: 0.1256043, NDCG: 0.0875704, F1: 0.0549945, HIT_RATE: 0.3574497, ARHR: 0.1449364, NOVELTY: 0.0048421, AVERAGE_POPULARITY: 0.1113696, DIVERSITY_MEAN_INTER_LIST: 0.9839526, DIVERSITY_HERFINDAHL: 0.9983779, COVERAGE_ITEM: 0.4595188, COVERAGE_ITEM_CORRECT: 0.0393609, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1884233, DIVERSITY_GINI: 0.1507997, SHANNON_ENTROPY: 11.5295811, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.881640985409226, 'l1_ratio': 0.27471073900220183} - results: ROC_AUC: 0.1785154, PRECISION: 0.0378119, PRECISION_RECALL_MIN_DEN: 0.1315852, RECALL: 0.1273895, MAP: 0.0623504, MRR: 0.1331930, NDCG: 0.0934842, F1: 0.0583123, HIT_RATE: 0.3781195, ARHR: 0.1539219, NOVELTY: 0.0048694, AVERAGE_POPULARITY: 0.0974015, DIVERSITY_MEAN_INTER_LIST: 0.9878818, DIVERSITY_HERFINDAHL: 0.9987707, COVERAGE_ITEM: 0.4592647, COVERAGE_ITEM_CORRECT: 0.0441886, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1976847, DIVERSITY_GINI: 0.1503124, SHANNON_ENTROPY: 11.6564665, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.8540251471006528, 'l1_ratio': 0.39410391244475074} - results: ROC_AUC: 0.1814653, PRECISION: 0.0385326, PRECISION_RECALL_MIN_DEN: 0.1349080, RECALL: 0.1306728, MAP: 0.0636627, MRR: 0.1349370, NDCG: 0.0954473, F1: 0.0595129, HIT_RATE: 0.3853262, ARHR: 0.1560386, NOVELTY: 0.0048553, AVERAGE_POPULARITY: 0.1004466, DIVERSITY_MEAN_INTER_LIST: 0.9870931, DIVERSITY_HERFINDAHL: 0.9986919, COVERAGE_ITEM: 0.4568085, COVERAGE_ITEM_CORRECT: 0.0452743, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2016107, DIVERSITY_GINI: 0.1484842, SHANNON_ENTROPY: 11.6117616, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.5995027021738963, 'l1_ratio': 0.16593979015768304} - results: ROC_AUC: 0.1723200, PRECISION: 0.0363949, PRECISION_RECALL_MIN_DEN: 0.1254028, RECALL: 0.1213684, MAP: 0.0594738, MRR: 0.1284207, NDCG: 0.0893776, F1: 0.0559958, HIT_RATE: 0.3639490, ARHR: 0.1483023, NOVELTY: 0.0048485, AVERAGE_POPULARITY: 0.1076863, DIVERSITY_MEAN_INTER_LIST: 0.9851458, DIVERSITY_HERFINDAHL: 0.9984972, COVERAGE_ITEM: 0.4622522, COVERAGE_ITEM_CORRECT: 0.0408085, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1912168, DIVERSITY_GINI: 0.1517403, SHANNON_ENTROPY: 11.5684897, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.23232961721718165, 'l1_ratio': 0.7756532761004198} - results: ROC_AUC: 0.1647228, PRECISION: 0.0347386, PRECISION_RECALL_MIN_DEN: 0.1212420, RECALL: 0.1174663, MAP: 0.0566722, MRR: 0.1219041, NDCG: 0.0855916, F1: 0.0536147, HIT_RATE: 0.3473858, ARHR: 0.1401983, NOVELTY: 0.0048288, AVERAGE_POPULARITY: 0.1167744, DIVERSITY_MEAN_INTER_LIST: 0.9819683, DIVERSITY_HERFINDAHL: 0.9981795, COVERAGE_ITEM: 0.4479846, COVERAGE_ITEM_CORRECT: 0.0375746, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1845728, DIVERSITY_GINI: 0.1464963, SHANNON_ENTROPY: 11.4571058, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.5684572524976448, 'l1_ratio': 0.6211262164316125} - results: ROC_AUC: 0.1756210, PRECISION: 0.0373170, PRECISION_RECALL_MIN_DEN: 0.1297503, RECALL: 0.1257098, MAP: 0.0612751, MRR: 0.1309041, NDCG: 0.0920741, F1: 0.0575475, HIT_RATE: 0.3731699, ARHR: 0.1512757, NOVELTY: 0.0048266, AVERAGE_POPULARITY: 0.1119035, DIVERSITY_MEAN_INTER_LIST: 0.9837832, DIVERSITY_HERFINDAHL: 0.9983609, COVERAGE_ITEM: 0.4517960, COVERAGE_ITEM_CORRECT: 0.0423561, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1960740, DIVERSITY_GINI: 0.1463928, SHANNON_ENTROPY: 11.4889527, 
