
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 182, 'shrink': 116, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0743737, PRECISION: 0.0154345, PRECISION_RECALL_MIN_DEN: 0.0571335, RECALL: 0.0554296, MAP: 0.0230330, MRR: 0.0499412, NDCG: 0.0369000, F1: 0.0241427, HIT_RATE: 0.1543450, ARHR: 0.0549789, NOVELTY: 0.0050458, AVERAGE_POPULARITY: 0.0172562, DIVERSITY_MEAN_INTER_LIST: 0.9955600, DIVERSITY_HERFINDAHL: 0.9995371, COVERAGE_ITEM: 0.4188566, COVERAGE_ITEM_CORRECT: 0.0275188, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0844092, DIVERSITY_GINI: 0.1774551, SHANNON_ENTROPY: 12.3741855, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 922, 'shrink': 787, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0535643, PRECISION: 0.0104503, PRECISION_RECALL_MIN_DEN: 0.0386739, RECALL: 0.0375370, MAP: 0.0159132, MRR: 0.0359578, NDCG: 0.0254595, F1: 0.0163429, HIT_RATE: 0.1045027, ARHR: 0.0384891, NOVELTY: 0.0050602, AVERAGE_POPULARITY: 0.0172996, DIVERSITY_MEAN_INTER_LIST: 0.9923277, DIVERSITY_HERFINDAHL: 0.9992140, COVERAGE_ITEM: 0.2873686, COVERAGE_ITEM_CORRECT: 0.0181097, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0602995, DIVERSITY_GINI: 0.0982392, SHANNON_ENTROPY: 11.5162890, 

SearchBayesianSkopt-CV: New best config found. Config 12: {'topK': 528, 'shrink': 928, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0948625, PRECISION: 0.0195591, PRECISION_RECALL_MIN_DEN: 0.0760292, RECALL: 0.0741373, MAP: 0.0316985, MRR: 0.0652518, NDCG: 0.0495359, F1: 0.0309499, HIT_RATE: 0.1955915, ARHR: 0.0722670, NOVELTY: 0.0050559, AVERAGE_POPULARITY: 0.0178818, DIVERSITY_MEAN_INTER_LIST: 0.9973912, DIVERSITY_HERFINDAHL: 0.9997202, COVERAGE_ITEM: 0.5996458, COVERAGE_ITEM_CORRECT: 0.0360808, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1052221, DIVERSITY_GINI: 0.2931223, SHANNON_ENTROPY: 13.0887888, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 839, 'shrink': 609, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0537304, PRECISION: 0.0105903, PRECISION_RECALL_MIN_DEN: 0.0388932, RECALL: 0.0377059, MAP: 0.0160062, MRR: 0.0361314, NDCG: 0.0256140, F1: 0.0165308, HIT_RATE: 0.1059034, ARHR: 0.0387720, NOVELTY: 0.0050585, AVERAGE_POPULARITY: 0.0172967, DIVERSITY_MEAN_INTER_LIST: 0.9925478, DIVERSITY_HERFINDAHL: 0.9992360, COVERAGE_ITEM: 0.2901328, COVERAGE_ITEM_CORRECT: 0.0183407, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0608280, DIVERSITY_GINI: 0.0999560, SHANNON_ENTROPY: 11.5457637, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 475, 'shrink': 538, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0875891, PRECISION: 0.0182891, PRECISION_RECALL_MIN_DEN: 0.0714076, RECALL: 0.0696532, MAP: 0.0285852, MRR: 0.0595425, NDCG: 0.0455336, F1: 0.0289693, HIT_RATE: 0.1828914, ARHR: 0.0656664, NOVELTY: 0.0050336, AVERAGE_POPULARITY: 0.0180350, DIVERSITY_MEAN_INTER_LIST: 0.9968111, DIVERSITY_HERFINDAHL: 0.9996622, COVERAGE_ITEM: 0.5483426, COVERAGE_ITEM_CORRECT: 0.0335553, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0993834, DIVERSITY_GINI: 0.2464778, SHANNON_ENTROPY: 12.8118067, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 651, 'shrink': 68, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0870459, PRECISION: 0.0181754, PRECISION_RECALL_MIN_DEN: 0.0715799, RECALL: 0.0698811, MAP: 0.0284525, MRR: 0.0590279, NDCG: 0.0454349, F1: 0.0288460, HIT_RATE: 0.1817537, ARHR: 0.0650899, NOVELTY: 0.0050346, AVERAGE_POPULARITY: 0.0180704, DIVERSITY_MEAN_INTER_LIST: 0.9967187, DIVERSITY_HERFINDAHL: 0.9996530, COVERAGE_ITEM: 0.5439230, COVERAGE_ITEM_CORRECT: 0.0333859, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0989807, DIVERSITY_GINI: 0.2422236, SHANNON_ENTROPY: 12.7811834, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 727, 'shrink': 740, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0867251, PRECISION: 0.0180846, PRECISION_RECALL_MIN_DEN: 0.0711692, RECALL: 0.0694824, MAP: 0.0283586, MRR: 0.0586903, NDCG: 0.0452454, F1: 0.0286978, HIT_RATE: 0.1808459, ARHR: 0.0647230, NOVELTY: 0.0050357, AVERAGE_POPULARITY: 0.0180935, DIVERSITY_MEAN_INTER_LIST: 0.9966728, DIVERSITY_HERFINDAHL: 0.9996484, COVERAGE_ITEM: 0.5423523, COVERAGE_ITEM_CORRECT: 0.0332012, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0986032, DIVERSITY_GINI: 0.2407247, SHANNON_ENTROPY: 12.7691813, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 259, 'shrink': 976, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0879419, PRECISION: 0.0186455, PRECISION_RECALL_MIN_DEN: 0.0721593, RECALL: 0.0703299, MAP: 0.0287933, MRR: 0.0591541, NDCG: 0.0458682, F1: 0.0294686, HIT_RATE: 0.1864548, ARHR: 0.0655403, NOVELTY: 0.0050536, AVERAGE_POPULARITY: 0.0171801, DIVERSITY_MEAN_INTER_LIST: 0.9968677, DIVERSITY_HERFINDAHL: 0.9996679, COVERAGE_ITEM: 0.5148643, COVERAGE_ITEM_CORRECT: 0.0340558, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1008179, DIVERSITY_GINI: 0.2354872, SHANNON_ENTROPY: 12.7824687, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 380, 'shrink': 925, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0872692, PRECISION: 0.0184029, PRECISION_RECALL_MIN_DEN: 0.0713323, RECALL: 0.0695357, MAP: 0.0285557, MRR: 0.0585534, NDCG: 0.0454390, F1: 0.0290973, HIT_RATE: 0.1840293, ARHR: 0.0649731, NOVELTY: 0.0050567, AVERAGE_POPULARITY: 0.0171580, DIVERSITY_MEAN_INTER_LIST: 0.9967011, DIVERSITY_HERFINDAHL: 0.9996512, COVERAGE_ITEM: 0.5067334, COVERAGE_ITEM_CORRECT: 0.0334475, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0990562, DIVERSITY_GINI: 0.2283408, SHANNON_ENTROPY: 12.7299254, 
