
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1598675, PRECISION: 0.0340980, PRECISION_RECALL_MIN_DEN: 0.1229334, RECALL: 0.1192275, MAP: 0.0554052, MRR: 0.1154195, NDCG: 0.0840702, F1: 0.0530282, HIT_RATE: 0.3409802, ARHR: 0.1329343, NOVELTY: 0.0051739, AVERAGE_POPULARITY: 0.0430521, DIVERSITY_MEAN_INTER_LIST: 0.9968075, DIVERSITY_HERFINDAHL: 0.9996631, COVERAGE_ITEM: 0.5734360, COVERAGE_ITEM_CORRECT: 0.0536670, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1814773, DIVERSITY_GINI: 0.2624393, SHANNON_ENTROPY: 12.8973747, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1777982, PRECISION: 0.0378157, PRECISION_RECALL_MIN_DEN: 0.1323166, RECALL: 0.1281543, MAP: 0.0617464, MRR: 0.1320636, NDCG: 0.0930657, F1: 0.0583976, HIT_RATE: 0.3781571, ARHR: 0.1526922, NOVELTY: 0.0047967, AVERAGE_POPULARITY: 0.1124365, DIVERSITY_MEAN_INTER_LIST: 0.9835639, DIVERSITY_HERFINDAHL: 0.9983390, COVERAGE_ITEM: 0.4393532, COVERAGE_ITEM_CORRECT: 0.0427488, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1981628, DIVERSITY_GINI: 0.1364940, SHANNON_ENTROPY: 11.3836047, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.2010786, PRECISION: 0.0437987, PRECISION_RECALL_MIN_DEN: 0.1574180, RECALL: 0.1528888, MAP: 0.0733070, MRR: 0.1496773, NDCG: 0.1095527, F1: 0.0680903, HIT_RATE: 0.4379867, ARHR: 0.1745314, NOVELTY: 0.0048789, AVERAGE_POPULARITY: 0.0936080, DIVERSITY_MEAN_INTER_LIST: 0.9886599, DIVERSITY_HERFINDAHL: 0.9988485, COVERAGE_ITEM: 0.4778056, COVERAGE_ITEM_CORRECT: 0.0565929, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2254184, DIVERSITY_GINI: 0.1651404, SHANNON_ENTROPY: 11.8205008, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1890960, PRECISION: 0.0407452, PRECISION_RECALL_MIN_DEN: 0.1433650, RECALL: 0.1389285, MAP: 0.0673434, MRR: 0.1408394, NDCG: 0.1008245, F1: 0.0630092, HIT_RATE: 0.4074524, ARHR: 0.1636359, NOVELTY: 0.0048262, AVERAGE_POPULARITY: 0.1070441, DIVERSITY_MEAN_INTER_LIST: 0.9852621, DIVERSITY_HERFINDAHL: 0.9985088, COVERAGE_ITEM: 0.4482541, COVERAGE_ITEM_CORRECT: 0.0486622, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2108469, DIVERSITY_GINI: 0.1433159, SHANNON_ENTROPY: 11.5083244, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.2005277, PRECISION: 0.0436428, PRECISION_RECALL_MIN_DEN: 0.1572844, RECALL: 0.1528133, MAP: 0.0728758, MRR: 0.1487653, NDCG: 0.1091435, F1: 0.0678941, HIT_RATE: 0.4364281, ARHR: 0.1733727, NOVELTY: 0.0048721, AVERAGE_POPULARITY: 0.0917948, DIVERSITY_MEAN_INTER_LIST: 0.9889224, DIVERSITY_HERFINDAHL: 0.9988748, COVERAGE_ITEM: 0.4802926, COVERAGE_ITEM_CORRECT: 0.0568393, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250912, DIVERSITY_GINI: 0.1669027, SHANNON_ENTROPY: 11.8423060, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.2001831, PRECISION: 0.0436581, PRECISION_RECALL_MIN_DEN: 0.1567689, RECALL: 0.1522458, MAP: 0.0728412, MRR: 0.1488749, NDCG: 0.1089933, F1: 0.0678565, HIT_RATE: 0.4365808, ARHR: 0.1735179, NOVELTY: 0.0048655, AVERAGE_POPULARITY: 0.0959345, DIVERSITY_MEAN_INTER_LIST: 0.9880525, DIVERSITY_HERFINDAHL: 0.9987878, COVERAGE_ITEM: 0.4705910, COVERAGE_ITEM_CORRECT: 0.0560077, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2248647, DIVERSITY_GINI: 0.1598294, SHANNON_ENTROPY: 11.7541073, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1942156, PRECISION: 0.0423185, PRECISION_RECALL_MIN_DEN: 0.1494008, RECALL: 0.1448225, MAP: 0.0699033, MRR: 0.1448597, NDCG: 0.1045595, F1: 0.0654969, HIT_RATE: 0.4231847, ARHR: 0.1692007, NOVELTY: 0.0048740, AVERAGE_POPULARITY: 0.1000931, DIVERSITY_MEAN_INTER_LIST: 0.9872528, DIVERSITY_HERFINDAHL: 0.9987078, COVERAGE_ITEM: 0.4692127, COVERAGE_ITEM_CORRECT: 0.0527815, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2173147, DIVERSITY_GINI: 0.1583099, SHANNON_ENTROPY: 11.7131955, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.7434007521831745, 'l1_ratio': 0.32535370781203904} - results: ROC_AUC: 0.1983196, PRECISION: 0.0436051, PRECISION_RECALL_MIN_DEN: 0.1567461, RECALL: 0.1521384, MAP: 0.0725185, MRR: 0.1479987, NDCG: 0.1085058, F1: 0.0677800, HIT_RATE: 0.4360509, ARHR: 0.1729571, NOVELTY: 0.0049537, AVERAGE_POPULARITY: 0.0816244, DIVERSITY_MEAN_INTER_LIST: 0.9914721, DIVERSITY_HERFINDAHL: 0.9991297, COVERAGE_ITEM: 0.5123311, COVERAGE_ITEM_CORRECT: 0.0587719, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2241097, DIVERSITY_GINI: 0.1931795, SHANNON_ENTROPY: 12.1513381, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8019333337858512, 'l1_ratio': 0.08391961855661857} - results: ROC_AUC: 0.1985445, PRECISION: 0.0432123, PRECISION_RECALL_MIN_DEN: 0.1546575, RECALL: 0.1501381, MAP: 0.0718947, MRR: 0.1475383, NDCG: 0.1076659, F1: 0.0671083, HIT_RATE: 0.4321230, ARHR: 0.1718563, NOVELTY: 0.0048501, AVERAGE_POPULARITY: 0.0989455, DIVERSITY_MEAN_INTER_LIST: 0.9872777, DIVERSITY_HERFINDAHL: 0.9987103, COVERAGE_ITEM: 0.4627141, COVERAGE_ITEM_CORRECT: 0.0547911, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2224487, DIVERSITY_GINI: 0.1535633, SHANNON_ENTROPY: 11.6715857, 
