
SearchBayesianSkopt-CV: New best config found. Config 9: {'topK': 427, 'shrink': 732, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0794380, PRECISION: 0.0166364, PRECISION_RECALL_MIN_DEN: 0.0616773, RECALL: 0.0599597, MAP: 0.0254585, MRR: 0.0543815, NDCG: 0.0403944, F1: 0.0260403, HIT_RATE: 0.1663642, ARHR: 0.0601268, NOVELTY: 0.0050365, AVERAGE_POPULARITY: 0.0155869, DIVERSITY_MEAN_INTER_LIST: 0.9972354, DIVERSITY_HERFINDAHL: 0.9997046, COVERAGE_ITEM: 0.5505371, COVERAGE_ITEM_CORRECT: 0.0305833, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0896439, DIVERSITY_GINI: 0.2673058, SHANNON_ENTROPY: 12.9640345, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 182, 'shrink': 116, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0785969, PRECISION: 0.0164200, PRECISION_RECALL_MIN_DEN: 0.0603699, RECALL: 0.0585851, MAP: 0.0252161, MRR: 0.0539228, NDCG: 0.0398016, F1: 0.0256467, HIT_RATE: 0.1642002, ARHR: 0.0597141, NOVELTY: 0.0050307, AVERAGE_POPULARITY: 0.0155151, DIVERSITY_MEAN_INTER_LIST: 0.9973495, DIVERSITY_HERFINDAHL: 0.9997161, COVERAGE_ITEM: 0.5594071, COVERAGE_ITEM_CORRECT: 0.0302060, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0880332, DIVERSITY_GINI: 0.2753547, SHANNON_ENTROPY: 13.0129755, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 922, 'shrink': 787, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0635805, PRECISION: 0.0126668, PRECISION_RECALL_MIN_DEN: 0.0458945, RECALL: 0.0446729, MAP: 0.0196778, MRR: 0.0439092, NDCG: 0.0311429, F1: 0.0197337, HIT_RATE: 0.1266683, ARHR: 0.0477537, NOVELTY: 0.0050337, AVERAGE_POPULARITY: 0.0147133, DIVERSITY_MEAN_INTER_LIST: 0.9965393, DIVERSITY_HERFINDAHL: 0.9996350, COVERAGE_ITEM: 0.4912031, COVERAGE_ITEM_CORRECT: 0.0233763, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0704668, DIVERSITY_GINI: 0.2226215, SHANNON_ENTROPY: 12.6901535, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 528, 'shrink': 928, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0721846, PRECISION: 0.0151117, PRECISION_RECALL_MIN_DEN: 0.0526244, RECALL: 0.0509076, MAP: 0.0218987, MRR: 0.0499031, NDCG: 0.0351030, F1: 0.0233040, HIT_RATE: 0.1511172, ARHR: 0.0555407, NOVELTY: 0.0050346, AVERAGE_POPULARITY: 0.0162642, DIVERSITY_MEAN_INTER_LIST: 0.9977618, DIVERSITY_HERFINDAHL: 0.9997573, COVERAGE_ITEM: 0.6309605, COVERAGE_ITEM_CORRECT: 0.0284581, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0800302, DIVERSITY_GINI: 0.3260154, SHANNON_ENTROPY: 13.2504563, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 839, 'shrink': 609, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0636457, PRECISION: 0.0127009, PRECISION_RECALL_MIN_DEN: 0.0460026, RECALL: 0.0447654, MAP: 0.0196589, MRR: 0.0438752, NDCG: 0.0311454, F1: 0.0197838, HIT_RATE: 0.1270093, ARHR: 0.0477400, NOVELTY: 0.0050323, AVERAGE_POPULARITY: 0.0147064, DIVERSITY_MEAN_INTER_LIST: 0.9965747, DIVERSITY_HERFINDAHL: 0.9996386, COVERAGE_ITEM: 0.4920962, COVERAGE_ITEM_CORRECT: 0.0234764, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0706430, DIVERSITY_GINI: 0.2234929, SHANNON_ENTROPY: 12.6974974, 

SearchBayesianSkopt-CV: New best config found. Config 14: {'topK': 475, 'shrink': 538, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0831254, PRECISION: 0.0174591, PRECISION_RECALL_MIN_DEN: 0.0647804, RECALL: 0.0630005, MAP: 0.0268505, MRR: 0.0572289, NDCG: 0.0424805, F1: 0.0273366, HIT_RATE: 0.1745906, ARHR: 0.0635434, NOVELTY: 0.0050385, AVERAGE_POPULARITY: 0.0161235, DIVERSITY_MEAN_INTER_LIST: 0.9976525, DIVERSITY_HERFINDAHL: 0.9997463, COVERAGE_ITEM: 0.6053282, COVERAGE_ITEM_CORRECT: 0.0322695, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0930917, DIVERSITY_GINI: 0.3096925, SHANNON_ENTROPY: 13.1796615, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 651, 'shrink': 68, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0835864, PRECISION: 0.0172577, PRECISION_RECALL_MIN_DEN: 0.0644824, RECALL: 0.0627501, MAP: 0.0265167, MRR: 0.0576176, NDCG: 0.0421928, F1: 0.0270673, HIT_RATE: 0.1725771, ARHR: 0.0638637, NOVELTY: 0.0050422, AVERAGE_POPULARITY: 0.0168487, DIVERSITY_MEAN_INTER_LIST: 0.9976382, DIVERSITY_HERFINDAHL: 0.9997449, COVERAGE_ITEM: 0.6314456, COVERAGE_ITEM_CORRECT: 0.0321078, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0923116, DIVERSITY_GINI: 0.3215801, SHANNON_ENTROPY: 13.2173832, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 727, 'shrink': 740, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0833492, PRECISION: 0.0172927, PRECISION_RECALL_MIN_DEN: 0.0644378, RECALL: 0.0627085, MAP: 0.0267257, MRR: 0.0569167, NDCG: 0.0422937, F1: 0.0271060, HIT_RATE: 0.1729272, ARHR: 0.0630355, NOVELTY: 0.0050365, AVERAGE_POPULARITY: 0.0159941, DIVERSITY_MEAN_INTER_LIST: 0.9976016, DIVERSITY_HERFINDAHL: 0.9997413, COVERAGE_ITEM: 0.5949259, COVERAGE_ITEM_CORRECT: 0.0318768, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0929911, DIVERSITY_GINI: 0.3012744, SHANNON_ENTROPY: 13.1416715, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 259, 'shrink': 976, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0711975, PRECISION: 0.0146230, PRECISION_RECALL_MIN_DEN: 0.0515070, RECALL: 0.0499167, MAP: 0.0214482, MRR: 0.0489238, NDCG: 0.0343834, F1: 0.0226187, HIT_RATE: 0.1462300, ARHR: 0.0543266, NOVELTY: 0.0050329, AVERAGE_POPULARITY: 0.0159263, DIVERSITY_MEAN_INTER_LIST: 0.9977425, DIVERSITY_HERFINDAHL: 0.9997553, COVERAGE_ITEM: 0.6241848, COVERAGE_ITEM_CORRECT: 0.0275034, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0783440, DIVERSITY_GINI: 0.3226639, SHANNON_ENTROPY: 13.2383218, 
