
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1763780, PRECISION: 0.0369781, PRECISION_RECALL_MIN_DEN: 0.1295638, RECALL: 0.1255605, MAP: 0.0611236, MRR: 0.1312400, NDCG: 0.0918714, F1: 0.0571284, HIT_RATE: 0.3697809, ARHR: 0.1511521, NOVELTY: 0.0047629, AVERAGE_POPULARITY: 0.1180726, DIVERSITY_MEAN_INTER_LIST: 0.9818964, DIVERSITY_HERFINDAHL: 0.9981723, COVERAGE_ITEM: 0.4290048, COVERAGE_ITEM_CORRECT: 0.0408855, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1956462, DIVERSITY_GINI: 0.1259668, SHANNON_ENTROPY: 11.2125037, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1821871, PRECISION: 0.0390177, PRECISION_RECALL_MIN_DEN: 0.1369891, RECALL: 0.1327665, MAP: 0.0641717, MRR: 0.1357704, NDCG: 0.0964457, F1: 0.0603092, HIT_RATE: 0.3901771, ARHR: 0.1572184, NOVELTY: 0.0047756, AVERAGE_POPULARITY: 0.1117993, DIVERSITY_MEAN_INTER_LIST: 0.9840804, DIVERSITY_HERFINDAHL: 0.9983907, COVERAGE_ITEM: 0.4201963, COVERAGE_ITEM_CORRECT: 0.0452127, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2038505, DIVERSITY_GINI: 0.1246153, SHANNON_ENTROPY: 11.2905876, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1784229, PRECISION: 0.0376959, PRECISION_RECALL_MIN_DEN: 0.1325559, RECALL: 0.1284801, MAP: 0.0622402, MRR: 0.1329164, NDCG: 0.0935889, F1: 0.0582875, HIT_RATE: 0.3769591, ARHR: 0.1533120, NOVELTY: 0.0047659, AVERAGE_POPULARITY: 0.1172054, DIVERSITY_MEAN_INTER_LIST: 0.9821081, DIVERSITY_HERFINDAHL: 0.9981935, COVERAGE_ITEM: 0.4274187, COVERAGE_ITEM_CORRECT: 0.0422021, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988423, DIVERSITY_GINI: 0.1262228, SHANNON_ENTROPY: 11.2292231, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1777794, PRECISION: 0.0374555, PRECISION_RECALL_MIN_DEN: 0.1316203, RECALL: 0.1275678, MAP: 0.0618519, MRR: 0.1321142, NDCG: 0.0929935, F1: 0.0579061, HIT_RATE: 0.3745546, ARHR: 0.1523876, NOVELTY: 0.0047658, AVERAGE_POPULARITY: 0.1180036, DIVERSITY_MEAN_INTER_LIST: 0.9817552, DIVERSITY_HERFINDAHL: 0.9981582, COVERAGE_ITEM: 0.4306064, COVERAGE_ITEM_CORRECT: 0.0417786, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1977602, DIVERSITY_GINI: 0.1275007, SHANNON_ENTROPY: 11.2270550, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1848338, PRECISION: 0.0397382, PRECISION_RECALL_MIN_DEN: 0.1398087, RECALL: 0.1355291, MAP: 0.0656391, MRR: 0.1382825, NDCG: 0.0984998, F1: 0.0614549, HIT_RATE: 0.3973824, ARHR: 0.1602355, NOVELTY: 0.0047816, AVERAGE_POPULARITY: 0.1110209, DIVERSITY_MEAN_INTER_LIST: 0.9841596, DIVERSITY_HERFINDAHL: 0.9983986, COVERAGE_ITEM: 0.4248855, COVERAGE_ITEM_CORRECT: 0.0466833, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2069209, DIVERSITY_GINI: 0.1274428, SHANNON_ENTROPY: 11.3206160, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1750517, PRECISION: 0.0367733, PRECISION_RECALL_MIN_DEN: 0.1288220, RECALL: 0.1248310, MAP: 0.0604716, MRR: 0.1297958, NDCG: 0.0910567, F1: 0.0568081, HIT_RATE: 0.3677329, ARHR: 0.1496366, NOVELTY: 0.0047646, AVERAGE_POPULARITY: 0.1193761, DIVERSITY_MEAN_INTER_LIST: 0.9813365, DIVERSITY_HERFINDAHL: 0.9981163, COVERAGE_ITEM: 0.4358268, COVERAGE_ITEM_CORRECT: 0.0405082, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1943375, DIVERSITY_GINI: 0.1286135, SHANNON_ENTROPY: 11.2117700, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1774193, PRECISION: 0.0373988, PRECISION_RECALL_MIN_DEN: 0.1315760, RECALL: 0.1275379, MAP: 0.0617699, MRR: 0.1321758, NDCG: 0.0929139, F1: 0.0578349, HIT_RATE: 0.3739875, ARHR: 0.1523047, NOVELTY: 0.0047631, AVERAGE_POPULARITY: 0.1165467, DIVERSITY_MEAN_INTER_LIST: 0.9825172, DIVERSITY_HERFINDAHL: 0.9982344, COVERAGE_ITEM: 0.4227449, COVERAGE_ITEM_CORRECT: 0.0416015, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975840, DIVERSITY_GINI: 0.1237278, SHANNON_ENTROPY: 11.2194803, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1800314, PRECISION: 0.0381626, PRECISION_RECALL_MIN_DEN: 0.1343538, RECALL: 0.1302400, MAP: 0.0630509, MRR: 0.1340631, NDCG: 0.0947617, F1: 0.0590266, HIT_RATE: 0.3816263, ARHR: 0.1547817, NOVELTY: 0.0047715, AVERAGE_POPULARITY: 0.1163663, DIVERSITY_MEAN_INTER_LIST: 0.9822285, DIVERSITY_HERFINDAHL: 0.9982055, COVERAGE_ITEM: 0.4294206, COVERAGE_ITEM_CORRECT: 0.0432724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2007802, DIVERSITY_GINI: 0.1280776, SHANNON_ENTROPY: 11.2539743, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1779187, PRECISION: 0.0374942, PRECISION_RECALL_MIN_DEN: 0.1317491, RECALL: 0.1276799, MAP: 0.0619711, MRR: 0.1326598, NDCG: 0.0931492, F1: 0.0579640, HIT_RATE: 0.3749421, ARHR: 0.1529294, NOVELTY: 0.0047644, AVERAGE_POPULARITY: 0.1166895, DIVERSITY_MEAN_INTER_LIST: 0.9824025, DIVERSITY_HERFINDAHL: 0.9982229, COVERAGE_ITEM: 0.4244466, COVERAGE_ITEM_CORRECT: 0.0418479, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1978357, DIVERSITY_GINI: 0.1247032, SHANNON_ENTROPY: 11.2245559, 
