
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1452941, PRECISION: 0.0308965, PRECISION_RECALL_MIN_DEN: 0.1113183, RECALL: 0.1083389, MAP: 0.0481606, MRR: 0.1027711, NDCG: 0.0750808, F1: 0.0480797, HIT_RATE: 0.3089647, ARHR: 0.1167168, NOVELTY: 0.0051627, AVERAGE_POPULARITY: 0.0350133, DIVERSITY_MEAN_INTER_LIST: 0.9973815, DIVERSITY_HERFINDAHL: 0.9997205, COVERAGE_ITEM: 0.5558345, COVERAGE_ITEM_CORRECT: 0.0525967, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1689443, DIVERSITY_GINI: 0.2482328, SHANNON_ENTROPY: 12.8732093, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1544335, PRECISION: 0.0334369, PRECISION_RECALL_MIN_DEN: 0.1194122, RECALL: 0.1156615, MAP: 0.0522830, MRR: 0.1104191, NDCG: 0.0804099, F1: 0.0518748, HIT_RATE: 0.3343687, ARHR: 0.1267118, NOVELTY: 0.0051823, AVERAGE_POPULARITY: 0.0369787, DIVERSITY_MEAN_INTER_LIST: 0.9972028, DIVERSITY_HERFINDAHL: 0.9997027, COVERAGE_ITEM: 0.5645582, COVERAGE_ITEM_CORRECT: 0.0540135, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1791619, DIVERSITY_GINI: 0.2559504, SHANNON_ENTROPY: 12.8956650, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1408257, PRECISION: 0.0299249, PRECISION_RECALL_MIN_DEN: 0.1076470, RECALL: 0.1046349, MAP: 0.0465635, MRR: 0.0991633, NDCG: 0.0724372, F1: 0.0465376, HIT_RATE: 0.2992487, ARHR: 0.1125733, NOVELTY: 0.0051903, AVERAGE_POPULARITY: 0.0321830, DIVERSITY_MEAN_INTER_LIST: 0.9975518, DIVERSITY_HERFINDAHL: 0.9997376, COVERAGE_ITEM: 0.5666064, COVERAGE_ITEM_CORRECT: 0.0518114, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1638857, DIVERSITY_GINI: 0.2597400, SHANNON_ENTROPY: 12.9502453, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1567261, PRECISION: 0.0342576, PRECISION_RECALL_MIN_DEN: 0.1220406, RECALL: 0.1182943, MAP: 0.0534490, MRR: 0.1127571, NDCG: 0.0822849, F1: 0.0531258, HIT_RATE: 0.3425756, ARHR: 0.1298253, NOVELTY: 0.0051569, AVERAGE_POPULARITY: 0.0394748, DIVERSITY_MEAN_INTER_LIST: 0.9971513, DIVERSITY_HERFINDAHL: 0.9996975, COVERAGE_ITEM: 0.5569047, COVERAGE_ITEM_CORRECT: 0.0551838, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1821568, DIVERSITY_GINI: 0.2479015, SHANNON_ENTROPY: 12.8477302, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1719365, PRECISION: 0.0371122, PRECISION_RECALL_MIN_DEN: 0.1299901, RECALL: 0.1256700, MAP: 0.0603181, MRR: 0.1274513, NDCG: 0.0907069, F1: 0.0573012, HIT_RATE: 0.3711222, ARHR: 0.1477271, NOVELTY: 0.0048972, AVERAGE_POPULARITY: 0.0776957, DIVERSITY_MEAN_INTER_LIST: 0.9925259, DIVERSITY_HERFINDAHL: 0.9992351, COVERAGE_ITEM: 0.4118576, COVERAGE_ITEM_CORRECT: 0.0474995, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940607, DIVERSITY_GINI: 0.1293286, SHANNON_ENTROPY: 11.7174062, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1446297, PRECISION: 0.0311369, PRECISION_RECALL_MIN_DEN: 0.1091031, RECALL: 0.1052142, MAP: 0.0479032, MRR: 0.1052394, NDCG: 0.0738327, F1: 0.0480504, HIT_RATE: 0.3113686, ARHR: 0.1208512, NOVELTY: 0.0048234, AVERAGE_POPULARITY: 0.0739213, DIVERSITY_MEAN_INTER_LIST: 0.9924121, DIVERSITY_HERFINDAHL: 0.9992237, COVERAGE_ITEM: 0.3491049, COVERAGE_ITEM_CORRECT: 0.0444042, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1661507, DIVERSITY_GINI: 0.1001563, SHANNON_ENTROPY: 11.4462548, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1518441, PRECISION: 0.0321622, PRECISION_RECALL_MIN_DEN: 0.1160697, RECALL: 0.1129288, MAP: 0.0505199, MRR: 0.1086813, NDCG: 0.0785903, F1: 0.0500648, HIT_RATE: 0.3216219, ARHR: 0.1237640, NOVELTY: 0.0050401, AVERAGE_POPULARITY: 0.0484576, DIVERSITY_MEAN_INTER_LIST: 0.9963040, DIVERSITY_HERFINDAHL: 0.9996128, COVERAGE_ITEM: 0.5065871, COVERAGE_ITEM_CORRECT: 0.0520731, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1751604, DIVERSITY_GINI: 0.1998154, SHANNON_ENTROPY: 12.4910552, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1719719, PRECISION: 0.0369464, PRECISION_RECALL_MIN_DEN: 0.1293216, RECALL: 0.1250742, MAP: 0.0596959, MRR: 0.1270938, NDCG: 0.0901215, F1: 0.0570414, HIT_RATE: 0.3694639, ARHR: 0.1471003, NOVELTY: 0.0049112, AVERAGE_POPULARITY: 0.0804025, DIVERSITY_MEAN_INTER_LIST: 0.9919356, DIVERSITY_HERFINDAHL: 0.9991760, COVERAGE_ITEM: 0.4343253, COVERAGE_ITEM_CORRECT: 0.0454591, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1931043, DIVERSITY_GINI: 0.1402947, SHANNON_ENTROPY: 11.7723789, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5446984003945655, 'b': 0.8853041970163904, 'c': 0.3088141769756458, 'normalize': False} - results: ROC_AUC: 0.1458727, PRECISION: 0.0313764, PRECISION_RECALL_MIN_DEN: 0.1123804, RECALL: 0.1089045, MAP: 0.0488676, MRR: 0.1032657, NDCG: 0.0754687, F1: 0.0487156, HIT_RATE: 0.3137640, ARHR: 0.1179311, NOVELTY: 0.0052024, AVERAGE_POPULARITY: 0.0327233, DIVERSITY_MEAN_INTER_LIST: 0.9974450, DIVERSITY_HERFINDAHL: 0.9997269, COVERAGE_ITEM: 0.5704870, COVERAGE_ITEM_CORRECT: 0.0525428, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1700013, DIVERSITY_GINI: 0.2630764, SHANNON_ENTROPY: 12.9555613, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'a': 0.1131508014582984, 'b': 0.2985694025115306, 'c': 0.3248900134453407, 'normalize': False} - results: ROC_AUC: 0.1783634, PRECISION: 0.0394879, PRECISION_RECALL_MIN_DEN: 0.1403774, RECALL: 0.1360235, MAP: 0.0630228, MRR: 0.1300203, NDCG: 0.0956156, F1: 0.0612050, HIT_RATE: 0.3948789, ARHR: 0.1518498, NOVELTY: 0.0050896, AVERAGE_POPULARITY: 0.0539366, DIVERSITY_MEAN_INTER_LIST: 0.9958103, DIVERSITY_HERFINDAHL: 0.9995634, COVERAGE_ITEM: 0.5322810, COVERAGE_ITEM_CORRECT: 0.0575630, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2044042, DIVERSITY_GINI: 0.2205263, SHANNON_ENTROPY: 12.5826646, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.1690264949509698, 'b': 0.760900178621083, 'c': 0.13499643859738888, 'normalize': True} - results: ROC_AUC: 0.1348184, PRECISION: 0.0287794, PRECISION_RECALL_MIN_DEN: 0.1038313, RECALL: 0.1008968, MAP: 0.0445373, MRR: 0.0945689, NDCG: 0.0694329, F1: 0.0447824, HIT_RATE: 0.2877937, ARHR: 0.1072247, NOVELTY: 0.0052183, AVERAGE_POPULARITY: 0.0289739, DIVERSITY_MEAN_INTER_LIST: 0.9976690, DIVERSITY_HERFINDAHL: 0.9997493, COVERAGE_ITEM: 0.5743369, COVERAGE_ITEM_CORRECT: 0.0507719, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1586259, DIVERSITY_GINI: 0.2685455, SHANNON_ENTROPY: 13.0064622, 

SearchBayesianSkopt-CV: New best config found. Config 11: {'a': 0.6031557913035522, 'b': 0.21614274887108048, 'c': 0.9919177723285282, 'normalize': False} - results: ROC_AUC: 0.1827507, PRECISION: 0.0399972, PRECISION_RECALL_MIN_DEN: 0.1403679, RECALL: 0.1358835, MAP: 0.0654016, MRR: 0.1362417, NDCG: 0.0980324, F1: 0.0618023, HIT_RATE: 0.3999716, ARHR: 0.1587883, NOVELTY: 0.0049434, AVERAGE_POPULARITY: 0.0773396, DIVERSITY_MEAN_INTER_LIST: 0.9925143, DIVERSITY_HERFINDAHL: 0.9992339, COVERAGE_ITEM: 0.4517498, COVERAGE_ITEM_CORRECT: 0.0513879, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2066188, DIVERSITY_GINI: 0.1529180, SHANNON_ENTROPY: 11.9106283, 

SearchBayesianSkopt-CV: New best config found. Config 12: {'a': 0.2712832907080625, 'b': 0.15153957647934183, 'c': 0.39483554741715265, 'normalize': False} - results: ROC_AUC: 0.1880342, PRECISION: 0.0411739, PRECISION_RECALL_MIN_DEN: 0.1459443, RECALL: 0.1414391, MAP: 0.0673392, MRR: 0.1388463, NDCG: 0.1011376, F1: 0.0637797, HIT_RATE: 0.4117393, ARHR: 0.1623983, NOVELTY: 0.0049783, AVERAGE_POPULARITY: 0.0718053, DIVERSITY_MEAN_INTER_LIST: 0.9935077, DIVERSITY_HERFINDAHL: 0.9993332, COVERAGE_ITEM: 0.4688816, COVERAGE_ITEM_CORRECT: 0.0551453, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2118284, DIVERSITY_GINI: 0.1663918, SHANNON_ENTROPY: 12.0722454, 
