
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1795184, PRECISION: 0.0386328, PRECISION_RECALL_MIN_DEN: 0.1349082, RECALL: 0.1306192, MAP: 0.0631402, MRR: 0.1346477, NDCG: 0.0949707, F1: 0.0596285, HIT_RATE: 0.3863279, ARHR: 0.1556393, NOVELTY: 0.0047906, AVERAGE_POPULARITY: 0.1086219, DIVERSITY_MEAN_INTER_LIST: 0.9859277, DIVERSITY_HERFINDAHL: 0.9985753, COVERAGE_ITEM: 0.4224524, COVERAGE_ITEM_CORRECT: 0.0448200, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020385, DIVERSITY_GINI: 0.1289842, SHANNON_ENTROPY: 11.4203726, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1778300, PRECISION: 0.0376424, PRECISION_RECALL_MIN_DEN: 0.1317506, RECALL: 0.1276443, MAP: 0.0619628, MRR: 0.1325344, NDCG: 0.0931510, F1: 0.0581375, HIT_RATE: 0.3764243, ARHR: 0.1529584, NOVELTY: 0.0047734, AVERAGE_POPULARITY: 0.1143819, DIVERSITY_MEAN_INTER_LIST: 0.9836354, DIVERSITY_HERFINDAHL: 0.9983462, COVERAGE_ITEM: 0.4244004, COVERAGE_ITEM_CORRECT: 0.0421559, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1980873, DIVERSITY_GINI: 0.1264749, SHANNON_ENTROPY: 11.2942199, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1798144, PRECISION: 0.0386402, PRECISION_RECALL_MIN_DEN: 0.1349397, RECALL: 0.1306647, MAP: 0.0631847, MRR: 0.1347970, NDCG: 0.0950301, F1: 0.0596419, HIT_RATE: 0.3864016, ARHR: 0.1557873, NOVELTY: 0.0047903, AVERAGE_POPULARITY: 0.1081333, DIVERSITY_MEAN_INTER_LIST: 0.9861028, DIVERSITY_HERFINDAHL: 0.9985929, COVERAGE_ITEM: 0.4204273, COVERAGE_ITEM_CORRECT: 0.0448739, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2022398, DIVERSITY_GINI: 0.1282405, SHANNON_ENTROPY: 11.4211723, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1752426, PRECISION: 0.0368616, PRECISION_RECALL_MIN_DEN: 0.1287593, RECALL: 0.1247417, MAP: 0.0606785, MRR: 0.1301438, NDCG: 0.0912397, F1: 0.0569050, HIT_RATE: 0.3686163, ARHR: 0.1500407, NOVELTY: 0.0047675, AVERAGE_POPULARITY: 0.1191625, DIVERSITY_MEAN_INTER_LIST: 0.9814415, DIVERSITY_HERFINDAHL: 0.9981268, COVERAGE_ITEM: 0.4363426, COVERAGE_ITEM_CORRECT: 0.0405621, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1947150, DIVERSITY_GINI: 0.1293065, SHANNON_ENTROPY: 11.2243321, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1743039, PRECISION: 0.0367024, PRECISION_RECALL_MIN_DEN: 0.1281092, RECALL: 0.1241102, MAP: 0.0601367, MRR: 0.1293546, NDCG: 0.0906039, F1: 0.0566491, HIT_RATE: 0.3670241, ARHR: 0.1491357, NOVELTY: 0.0047657, AVERAGE_POPULARITY: 0.1189514, DIVERSITY_MEAN_INTER_LIST: 0.9815767, DIVERSITY_HERFINDAHL: 0.9981403, COVERAGE_ITEM: 0.4341405, COVERAGE_ITEM_CORRECT: 0.0403311, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1939348, DIVERSITY_GINI: 0.1276081, SHANNON_ENTROPY: 11.2098068, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1745170, PRECISION: 0.0367625, PRECISION_RECALL_MIN_DEN: 0.1285203, RECALL: 0.1245083, MAP: 0.0603753, MRR: 0.1295421, NDCG: 0.0908831, F1: 0.0567629, HIT_RATE: 0.3676254, ARHR: 0.1494163, NOVELTY: 0.0047718, AVERAGE_POPULARITY: 0.1200248, DIVERSITY_MEAN_INTER_LIST: 0.9808885, DIVERSITY_HERFINDAHL: 0.9980715, COVERAGE_ITEM: 0.4430183, COVERAGE_ITEM_CORRECT: 0.0404697, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940355, DIVERSITY_GINI: 0.1329266, SHANNON_ENTROPY: 11.2392581, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1743045, PRECISION: 0.0366177, PRECISION_RECALL_MIN_DEN: 0.1279085, RECALL: 0.1239190, MAP: 0.0601044, MRR: 0.1290796, NDCG: 0.0904996, F1: 0.0565289, HIT_RATE: 0.3661770, ARHR: 0.1488824, NOVELTY: 0.0047697, AVERAGE_POPULARITY: 0.1202675, DIVERSITY_MEAN_INTER_LIST: 0.9808174, DIVERSITY_HERFINDAHL: 0.9980644, COVERAGE_ITEM: 0.4417863, COVERAGE_ITEM_CORRECT: 0.0401925, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1933812, DIVERSITY_GINI: 0.1318326, SHANNON_ENTROPY: 11.2242197, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1752239, PRECISION: 0.0368831, PRECISION_RECALL_MIN_DEN: 0.1286900, RECALL: 0.1246835, MAP: 0.0608194, MRR: 0.1305569, NDCG: 0.0913626, F1: 0.0569245, HIT_RATE: 0.3688310, ARHR: 0.1504602, NOVELTY: 0.0047647, AVERAGE_POPULARITY: 0.1178304, DIVERSITY_MEAN_INTER_LIST: 0.9821246, DIVERSITY_HERFINDAHL: 0.9981951, COVERAGE_ITEM: 0.4292974, COVERAGE_ITEM_CORRECT: 0.0406237, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1947402, DIVERSITY_GINI: 0.1257959, SHANNON_ENTROPY: 11.2163864, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1795074, PRECISION: 0.0384765, PRECISION_RECALL_MIN_DEN: 0.1345665, RECALL: 0.1303032, MAP: 0.0629420, MRR: 0.1343649, NDCG: 0.0947007, F1: 0.0594090, HIT_RATE: 0.3847649, ARHR: 0.1552353, NOVELTY: 0.0047870, AVERAGE_POPULARITY: 0.1096568, DIVERSITY_MEAN_INTER_LIST: 0.9855378, DIVERSITY_HERFINDAHL: 0.9985364, COVERAGE_ITEM: 0.4218595, COVERAGE_ITEM_CORRECT: 0.0442656, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2014848, DIVERSITY_GINI: 0.1281312, SHANNON_ENTROPY: 11.3947513, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1782818, PRECISION: 0.0378862, PRECISION_RECALL_MIN_DEN: 0.1325118, RECALL: 0.1283406, MAP: 0.0622445, MRR: 0.1329045, NDCG: 0.0935538, F1: 0.0585008, HIT_RATE: 0.3788619, ARHR: 0.1535222, NOVELTY: 0.0047776, AVERAGE_POPULARITY: 0.1127289, DIVERSITY_MEAN_INTER_LIST: 0.9843250, DIVERSITY_HERFINDAHL: 0.9984151, COVERAGE_ITEM: 0.4229605, COVERAGE_ITEM_CORRECT: 0.0428412, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988675, DIVERSITY_GINI: 0.1267806, SHANNON_ENTROPY: 11.3276146, 
