SearchBayesianSkopt: New best config found. Config 0: {'alpha': 0.9636594733496491, 'l1_ratio': 0.009654473731918524} - results: ROC_AUC: 0.1410597, PRECISION: 0.0291260, PRECISION_RECALL_MIN_DEN: 0.1227944, RECALL: 0.1203685, MAP: 0.0522899, MRR: 0.1000874, NDCG: 0.0796199, F1: 0.0469028, HIT_RATE: 0.2912601, ARHR: 0.1119762, NOVELTY: 0.0048035, AVERAGE_POPULARITY: 0.1107179, DIVERSITY_MEAN_INTER_LIST: 0.9822541, DIVERSITY_HERFINDAHL: 0.9982046, COVERAGE_ITEM: 0.3759384, COVERAGE_ITEM_CORRECT: 0.0297594, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1369070, DIVERSITY_GINI: 0.1180546, SHANNON_ENTROPY: 11.2069244, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'alpha': 0.7165545694951128, 'l1_ratio': 0.05217410994622797} - results: ROC_AUC: 0.1423383, PRECISION: 0.0290836, PRECISION_RECALL_MIN_DEN: 0.1206533, RECALL: 0.1181818, MAP: 0.0515870, MRR: 0.0997753, NDCG: 0.0787807, F1: 0.0466797, HIT_RATE: 0.2908358, ARHR: 0.1115433, NOVELTY: 0.0048225, AVERAGE_POPULARITY: 0.1044453, DIVERSITY_MEAN_INTER_LIST: 0.9851310, DIVERSITY_HERFINDAHL: 0.9984922, COVERAGE_ITEM: 0.3730895, COVERAGE_ITEM_CORRECT: 0.0303754, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1365295, DIVERSITY_GINI: 0.1200461, SHANNON_ENTROPY: 11.3366605, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'alpha': 0.5545552899564928, 'l1_ratio': 0.5604377565295029} - results: ROC_AUC: 0.1406881, PRECISION: 0.0281502, PRECISION_RECALL_MIN_DEN: 0.1167450, RECALL: 0.1144324, MAP: 0.0510445, MRR: 0.0991674, NDCG: 0.0774584, F1: 0.0451850, HIT_RATE: 0.2815019, ARHR: 0.1104861, NOVELTY: 0.0048195, AVERAGE_POPULARITY: 0.1041087, DIVERSITY_MEAN_INTER_LIST: 0.9855715, DIVERSITY_HERFINDAHL: 0.9985362, COVERAGE_ITEM: 0.3708951, COVERAGE_ITEM_CORRECT: 0.0295284, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1330062, DIVERSITY_GINI: 0.1184973, SHANNON_ENTROPY: 11.3387111, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'alpha': 0.5774084789167019, 'l1_ratio': 0.002541824263361359} - results: ROC_AUC: 0.1423960, PRECISION: 0.0288290, PRECISION_RECALL_MIN_DEN: 0.1186164, RECALL: 0.1160893, MAP: 0.0513637, MRR: 0.1000521, NDCG: 0.0782161, F1: 0.0461880, HIT_RATE: 0.2882902, ARHR: 0.1117216, NOVELTY: 0.0048296, AVERAGE_POPULARITY: 0.1014706, DIVERSITY_MEAN_INTER_LIST: 0.9864386, DIVERSITY_HERFINDAHL: 0.9986229, COVERAGE_ITEM: 0.3701251, COVERAGE_ITEM_CORRECT: 0.0304139, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1351453, DIVERSITY_GINI: 0.1202845, SHANNON_ENTROPY: 11.3941993, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'alpha': 0.09276590540907127, 'l1_ratio': 0.23850647779178352} - results: ROC_AUC: 0.1389521, PRECISION: 0.0277471, PRECISION_RECALL_MIN_DEN: 0.1131066, RECALL: 0.1106894, MAP: 0.0499976, MRR: 0.0984959, NDCG: 0.0757635, F1: 0.0443714, HIT_RATE: 0.2774714, ARHR: 0.1099047, NOVELTY: 0.0048458, AVERAGE_POPULARITY: 0.0964718, DIVERSITY_MEAN_INTER_LIST: 0.9886743, DIVERSITY_HERFINDAHL: 0.9988465, COVERAGE_ITEM: 0.3652358, COVERAGE_ITEM_CORRECT: 0.0308373, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1308670, DIVERSITY_GINI: 0.1205395, SHANNON_ENTROPY: 11.4988247, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'alpha': 0.9301102284894208, 'l1_ratio': 0.8788729759484105} - results: ROC_AUC: 0.1304455, PRECISION: 0.0259228, PRECISION_RECALL_MIN_DEN: 0.1086690, RECALL: 0.1064858, MAP: 0.0482164, MRR: 0.0922877, NDCG: 0.0722879, F1: 0.0416953, HIT_RATE: 0.2592278, ARHR: 0.1024241, NOVELTY: 0.0047839, AVERAGE_POPULARITY: 0.1146151, DIVERSITY_MEAN_INTER_LIST: 0.9805139, DIVERSITY_HERFINDAHL: 0.9980306, COVERAGE_ITEM: 0.3765929, COVERAGE_ITEM_CORRECT: 0.0261020, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1234428, DIVERSITY_GINI: 0.1162042, SHANNON_ENTROPY: 11.1238406, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'alpha': 0.3192261934570744, 'l1_ratio': 0.7358443048822112} - results: ROC_AUC: 0.1397269, PRECISION: 0.0282350, PRECISION_RECALL_MIN_DEN: 0.1150971, RECALL: 0.1126236, MAP: 0.0508076, MRR: 0.1000260, NDCG: 0.0769948, F1: 0.0451507, HIT_RATE: 0.2823504, ARHR: 0.1115711, NOVELTY: 0.0048321, AVERAGE_POPULARITY: 0.1007791, DIVERSITY_MEAN_INTER_LIST: 0.9871237, DIVERSITY_HERFINDAHL: 0.9986914, COVERAGE_ITEM: 0.3685467, COVERAGE_ITEM_CORRECT: 0.0302214, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1325028, DIVERSITY_GINI: 0.1196155, SHANNON_ENTROPY: 11.4179144, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'alpha': 0.608108044649009, 'l1_ratio': 0.2200071050915266} - results: ROC_AUC: 0.1422388, PRECISION: 0.0285745, PRECISION_RECALL_MIN_DEN: 0.1178369, RECALL: 0.1154108, MAP: 0.0514719, MRR: 0.0997140, NDCG: 0.0780712, F1: 0.0458075, HIT_RATE: 0.2857446, ARHR: 0.1113034, NOVELTY: 0.0048256, AVERAGE_POPULARITY: 0.1032108, DIVERSITY_MEAN_INTER_LIST: 0.9857553, DIVERSITY_HERFINDAHL: 0.9985546, COVERAGE_ITEM: 0.3732435, COVERAGE_ITEM_CORRECT: 0.0298749, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1341387, DIVERSITY_GINI: 0.1202217, SHANNON_ENTROPY: 11.3608544, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'alpha': 0.41155390074560927, 'l1_ratio': 0.09330112657585733} - results: ROC_AUC: 0.1415978, PRECISION: 0.0286169, PRECISION_RECALL_MIN_DEN: 0.1171781, RECALL: 0.1147024, MAP: 0.0514099, MRR: 0.1004953, NDCG: 0.0779385, F1: 0.0458058, HIT_RATE: 0.2861689, ARHR: 0.1122187, NOVELTY: 0.0048401, AVERAGE_POPULARITY: 0.0991354, DIVERSITY_MEAN_INTER_LIST: 0.9874749, DIVERSITY_HERFINDAHL: 0.9987265, COVERAGE_ITEM: 0.3708951, COVERAGE_ITEM_CORRECT: 0.0304524, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1338870, DIVERSITY_GINI: 0.1216384, SHANNON_ENTROPY: 11.4500573, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'alpha': 0.47674521368600575, 'l1_ratio': 0.8560091593496508} - results: ROC_AUC: 0.1397434, PRECISION: 0.0278320, PRECISION_RECALL_MIN_DEN: 0.1148178, RECALL: 0.1124987, MAP: 0.0506715, MRR: 0.0989148, NDCG: 0.0766953, F1: 0.0446241, HIT_RATE: 0.2783199, ARHR: 0.1102310, NOVELTY: 0.0048169, AVERAGE_POPULARITY: 0.1043098, DIVERSITY_MEAN_INTER_LIST: 0.9856818, DIVERSITY_HERFINDAHL: 0.9985473, COVERAGE_ITEM: 0.3678922, COVERAGE_ITEM_CORRECT: 0.0293744, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1313703, DIVERSITY_GINI: 0.1173868, SHANNON_ENTROPY: 11.3347085, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'alpha': 0.7983445966990144, 'l1_ratio': 0.53133319032099} - results: ROC_AUC: 0.1396354, PRECISION: 0.0279805, PRECISION_RECALL_MIN_DEN: 0.1176462, RECALL: 0.1153877, MAP: 0.0507744, MRR: 0.0975124, NDCG: 0.0771184, F1: 0.0450393, HIT_RATE: 0.2798048, ARHR: 0.1087855, NOVELTY: 0.0048010, AVERAGE_POPULARITY: 0.1093651, DIVERSITY_MEAN_INTER_LIST: 0.9830594, DIVERSITY_HERFINDAHL: 0.9982851, COVERAGE_ITEM: 0.3712416, COVERAGE_ITEM_CORRECT: 0.0282194, COVERAGE_USER: 0.5931798, COVERAGE_USER_CORRECT: 0.1333837, DIVERSITY_GINI: 0.1162482, SHANNON_ENTROPY: 11.2233163, 
