
SearchBayesianSkopt-CV: New best config found. Config 8: {'topK': 718, 'shrink': 598, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'icm_weight': 12.259568000205066} - results: ROC_AUC: 0.1109842, PRECISION: 0.0227648, PRECISION_RECALL_MIN_DEN: 0.0920971, RECALL: 0.0902999, MAP: 0.0376460, MRR: 0.0746941, NDCG: 0.0591959, F1: 0.0363613, HIT_RATE: 0.2276480, ARHR: 0.0820798, NOVELTY: 0.0047236, AVERAGE_POPULARITY: 0.0392326, DIVERSITY_MEAN_INTER_LIST: 0.9956838, DIVERSITY_HERFINDAHL: 0.9995480, COVERAGE_ITEM: 0.5629105, COVERAGE_ITEM_CORRECT: 0.0343176, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1152888, DIVERSITY_GINI: 0.2691688, SHANNON_ENTROPY: 12.8524033, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 391, 'shrink': 425, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'icm_weight': 8.717209906197267} - results: ROC_AUC: 0.0950924, PRECISION: 0.0194293, PRECISION_RECALL_MIN_DEN: 0.0752670, RECALL: 0.0736275, MAP: 0.0307372, MRR: 0.0639142, NDCG: 0.0488974, F1: 0.0307435, HIT_RATE: 0.1942931, ARHR: 0.0699842, NOVELTY: 0.0046784, AVERAGE_POPULARITY: 0.0442943, DIVERSITY_MEAN_INTER_LIST: 0.9947568, DIVERSITY_HERFINDAHL: 0.9994554, COVERAGE_ITEM: 0.5266987, COVERAGE_ITEM_CORRECT: 0.0276035, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0990562, DIVERSITY_GINI: 0.2448900, SHANNON_ENTROPY: 12.6736333, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 498, 'shrink': 246, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'icm_weight': 6.074895259481154} - results: ROC_AUC: 0.0631319, PRECISION: 0.0122987, PRECISION_RECALL_MIN_DEN: 0.0469693, RECALL: 0.0459137, MAP: 0.0199598, MRR: 0.0429305, NDCG: 0.0314585, F1: 0.0193995, HIT_RATE: 0.1229875, ARHR: 0.0460598, NOVELTY: 0.0047365, AVERAGE_POPULARITY: 0.0208503, DIVERSITY_MEAN_INTER_LIST: 0.9957551, DIVERSITY_HERFINDAHL: 0.9995552, COVERAGE_ITEM: 0.4870606, COVERAGE_ITEM_CORRECT: 0.0203349, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0650057, DIVERSITY_GINI: 0.2250729, SHANNON_ENTROPY: 12.6667486, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 721, 'shrink': 545, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'icm_weight': 10.5348520343941} - results: ROC_AUC: 0.0602313, PRECISION: 0.0118117, PRECISION_RECALL_MIN_DEN: 0.0449948, RECALL: 0.0439828, MAP: 0.0193652, MRR: 0.0411640, NDCG: 0.0303027, F1: 0.0186195, HIT_RATE: 0.1181173, ARHR: 0.0444442, NOVELTY: 0.0047634, AVERAGE_POPULARITY: 0.0167867, DIVERSITY_MEAN_INTER_LIST: 0.9962924, DIVERSITY_HERFINDAHL: 0.9996089, COVERAGE_ITEM: 0.5450626, COVERAGE_ITEM_CORRECT: 0.0205505, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0617843, DIVERSITY_GINI: 0.2679599, SHANNON_ENTROPY: 12.9199402, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 519, 'shrink': 655, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'icm_weight': 13.383047391555941} - results: ROC_AUC: 0.1096651, PRECISION: 0.0226458, PRECISION_RECALL_MIN_DEN: 0.0915568, RECALL: 0.0897679, MAP: 0.0372409, MRR: 0.0739284, NDCG: 0.0586788, F1: 0.0361662, HIT_RATE: 0.2264579, ARHR: 0.0812630, NOVELTY: 0.0047257, AVERAGE_POPULARITY: 0.0391459, DIVERSITY_MEAN_INTER_LIST: 0.9956773, DIVERSITY_HERFINDAHL: 0.9995474, COVERAGE_ITEM: 0.5615861, COVERAGE_ITEM_CORRECT: 0.0341097, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1146093, DIVERSITY_GINI: 0.2686078, SHANNON_ENTROPY: 12.8501684, 

SearchBayesianSkopt-CV: New best config found. Config 13: {'topK': 905, 'shrink': 775, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'icm_weight': 4.876427458469186} - results: ROC_AUC: 0.1119632, PRECISION: 0.0230578, PRECISION_RECALL_MIN_DEN: 0.0915678, RECALL: 0.0896472, MAP: 0.0378953, MRR: 0.0765871, NDCG: 0.0594709, F1: 0.0366801, HIT_RATE: 0.2305784, ARHR: 0.0843521, NOVELTY: 0.0047356, AVERAGE_POPULARITY: 0.0354347, DIVERSITY_MEAN_INTER_LIST: 0.9961914, DIVERSITY_HERFINDAHL: 0.9995988, COVERAGE_ITEM: 0.6071684, COVERAGE_ITEM_CORRECT: 0.0354726, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1163458, DIVERSITY_GINI: 0.3039280, SHANNON_ENTROPY: 13.0370146, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 923, 'shrink': 458, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'icm_weight': 14.709126428623767} - results: ROC_AUC: 0.0795360, PRECISION: 0.0162141, PRECISION_RECALL_MIN_DEN: 0.0637720, RECALL: 0.0624250, MAP: 0.0255912, MRR: 0.0536069, NDCG: 0.0409860, F1: 0.0257409, HIT_RATE: 0.1621409, ARHR: 0.0583781, NOVELTY: 0.0047295, AVERAGE_POPULARITY: 0.0198037, DIVERSITY_MEAN_INTER_LIST: 0.9966819, DIVERSITY_HERFINDAHL: 0.9996478, COVERAGE_ITEM: 0.6292820, COVERAGE_ITEM_CORRECT: 0.0276035, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0833270, DIVERSITY_GINI: 0.3276729, SHANNON_ENTROPY: 13.1878699, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 523, 'shrink': 407, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'icm_weight': 18.92083065492948} - results: ROC_AUC: 0.1090145, PRECISION: 0.0223644, PRECISION_RECALL_MIN_DEN: 0.0909031, RECALL: 0.0891555, MAP: 0.0367299, MRR: 0.0727565, NDCG: 0.0580089, F1: 0.0357568, HIT_RATE: 0.2236444, ARHR: 0.0798873, NOVELTY: 0.0047242, AVERAGE_POPULARITY: 0.0399916, DIVERSITY_MEAN_INTER_LIST: 0.9955178, DIVERSITY_HERFINDAHL: 0.9995314, COVERAGE_ITEM: 0.5466949, COVERAGE_ITEM_CORRECT: 0.0335399, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1139298, DIVERSITY_GINI: 0.2577023, SHANNON_ENTROPY: 12.7906247, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 250, 'shrink': 878, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'icm_weight': 8.702409247025061} - results: ROC_AUC: 0.0864021, PRECISION: 0.0178984, PRECISION_RECALL_MIN_DEN: 0.0699156, RECALL: 0.0684276, MAP: 0.0285180, MRR: 0.0591425, NDCG: 0.0453041, F1: 0.0283717, HIT_RATE: 0.1789840, ARHR: 0.0648726, NOVELTY: 0.0047124, AVERAGE_POPULARITY: 0.0243223, DIVERSITY_MEAN_INTER_LIST: 0.9966847, DIVERSITY_HERFINDAHL: 0.9996481, COVERAGE_ITEM: 0.6313224, COVERAGE_ITEM_CORRECT: 0.0293975, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0908267, DIVERSITY_GINI: 0.3321216, SHANNON_ENTROPY: 13.2024497, 
