
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1641801, PRECISION: 0.0344163, PRECISION_RECALL_MIN_DEN: 0.1179110, RECALL: 0.1141472, MAP: 0.0558804, MRR: 0.1217170, NDCG: 0.0842661, F1: 0.0528842, HIT_RATE: 0.3441628, ARHR: 0.1401569, NOVELTY: 0.0048319, AVERAGE_POPULARITY: 0.1157765, DIVERSITY_MEAN_INTER_LIST: 0.9826119, DIVERSITY_HERFINDAHL: 0.9982438, COVERAGE_ITEM: 0.4409394, COVERAGE_ITEM_CORRECT: 0.0365274, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1816535, DIVERSITY_GINI: 0.1401764, SHANNON_ENTROPY: 11.4113404, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1721929, PRECISION: 0.0363350, PRECISION_RECALL_MIN_DEN: 0.1246606, RECALL: 0.1205967, MAP: 0.0591563, MRR: 0.1280893, NDCG: 0.0889214, F1: 0.0558429, HIT_RATE: 0.3633501, ARHR: 0.1478566, NOVELTY: 0.0048243, AVERAGE_POPULARITY: 0.1083083, DIVERSITY_MEAN_INTER_LIST: 0.9852871, DIVERSITY_HERFINDAHL: 0.9985113, COVERAGE_ITEM: 0.4349105, COVERAGE_ITEM_CORRECT: 0.0399384, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1909651, DIVERSITY_GINI: 0.1340955, SHANNON_ENTROPY: 11.4249790, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1651890, PRECISION: 0.0348013, PRECISION_RECALL_MIN_DEN: 0.1188436, RECALL: 0.1149938, MAP: 0.0563340, MRR: 0.1228707, NDCG: 0.0849446, F1: 0.0534301, HIT_RATE: 0.3480130, ARHR: 0.1416047, NOVELTY: 0.0048402, AVERAGE_POPULARITY: 0.1136415, DIVERSITY_MEAN_INTER_LIST: 0.9833159, DIVERSITY_HERFINDAHL: 0.9983142, COVERAGE_ITEM: 0.4442425, COVERAGE_ITEM_CORRECT: 0.0373282, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1834906, DIVERSITY_GINI: 0.1424476, SHANNON_ENTROPY: 11.4511114, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1705498, PRECISION: 0.0359954, PRECISION_RECALL_MIN_DEN: 0.1235391, RECALL: 0.1194898, MAP: 0.0583250, MRR: 0.1265026, NDCG: 0.0878632, F1: 0.0553231, HIT_RATE: 0.3599539, ARHR: 0.1459943, NOVELTY: 0.0048299, AVERAGE_POPULARITY: 0.1029662, DIVERSITY_MEAN_INTER_LIST: 0.9868261, DIVERSITY_HERFINDAHL: 0.9986652, COVERAGE_ITEM: 0.4252243, COVERAGE_ITEM_CORRECT: 0.0402695, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1890776, DIVERSITY_GINI: 0.1296889, SHANNON_ENTROPY: 11.4437001, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1692129, PRECISION: 0.0359207, PRECISION_RECALL_MIN_DEN: 0.1229207, RECALL: 0.1188623, MAP: 0.0580358, MRR: 0.1262623, NDCG: 0.0874836, F1: 0.0551676, HIT_RATE: 0.3592071, ARHR: 0.1456957, NOVELTY: 0.0048568, AVERAGE_POPULARITY: 0.0975779, DIVERSITY_MEAN_INTER_LIST: 0.9880751, DIVERSITY_HERFINDAHL: 0.9987901, COVERAGE_ITEM: 0.4318383, COVERAGE_ITEM_CORRECT: 0.0407161, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1881213, DIVERSITY_GINI: 0.1349442, SHANNON_ENTROPY: 11.5423305, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1684993, PRECISION: 0.0356044, PRECISION_RECALL_MIN_DEN: 0.1226047, RECALL: 0.1186421, MAP: 0.0576664, MRR: 0.1249477, NDCG: 0.0869989, F1: 0.0547701, HIT_RATE: 0.3560441, ARHR: 0.1440935, NOVELTY: 0.0047822, AVERAGE_POPULARITY: 0.1120268, DIVERSITY_MEAN_INTER_LIST: 0.9844988, DIVERSITY_HERFINDAHL: 0.9984325, COVERAGE_ITEM: 0.4085159, COVERAGE_ITEM_CORRECT: 0.0388142, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1875928, DIVERSITY_GINI: 0.1183105, SHANNON_ENTROPY: 11.2515262, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1687653, PRECISION: 0.0357803, PRECISION_RECALL_MIN_DEN: 0.1228675, RECALL: 0.1188689, MAP: 0.0577052, MRR: 0.1253141, NDCG: 0.0871372, F1: 0.0550023, HIT_RATE: 0.3578026, ARHR: 0.1446091, NOVELTY: 0.0048067, AVERAGE_POPULARITY: 0.1065833, DIVERSITY_MEAN_INTER_LIST: 0.9859595, DIVERSITY_HERFINDAHL: 0.9985785, COVERAGE_ITEM: 0.4149605, COVERAGE_ITEM_CORRECT: 0.0397151, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1880710, DIVERSITY_GINI: 0.1232399, SHANNON_ENTROPY: 11.3511207, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1701282, PRECISION: 0.0360270, PRECISION_RECALL_MIN_DEN: 0.1233959, RECALL: 0.1193225, MAP: 0.0583530, MRR: 0.1269858, NDCG: 0.0879106, F1: 0.0553425, HIT_RATE: 0.3602703, ARHR: 0.1465499, NOVELTY: 0.0048631, AVERAGE_POPULARITY: 0.0970819, DIVERSITY_MEAN_INTER_LIST: 0.9881747, DIVERSITY_HERFINDAHL: 0.9988000, COVERAGE_ITEM: 0.4360269, COVERAGE_ITEM_CORRECT: 0.0409394, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1887253, DIVERSITY_GINI: 0.1374883, SHANNON_ENTROPY: 11.5692430, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1666670, PRECISION: 0.0349325, PRECISION_RECALL_MIN_DEN: 0.1196001, RECALL: 0.1157656, MAP: 0.0566988, MRR: 0.1235235, NDCG: 0.0854765, F1: 0.0536682, HIT_RATE: 0.3493245, ARHR: 0.1423763, NOVELTY: 0.0048295, AVERAGE_POPULARITY: 0.1142781, DIVERSITY_MEAN_INTER_LIST: 0.9832026, DIVERSITY_HERFINDAHL: 0.9983029, COVERAGE_ITEM: 0.4400924, COVERAGE_ITEM_CORRECT: 0.0374052, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1844218, DIVERSITY_GINI: 0.1390779, SHANNON_ENTROPY: 11.4139784, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1708676, PRECISION: 0.0360486, PRECISION_RECALL_MIN_DEN: 0.1232336, RECALL: 0.1192264, MAP: 0.0586658, MRR: 0.1272980, NDCG: 0.0881683, F1: 0.0553580, HIT_RATE: 0.3604860, ARHR: 0.1469195, NOVELTY: 0.0048247, AVERAGE_POPULARITY: 0.1103995, DIVERSITY_MEAN_INTER_LIST: 0.9846012, DIVERSITY_HERFINDAHL: 0.9984427, COVERAGE_ITEM: 0.4378518, COVERAGE_ITEM_CORRECT: 0.0394225, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1895558, DIVERSITY_GINI: 0.1360462, SHANNON_ENTROPY: 11.4200475, 
