
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8095297936715532, 'l1_ratio': 0.6066689013350335, 'topK': 36, 'normalize': True} - results: ROC_AUC: 0.1689637, PRECISION: 0.0355025, PRECISION_RECALL_MIN_DEN: 0.1224537, RECALL: 0.1183292, MAP: 0.0588870, MRR: 0.1257467, NDCG: 0.0877681, F1: 0.0546157, HIT_RATE: 0.3550245, ARHR: 0.1453013, NOVELTY: 0.0050035, AVERAGE_POPULARITY: 0.0856637, DIVERSITY_MEAN_INTER_LIST: 0.9905471, DIVERSITY_HERFINDAHL: 0.9990372, COVERAGE_ITEM: 0.5344370, COVERAGE_ITEM_CORRECT: 0.0444735, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1857556, DIVERSITY_GINI: 0.2063571, SHANNON_ENTROPY: 12.1651177, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'alpha': 0.07968009548511613, 'l1_ratio': 0.7022871552390111, 'topK': 614, 'normalize': True} - results: ROC_AUC: 0.1812519, PRECISION: 0.0390787, PRECISION_RECALL_MIN_DEN: 0.1361899, RECALL: 0.1317561, MAP: 0.0637029, MRR: 0.1356319, NDCG: 0.0957345, F1: 0.0602779, HIT_RATE: 0.3907871, ARHR: 0.1570890, NOVELTY: 0.0048201, AVERAGE_POPULARITY: 0.1010642, DIVERSITY_MEAN_INTER_LIST: 0.9882531, DIVERSITY_HERFINDAHL: 0.9988079, COVERAGE_ITEM: 0.4253628, COVERAGE_ITEM_CORRECT: 0.0471838, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033975, DIVERSITY_GINI: 0.1342682, SHANNON_ENTROPY: 11.5726682, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.14490976979778805, 'l1_ratio': 0.17319390752089917, 'topK': 833, 'normalize': True} - results: ROC_AUC: 0.1805057, PRECISION: 0.0389093, PRECISION_RECALL_MIN_DEN: 0.1356866, RECALL: 0.1312926, MAP: 0.0634810, MRR: 0.1352717, NDCG: 0.0954107, F1: 0.0600278, HIT_RATE: 0.3890934, ARHR: 0.1566192, NOVELTY: 0.0048074, AVERAGE_POPULARITY: 0.1040929, DIVERSITY_MEAN_INTER_LIST: 0.9873700, DIVERSITY_HERFINDAHL: 0.9987195, COVERAGE_ITEM: 0.4240462, COVERAGE_ITEM_CORRECT: 0.0461906, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026425, DIVERSITY_GINI: 0.1317401, SHANNON_ENTROPY: 11.5071060, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.8948175991352361, 'l1_ratio': 0.30031320861453287, 'topK': 41, 'normalize': True} - results: ROC_AUC: 0.1700166, PRECISION: 0.0357637, PRECISION_RECALL_MIN_DEN: 0.1231085, RECALL: 0.1189556, MAP: 0.0589449, MRR: 0.1260735, NDCG: 0.0880852, F1: 0.0549911, HIT_RATE: 0.3576365, ARHR: 0.1456917, NOVELTY: 0.0049924, AVERAGE_POPULARITY: 0.0880119, DIVERSITY_MEAN_INTER_LIST: 0.9899242, DIVERSITY_HERFINDAHL: 0.9989749, COVERAGE_ITEM: 0.5329278, COVERAGE_ITEM_CORRECT: 0.0443657, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1876180, DIVERSITY_GINI: 0.2033980, SHANNON_ENTROPY: 12.1146438, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.8291189668811667, 'l1_ratio': 0.3497465024817766, 'topK': 405, 'normalize': True} - results: ROC_AUC: 0.1770223, PRECISION: 0.0376355, PRECISION_RECALL_MIN_DEN: 0.1302343, RECALL: 0.1259977, MAP: 0.0616291, MRR: 0.1320148, NDCG: 0.0924257, F1: 0.0579573, HIT_RATE: 0.3763546, ARHR: 0.1527610, NOVELTY: 0.0048293, AVERAGE_POPULARITY: 0.1078474, DIVERSITY_MEAN_INTER_LIST: 0.9851115, DIVERSITY_HERFINDAHL: 0.9984937, COVERAGE_ITEM: 0.4564081, COVERAGE_ITEM_CORRECT: 0.0432416, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966780, DIVERSITY_GINI: 0.1454140, SHANNON_ENTROPY: 11.5077943, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'alpha': 0.06505886118827077, 'l1_ratio': 0.7908004348565846, 'topK': 810, 'normalize': False} - results: ROC_AUC: 0.1797155, PRECISION: 0.0384309, PRECISION_RECALL_MIN_DEN: 0.1335354, RECALL: 0.1292413, MAP: 0.0627845, MRR: 0.1340437, NDCG: 0.0943288, F1: 0.0592443, HIT_RATE: 0.3843090, ARHR: 0.1551672, NOVELTY: 0.0048006, AVERAGE_POPULARITY: 0.1076542, DIVERSITY_MEAN_INTER_LIST: 0.9859433, DIVERSITY_HERFINDAHL: 0.9985769, COVERAGE_ITEM: 0.4283118, COVERAGE_ITEM_CORRECT: 0.0441963, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2007047, DIVERSITY_GINI: 0.1320635, SHANNON_ENTROPY: 11.4425335, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'alpha': 0.3940398433230946, 'l1_ratio': 0.26269148661090974, 'topK': 114, 'normalize': False} - results: ROC_AUC: 0.1749276, PRECISION: 0.0370453, PRECISION_RECALL_MIN_DEN: 0.1278600, RECALL: 0.1236247, MAP: 0.0609264, MRR: 0.1306394, NDCG: 0.0911185, F1: 0.0570066, HIT_RATE: 0.3704526, ARHR: 0.1513594, NOVELTY: 0.0049178, AVERAGE_POPULARITY: 0.0961599, DIVERSITY_MEAN_INTER_LIST: 0.9881306, DIVERSITY_HERFINDAHL: 0.9987956, COVERAGE_ITEM: 0.4948296, COVERAGE_ITEM_CORRECT: 0.0447738, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1930036, DIVERSITY_GINI: 0.1735890, SHANNON_ENTROPY: 11.8439856, 

SearchBayesianSkopt-CV: New best config found. Config 15: {'alpha': 0.048389292751105054, 'l1_ratio': 0.889125187859802, 'topK': 806, 'normalize': True} - results: ROC_AUC: 0.1817407, PRECISION: 0.0389658, PRECISION_RECALL_MIN_DEN: 0.1358067, RECALL: 0.1313900, MAP: 0.0637037, MRR: 0.1357846, NDCG: 0.0956821, F1: 0.0601046, HIT_RATE: 0.3896580, ARHR: 0.1571470, NOVELTY: 0.0048122, AVERAGE_POPULARITY: 0.1022948, DIVERSITY_MEAN_INTER_LIST: 0.9879704, DIVERSITY_HERFINDAHL: 0.9987796, COVERAGE_ITEM: 0.4227603, COVERAGE_ITEM_CORRECT: 0.0468912, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034478, DIVERSITY_GINI: 0.1325563, SHANNON_ENTROPY: 11.5459173, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'alpha': 0.6112944127260461, 'l1_ratio': 0.4606186200190495, 'topK': 319, 'normalize': False} - results: ROC_AUC: 0.1759969, PRECISION: 0.0376037, PRECISION_RECALL_MIN_DEN: 0.1294808, RECALL: 0.1252318, MAP: 0.0612111, MRR: 0.1312588, NDCG: 0.0918901, F1: 0.0578384, HIT_RATE: 0.3760365, ARHR: 0.1520489, NOVELTY: 0.0048488, AVERAGE_POPULARITY: 0.1060173, DIVERSITY_MEAN_INTER_LIST: 0.9854516, DIVERSITY_HERFINDAHL: 0.9985277, COVERAGE_ITEM: 0.4681809, COVERAGE_ITEM_CORRECT: 0.0436343, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1960237, DIVERSITY_GINI: 0.1524441, SHANNON_ENTROPY: 11.5741118, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'alpha': 0.34755237280196477, 'l1_ratio': 0.4943192071471243, 'topK': 525, 'normalize': False} - results: ROC_AUC: 0.1769359, PRECISION: 0.0376389, PRECISION_RECALL_MIN_DEN: 0.1301329, RECALL: 0.1259263, MAP: 0.0614727, MRR: 0.1319625, NDCG: 0.0923613, F1: 0.0579531, HIT_RATE: 0.3763894, ARHR: 0.1525432, NOVELTY: 0.0048132, AVERAGE_POPULARITY: 0.1103679, DIVERSITY_MEAN_INTER_LIST: 0.9843125, DIVERSITY_HERFINDAHL: 0.9984139, COVERAGE_ITEM: 0.4509413, COVERAGE_ITEM_CORRECT: 0.0427257, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1968038, DIVERSITY_GINI: 0.1412845, SHANNON_ENTROPY: 11.4394190, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'alpha': 0.8567619087220225, 'l1_ratio': 0.5470310118022738, 'topK': 332, 'normalize': True} - results: ROC_AUC: 0.1768169, PRECISION: 0.0376892, PRECISION_RECALL_MIN_DEN: 0.1303479, RECALL: 0.1261369, MAP: 0.0615414, MRR: 0.1316893, NDCG: 0.0924015, F1: 0.0580352, HIT_RATE: 0.3768919, ARHR: 0.1525107, NOVELTY: 0.0048449, AVERAGE_POPULARITY: 0.1054371, DIVERSITY_MEAN_INTER_LIST: 0.9857953, DIVERSITY_HERFINDAHL: 0.9985621, COVERAGE_ITEM: 0.4622291, COVERAGE_ITEM_CORRECT: 0.0438653, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1969045, DIVERSITY_GINI: 0.1498661, SHANNON_ENTROPY: 11.5721323, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'alpha': 0.4214826771512319, 'l1_ratio': 0.7129344567955493, 'topK': 894, 'normalize': False} - results: ROC_AUC: 0.1762823, PRECISION: 0.0374163, PRECISION_RECALL_MIN_DEN: 0.1301525, RECALL: 0.1260506, MAP: 0.0611676, MRR: 0.1314898, NDCG: 0.0920982, F1: 0.0577021, HIT_RATE: 0.3741629, ARHR: 0.1518211, NOVELTY: 0.0047981, AVERAGE_POPULARITY: 0.1136450, DIVERSITY_MEAN_INTER_LIST: 0.9832253, DIVERSITY_HERFINDAHL: 0.9983052, COVERAGE_ITEM: 0.4463215, COVERAGE_ITEM_CORRECT: 0.0418248, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965773, DIVERSITY_GINI: 0.1378652, SHANNON_ENTROPY: 11.3694532, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'alpha': 0.988679396908945, 'l1_ratio': 0.003252646028305218, 'topK': 997, 'normalize': False} - results: ROC_AUC: 0.1730258, PRECISION: 0.0365081, PRECISION_RECALL_MIN_DEN: 0.1275201, RECALL: 0.1235227, MAP: 0.0597046, MRR: 0.1284029, NDCG: 0.0900256, F1: 0.0563570, HIT_RATE: 0.3650808, ARHR: 0.1481030, NOVELTY: 0.0047721, AVERAGE_POPULARITY: 0.1209869, DIVERSITY_MEAN_INTER_LIST: 0.9803711, DIVERSITY_HERFINDAHL: 0.9980198, COVERAGE_ITEM: 0.4461213, COVERAGE_ITEM_CORRECT: 0.0401001, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1926765, DIVERSITY_GINI: 0.1341072, SHANNON_ENTROPY: 11.2295263, 
