
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 135, 'shrink': 120, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1483677, PRECISION: 0.0308600, PRECISION_RECALL_MIN_DEN: 0.1050374, RECALL: 0.1013816, MAP: 0.0500986, MRR: 0.1107985, NDCG: 0.0753204, F1: 0.0473161, HIT_RATE: 0.3086001, ARHR: 0.1273468, NOVELTY: 0.0048660, AVERAGE_POPULARITY: 0.1073879, DIVERSITY_MEAN_INTER_LIST: 0.9829756, DIVERSITY_HERFINDAHL: 0.9982802, COVERAGE_ITEM: 0.4379365, COVERAGE_ITEM_CORRECT: 0.0327392, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1633824, DIVERSITY_GINI: 0.1323180, SHANNON_ENTROPY: 11.2795288, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 401, 'shrink': 708, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1459629, PRECISION: 0.0298210, PRECISION_RECALL_MIN_DEN: 0.1038546, RECALL: 0.1004887, MAP: 0.0491312, MRR: 0.1081352, NDCG: 0.0740164, F1: 0.0459916, HIT_RATE: 0.2982097, ARHR: 0.1235522, NOVELTY: 0.0047639, AVERAGE_POPULARITY: 0.1314647, DIVERSITY_MEAN_INTER_LIST: 0.9734794, DIVERSITY_HERFINDAHL: 0.9973307, COVERAGE_ITEM: 0.4152762, COVERAGE_ITEM_CORRECT: 0.0297594, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1605134, DIVERSITY_GINI: 0.1154417, SHANNON_ENTROPY: 10.8711875, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 735, 'shrink': 120, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1357328, PRECISION: 0.0290092, PRECISION_RECALL_MIN_DEN: 0.0985859, RECALL: 0.0952999, MAP: 0.0448438, MRR: 0.0990132, NDCG: 0.0688002, F1: 0.0444780, HIT_RATE: 0.2900923, ARHR: 0.1140935, NOVELTY: 0.0054688, AVERAGE_POPULARITY: 0.0362601, DIVERSITY_MEAN_INTER_LIST: 0.9972156, DIVERSITY_HERFINDAHL: 0.9997039, COVERAGE_ITEM: 0.6337478, COVERAGE_ITEM_CORRECT: 0.0453744, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1543476, DIVERSITY_GINI: 0.3147743, SHANNON_ENTROPY: 13.1435234, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 540, 'shrink': 3, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0828206, PRECISION: 0.0174750, PRECISION_RECALL_MIN_DEN: 0.0609107, RECALL: 0.0588950, MAP: 0.0274650, MRR: 0.0587895, NDCG: 0.0418876, F1: 0.0269501, HIT_RATE: 0.1747504, ARHR: 0.0668554, NOVELTY: 0.0058449, AVERAGE_POPULARITY: 0.0104219, DIVERSITY_MEAN_INTER_LIST: 0.9987044, DIVERSITY_HERFINDAHL: 0.9998528, COVERAGE_ITEM: 0.7239269, COVERAGE_ITEM_CORRECT: 0.0361193, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0963634, DIVERSITY_GINI: 0.4533818, SHANNON_ENTROPY: 13.7842746, 

SearchBayesianSkopt-CV: New best config found. Config 12: {'topK': 747, 'shrink': 112, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1545554, PRECISION: 0.0316847, PRECISION_RECALL_MIN_DEN: 0.1140754, RECALL: 0.1107418, MAP: 0.0529556, MRR: 0.1138058, NDCG: 0.0800254, F1: 0.0492700, HIT_RATE: 0.3168473, ARHR: 0.1296116, NOVELTY: 0.0045877, AVERAGE_POPULARITY: 0.1528575, DIVERSITY_MEAN_INTER_LIST: 0.9657403, DIVERSITY_HERFINDAHL: 0.9965570, COVERAGE_ITEM: 0.3254591, COVERAGE_ITEM_CORRECT: 0.0305371, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1718888, DIVERSITY_GINI: 0.0758801, SHANNON_ENTROPY: 10.3060587, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 422, 'shrink': 752, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0807204, PRECISION: 0.0170552, PRECISION_RECALL_MIN_DEN: 0.0598133, RECALL: 0.0578793, MAP: 0.0266812, MRR: 0.0572205, NDCG: 0.0408727, F1: 0.0263445, HIT_RATE: 0.1705516, ARHR: 0.0650843, NOVELTY: 0.0058689, AVERAGE_POPULARITY: 0.0101190, DIVERSITY_MEAN_INTER_LIST: 0.9986645, DIVERSITY_HERFINDAHL: 0.9998488, COVERAGE_ITEM: 0.7189759, COVERAGE_ITEM_CORRECT: 0.0353263, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0943501, DIVERSITY_GINI: 0.4464989, SHANNON_ENTROPY: 13.7631426, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 170, 'shrink': 698, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1463216, PRECISION: 0.0300865, PRECISION_RECALL_MIN_DEN: 0.1039222, RECALL: 0.1004752, MAP: 0.0493463, MRR: 0.1081747, NDCG: 0.0742105, F1: 0.0463060, HIT_RATE: 0.3008649, ARHR: 0.1240408, NOVELTY: 0.0048089, AVERAGE_POPULARITY: 0.1233725, DIVERSITY_MEAN_INTER_LIST: 0.9770569, DIVERSITY_HERFINDAHL: 0.9976884, COVERAGE_ITEM: 0.4300212, COVERAGE_ITEM_CORRECT: 0.0307295, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1606896, DIVERSITY_GINI: 0.1251750, SHANNON_ENTROPY: 11.0424604, 

SearchBayesianSkopt-CV: New best config found. Config 15: {'topK': 888, 'shrink': 425, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1596483, PRECISION: 0.0343537, PRECISION_RECALL_MIN_DEN: 0.1161743, RECALL: 0.1121195, MAP: 0.0538666, MRR: 0.1178922, NDCG: 0.0817516, F1: 0.0525912, HIT_RATE: 0.3435374, ARHR: 0.1366349, NOVELTY: 0.0051349, AVERAGE_POPULARITY: 0.0619581, DIVERSITY_MEAN_INTER_LIST: 0.9943247, DIVERSITY_HERFINDAHL: 0.9994149, COVERAGE_ITEM: 0.5254206, COVERAGE_ITEM_CORRECT: 0.0454206, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1790109, DIVERSITY_GINI: 0.2065190, SHANNON_ENTROPY: 12.3777581, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 618, 'shrink': 567, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1414081, PRECISION: 0.0289037, PRECISION_RECALL_MIN_DEN: 0.1010513, RECALL: 0.0978298, MAP: 0.0468308, MRR: 0.1038376, NDCG: 0.0712430, F1: 0.0446209, HIT_RATE: 0.2890374, ARHR: 0.1182561, NOVELTY: 0.0046077, AVERAGE_POPULARITY: 0.1497187, DIVERSITY_MEAN_INTER_LIST: 0.9656921, DIVERSITY_HERFINDAHL: 0.9965521, COVERAGE_ITEM: 0.3321578, COVERAGE_ITEM_CORRECT: 0.0270876, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1570907, DIVERSITY_GINI: 0.0787075, SHANNON_ENTROPY: 10.3528830, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 21, 'shrink': 605, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1506618, PRECISION: 0.0307487, PRECISION_RECALL_MIN_DEN: 0.1089587, RECALL: 0.1057188, MAP: 0.0517531, MRR: 0.1108085, NDCG: 0.0775925, F1: 0.0476380, HIT_RATE: 0.3074867, ARHR: 0.1263030, NOVELTY: 0.0048499, AVERAGE_POPULARITY: 0.1059666, DIVERSITY_MEAN_INTER_LIST: 0.9832365, DIVERSITY_HERFINDAHL: 0.9983063, COVERAGE_ITEM: 0.4378672, COVERAGE_ITEM_CORRECT: 0.0334860, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1653454, DIVERSITY_GINI: 0.1350610, SHANNON_ENTROPY: 11.3478545, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 40, 'shrink': 824, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0776124, PRECISION: 0.0162327, PRECISION_RECALL_MIN_DEN: 0.0571753, RECALL: 0.0551937, MAP: 0.0261097, MRR: 0.0551889, NDCG: 0.0394224, F1: 0.0250856, HIT_RATE: 0.1623270, ARHR: 0.0629778, NOVELTY: 0.0059167, AVERAGE_POPULARITY: 0.0089897, DIVERSITY_MEAN_INTER_LIST: 0.9985536, DIVERSITY_HERFINDAHL: 0.9998377, COVERAGE_ITEM: 0.6929355, COVERAGE_ITEM_CORRECT: 0.0338633, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0886372, DIVERSITY_GINI: 0.4315622, SHANNON_ENTROPY: 13.7121972, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 874, 'shrink': 353, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1566773, PRECISION: 0.0337494, PRECISION_RECALL_MIN_DEN: 0.1142828, RECALL: 0.1103199, MAP: 0.0528901, MRR: 0.1158895, NDCG: 0.0803414, F1: 0.0516851, HIT_RATE: 0.3374936, ARHR: 0.1342390, NOVELTY: 0.0051831, AVERAGE_POPULARITY: 0.0574996, DIVERSITY_MEAN_INTER_LIST: 0.9949688, DIVERSITY_HERFINDAHL: 0.9994793, COVERAGE_ITEM: 0.5449702, COVERAGE_ITEM_CORRECT: 0.0457979, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1762929, DIVERSITY_GINI: 0.2231428, SHANNON_ENTROPY: 12.5181462, 
