
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 398, 'shrink': 850, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1463927, PRECISION: 0.0301496, PRECISION_RECALL_MIN_DEN: 0.1045074, RECALL: 0.1010723, MAP: 0.0493162, MRR: 0.1089366, NDCG: 0.0744059, F1: 0.0464436, HIT_RATE: 0.3014958, ARHR: 0.1244907, NOVELTY: 0.0047724, AVERAGE_POPULARITY: 0.1262708, DIVERSITY_MEAN_INTER_LIST: 0.9752311, DIVERSITY_HERFINDAHL: 0.9975059, COVERAGE_ITEM: 0.4163542, COVERAGE_ITEM_CORRECT: 0.0303061, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1617969, DIVERSITY_GINI: 0.1162022, SHANNON_ENTROPY: 10.9138171, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 940, 'shrink': 297, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1472844, PRECISION: 0.0302479, PRECISION_RECALL_MIN_DEN: 0.1045650, RECALL: 0.1011416, MAP: 0.0492597, MRR: 0.1089691, NDCG: 0.0744370, F1: 0.0465672, HIT_RATE: 0.3024795, ARHR: 0.1246072, NOVELTY: 0.0047745, AVERAGE_POPULARITY: 0.1178466, DIVERSITY_MEAN_INTER_LIST: 0.9781277, DIVERSITY_HERFINDAHL: 0.9977955, COVERAGE_ITEM: 0.4034418, COVERAGE_ITEM_CORRECT: 0.0307526, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1622751, DIVERSITY_GINI: 0.1097942, SHANNON_ENTROPY: 10.9194682, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 741, 'shrink': 372, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1471501, PRECISION: 0.0303227, PRECISION_RECALL_MIN_DEN: 0.1050032, RECALL: 0.1016048, MAP: 0.0492555, MRR: 0.1089649, NDCG: 0.0745835, F1: 0.0467050, HIT_RATE: 0.3032272, ARHR: 0.1244585, NOVELTY: 0.0047704, AVERAGE_POPULARITY: 0.1206776, DIVERSITY_MEAN_INTER_LIST: 0.9769796, DIVERSITY_HERFINDAHL: 0.9976807, COVERAGE_ITEM: 0.4052127, COVERAGE_ITEM_CORRECT: 0.0307526, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1631559, DIVERSITY_GINI: 0.1105865, SHANNON_ENTROPY: 10.8998727, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 158, 'shrink': 895, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1463632, PRECISION: 0.0303267, PRECISION_RECALL_MIN_DEN: 0.1041500, RECALL: 0.1006325, MAP: 0.0493509, MRR: 0.1086977, NDCG: 0.0743127, F1: 0.0466069, HIT_RATE: 0.3032671, ARHR: 0.1246617, NOVELTY: 0.0048161, AVERAGE_POPULARITY: 0.1195377, DIVERSITY_MEAN_INTER_LIST: 0.9782940, DIVERSITY_HERFINDAHL: 0.9978121, COVERAGE_ITEM: 0.4320308, COVERAGE_ITEM_CORRECT: 0.0311376, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1613942, DIVERSITY_GINI: 0.1264528, SHANNON_ENTROPY: 11.0822909, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 501, 'shrink': 974, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1462627, PRECISION: 0.0300966, PRECISION_RECALL_MIN_DEN: 0.1045134, RECALL: 0.1010896, MAP: 0.0491230, MRR: 0.1085251, NDCG: 0.0742309, F1: 0.0463814, HIT_RATE: 0.3009657, ARHR: 0.1240064, NOVELTY: 0.0047598, AVERAGE_POPULARITY: 0.1286627, DIVERSITY_MEAN_INTER_LIST: 0.9742942, DIVERSITY_HERFINDAHL: 0.9974122, COVERAGE_ITEM: 0.4112493, COVERAGE_ITEM_CORRECT: 0.0302060, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1616711, DIVERSITY_GINI: 0.1130769, SHANNON_ENTROPY: 10.8603243, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 691, 'shrink': 973, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1454899, PRECISION: 0.0297573, PRECISION_RECALL_MIN_DEN: 0.1036389, RECALL: 0.1003183, MAP: 0.0487040, MRR: 0.1073900, NDCG: 0.0736552, F1: 0.0458977, HIT_RATE: 0.2975728, ARHR: 0.1225612, NOVELTY: 0.0047423, AVERAGE_POPULARITY: 0.1318410, DIVERSITY_MEAN_INTER_LIST: 0.9728049, DIVERSITY_HERFINDAHL: 0.9972633, COVERAGE_ITEM: 0.4038884, COVERAGE_ITEM_CORRECT: 0.0295361, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1604379, DIVERSITY_GINI: 0.1087444, SHANNON_ENTROPY: 10.7819027, 

SearchBayesianSkopt-CV: New best config found. Config 14: {'topK': 56, 'shrink': 357, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1465542, PRECISION: 0.0302257, PRECISION_RECALL_MIN_DEN: 0.1028980, RECALL: 0.0993280, MAP: 0.0494512, MRR: 0.1095718, NDCG: 0.0741113, F1: 0.0463460, HIT_RATE: 0.3022572, ARHR: 0.1257086, NOVELTY: 0.0048967, AVERAGE_POPULARITY: 0.1039182, DIVERSITY_MEAN_INTER_LIST: 0.9838648, DIVERSITY_HERFINDAHL: 0.9983691, COVERAGE_ITEM: 0.4525120, COVERAGE_ITEM_CORRECT: 0.0326006, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1604379, DIVERSITY_GINI: 0.1420415, SHANNON_ENTROPY: 11.3923984, 

SearchBayesianSkopt-CV: New best config found. Config 15: {'topK': 339, 'shrink': 934, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1465489, PRECISION: 0.0302348, PRECISION_RECALL_MIN_DEN: 0.1050426, RECALL: 0.1015751, MAP: 0.0494812, MRR: 0.1087333, NDCG: 0.0746105, F1: 0.0465971, HIT_RATE: 0.3023485, ARHR: 0.1243642, NOVELTY: 0.0047770, AVERAGE_POPULARITY: 0.1261638, DIVERSITY_MEAN_INTER_LIST: 0.9754828, DIVERSITY_HERFINDAHL: 0.9975310, COVERAGE_ITEM: 0.4195881, COVERAGE_ITEM_CORRECT: 0.0304216, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1623254, DIVERSITY_GINI: 0.1181064, SHANNON_ENTROPY: 10.9368258, 

SearchBayesianSkopt-CV: New best config found. Config 16: {'topK': 164, 'shrink': 585, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1473104, PRECISION: 0.0304398, PRECISION_RECALL_MIN_DEN: 0.1046139, RECALL: 0.1010983, MAP: 0.0497312, MRR: 0.1095661, NDCG: 0.0747915, F1: 0.0467905, HIT_RATE: 0.3043983, ARHR: 0.1256399, NOVELTY: 0.0048228, AVERAGE_POPULARITY: 0.1167940, DIVERSITY_MEAN_INTER_LIST: 0.9792616, DIVERSITY_HERFINDAHL: 0.9979089, COVERAGE_ITEM: 0.4320693, COVERAGE_ITEM_CORRECT: 0.0314841, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1621492, DIVERSITY_GINI: 0.1267744, SHANNON_ENTROPY: 11.1110886, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 571, 'shrink': 71, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1481606, PRECISION: 0.0312940, PRECISION_RECALL_MIN_DEN: 0.1069238, RECALL: 0.1032894, MAP: 0.0491446, MRR: 0.1089429, NDCG: 0.0749892, F1: 0.0480323, HIT_RATE: 0.3129396, ARHR: 0.1254261, NOVELTY: 0.0049254, AVERAGE_POPULARITY: 0.0877502, DIVERSITY_MEAN_INTER_LIST: 0.9884036, DIVERSITY_HERFINDAHL: 0.9988229, COVERAGE_ITEM: 0.4347719, COVERAGE_ITEM_CORRECT: 0.0359885, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1666289, DIVERSITY_GINI: 0.1351572, SHANNON_ENTROPY: 11.5436951, 
