
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 564, 'shrink': 200, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1515759, PRECISION: 0.0309569, PRECISION_RECALL_MIN_DEN: 0.1105921, RECALL: 0.1073598, MAP: 0.0513211, MRR: 0.1116070, NDCG: 0.0778024, F1: 0.0480531, HIT_RATE: 0.3095686, ARHR: 0.1269955, NOVELTY: 0.0045692, AVERAGE_POPULARITY: 0.1586038, DIVERSITY_MEAN_INTER_LIST: 0.9628974, DIVERSITY_HERFINDAHL: 0.9962727, COVERAGE_ITEM: 0.3173436, COVERAGE_ITEM_CORRECT: 0.0292743, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1680131, DIVERSITY_GINI: 0.0720363, SHANNON_ENTROPY: 10.2012400, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 248, 'shrink': 638, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1566436, PRECISION: 0.0321222, PRECISION_RECALL_MIN_DEN: 0.1136434, RECALL: 0.1102821, MAP: 0.0528262, MRR: 0.1152582, NDCG: 0.0801642, F1: 0.0497509, HIT_RATE: 0.3212217, ARHR: 0.1312636, NOVELTY: 0.0046956, AVERAGE_POPULARITY: 0.1268641, DIVERSITY_MEAN_INTER_LIST: 0.9785543, DIVERSITY_HERFINDAHL: 0.9978381, COVERAGE_ITEM: 0.3520154, COVERAGE_ITEM_CORRECT: 0.0325467, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1742041, DIVERSITY_GINI: 0.0912546, SHANNON_ENTROPY: 10.7956321, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 15, 'shrink': 453, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1194066, PRECISION: 0.0255344, PRECISION_RECALL_MIN_DEN: 0.0812890, RECALL: 0.0776616, MAP: 0.0386862, MRR: 0.0882993, NDCG: 0.0582529, F1: 0.0384314, HIT_RATE: 0.2553441, ARHR: 0.1025646, NOVELTY: 0.0052907, AVERAGE_POPULARITY: 0.0433013, DIVERSITY_MEAN_INTER_LIST: 0.9922283, DIVERSITY_HERFINDAHL: 0.9992053, COVERAGE_ITEM: 0.5441386, COVERAGE_ITEM_CORRECT: 0.0405621, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1328552, DIVERSITY_GINI: 0.2493360, SHANNON_ENTROPY: 12.6856996, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 78, 'shrink': 323, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1558388, PRECISION: 0.0325133, PRECISION_RECALL_MIN_DEN: 0.1112506, RECALL: 0.1075368, MAP: 0.0524962, MRR: 0.1155431, NDCG: 0.0792876, F1: 0.0499287, HIT_RATE: 0.3251331, ARHR: 0.1325769, NOVELTY: 0.0049429, AVERAGE_POPULARITY: 0.0833259, DIVERSITY_MEAN_INTER_LIST: 0.9913396, DIVERSITY_HERFINDAHL: 0.9991164, COVERAGE_ITEM: 0.4308681, COVERAGE_ITEM_CORRECT: 0.0386372, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1727948, DIVERSITY_GINI: 0.1440015, SHANNON_ENTROPY: 11.7956489, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 721, 'shrink': 92, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1518984, PRECISION: 0.0310421, PRECISION_RECALL_MIN_DEN: 0.1113630, RECALL: 0.1081474, MAP: 0.0515699, MRR: 0.1114092, NDCG: 0.0781599, F1: 0.0482345, HIT_RATE: 0.3104206, ARHR: 0.1268819, NOVELTY: 0.0045544, AVERAGE_POPULARITY: 0.1639867, DIVERSITY_MEAN_INTER_LIST: 0.9597686, DIVERSITY_HERFINDAHL: 0.9959599, COVERAGE_ITEM: 0.3154803, COVERAGE_ITEM_CORRECT: 0.0293128, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1686171, DIVERSITY_GINI: 0.0708346, SHANNON_ENTROPY: 10.1346140, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 714, 'shrink': 878, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1475352, PRECISION: 0.0298898, PRECISION_RECALL_MIN_DEN: 0.1075177, RECALL: 0.1043616, MAP: 0.0497886, MRR: 0.1079695, NDCG: 0.0754577, F1: 0.0464673, HIT_RATE: 0.2988979, ARHR: 0.1225496, NOVELTY: 0.0045454, AVERAGE_POPULARITY: 0.1653716, DIVERSITY_MEAN_INTER_LIST: 0.9581571, DIVERSITY_HERFINDAHL: 0.9957988, COVERAGE_ITEM: 0.3109220, COVERAGE_ITEM_CORRECT: 0.0278037, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1632817, DIVERSITY_GINI: 0.0688234, SHANNON_ENTROPY: 10.0836980, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 298, 'shrink': 320, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1556532, PRECISION: 0.0321508, PRECISION_RECALL_MIN_DEN: 0.1138116, RECALL: 0.1104566, MAP: 0.0524768, MRR: 0.1149110, NDCG: 0.0799044, F1: 0.0498022, HIT_RATE: 0.3215076, ARHR: 0.1310158, NOVELTY: 0.0046597, AVERAGE_POPULARITY: 0.1347489, DIVERSITY_MEAN_INTER_LIST: 0.9751612, DIVERSITY_HERFINDAHL: 0.9974989, COVERAGE_ITEM: 0.3409278, COVERAGE_ITEM_CORRECT: 0.0319615, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1742293, DIVERSITY_GINI: 0.0849870, SHANNON_ENTROPY: 10.6280188, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 462, 'shrink': 241, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1524569, PRECISION: 0.0313565, PRECISION_RECALL_MIN_DEN: 0.1112772, RECALL: 0.1079904, MAP: 0.0515358, MRR: 0.1125654, NDCG: 0.0782708, F1: 0.0485968, HIT_RATE: 0.3135647, ARHR: 0.1282441, NOVELTY: 0.0045910, AVERAGE_POPULARITY: 0.1522744, DIVERSITY_MEAN_INTER_LIST: 0.9664870, DIVERSITY_HERFINDAHL: 0.9966316, COVERAGE_ITEM: 0.3225332, COVERAGE_ITEM_CORRECT: 0.0300289, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1696993, DIVERSITY_GINI: 0.0747951, SHANNON_ENTROPY: 10.3038563, 

SearchBayesianSkopt-CV: New best config found. Config 17: {'topK': 173, 'shrink': 299, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1596525, PRECISION: 0.0330312, PRECISION_RECALL_MIN_DEN: 0.1158406, RECALL: 0.1123438, MAP: 0.0542151, MRR: 0.1182871, NDCG: 0.0820432, F1: 0.0510494, HIT_RATE: 0.3303123, ARHR: 0.1351137, NOVELTY: 0.0047648, AVERAGE_POPULARITY: 0.1126036, DIVERSITY_MEAN_INTER_LIST: 0.9837846, DIVERSITY_HERFINDAHL: 0.9983611, COVERAGE_ITEM: 0.3722348, COVERAGE_ITEM_CORRECT: 0.0348797, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1775513, DIVERSITY_GINI: 0.1036279, SHANNON_ENTROPY: 11.0948891, 
