SearchBayesianSkopt: Config 11 is suboptimal. Config: {'beta': 0.11219247997206175, 'topK': 725, 'l1_ratio': 0.003317671637447705, 'alpha': 0.8112234039496952} - results: ROC_AUC: 0.0003791, PRECISION: 0.0000910, PRECISION_RECALL_MIN_DEN: 0.0006824, RECALL: 0.0006824, MAP: 0.0001368, MRR: 0.0001693, NDCG: 0.0002785, F1: 0.0001606, HIT_RATE: 0.0009099, ARHR: 0.0001693, NOVELTY: 0.0051426, AVERAGE_POPULARITY: 0.0135684, DIVERSITY_MEAN_INTER_LIST: 0.3297295, DIVERSITY_HERFINDAHL: 0.9329654, COVERAGE_ITEM: 0.0042348, COVERAGE_ITEM_CORRECT: 0.0001155, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0005033, DIVERSITY_GINI: 0.0005813, SHANNON_ENTROPY: 4.1709990, 
SearchBayesianSkopt: New best config found. Config 12: {'beta': 0.6286633056827502, 'topK': 216, 'l1_ratio': 4.45011078134001e-05, 'alpha': 0.06961203364422114} - results: ROC_AUC: 0.1054532, PRECISION: 0.0197907, PRECISION_RECALL_MIN_DEN: 0.0917818, RECALL: 0.0905701, MAP: 0.0393040, MRR: 0.0714464, NDCG: 0.0591942, F1: 0.0324834, HIT_RATE: 0.1979072, ARHR: 0.0767399, NOVELTY: 0.0046626, AVERAGE_POPULARITY: 0.1269832, DIVERSITY_MEAN_INTER_LIST: 0.9747296, DIVERSITY_HERFINDAHL: 0.9974508, COVERAGE_ITEM: 0.3294706, COVERAGE_ITEM_CORRECT: 0.0180943, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0941236, DIVERSITY_GINI: 0.0939381, SHANNON_ENTROPY: 10.7532515, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'beta': 0.4419410916898877, 'topK': 275, 'l1_ratio': 0.8485754446983437, 'alpha': 0.8519553309807457} - results: ROC_AUC: 0.0003791, PRECISION: 0.0000910, PRECISION_RECALL_MIN_DEN: 0.0006824, RECALL: 0.0006824, MAP: 0.0001368, MRR: 0.0001693, NDCG: 0.0002785, F1: 0.0001606, HIT_RATE: 0.0009099, ARHR: 0.0001693, NOVELTY: 0.0051426, AVERAGE_POPULARITY: 0.0135684, DIVERSITY_MEAN_INTER_LIST: 0.3297295, DIVERSITY_HERFINDAHL: 0.9329654, COVERAGE_ITEM: 0.0042348, COVERAGE_ITEM_CORRECT: 0.0001155, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0005033, DIVERSITY_GINI: 0.0005813, SHANNON_ENTROPY: 4.1709990, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'beta': 0.2578362781951206, 'topK': 628, 'l1_ratio': 0.0009725006116548988, 'alpha': 0.023116253401770245} - results: ROC_AUC: 0.0545637, PRECISION: 0.0088717, PRECISION_RECALL_MIN_DEN: 0.0357148, RECALL: 0.0351617, MAP: 0.0183464, MRR: 0.0373494, NDCG: 0.0267228, F1: 0.0141685, HIT_RATE: 0.0887170, ARHR: 0.0393012, NOVELTY: 0.0048624, AVERAGE_POPULARITY: 0.0613132, DIVERSITY_MEAN_INTER_LIST: 0.8514304, DIVERSITY_HERFINDAHL: 0.9851237, COVERAGE_ITEM: 0.1797113, COVERAGE_ITEM_CORRECT: 0.0085852, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0440418, DIVERSITY_GINI: 0.0381579, SHANNON_ENTROPY: 8.7340097, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'beta': 0.05805376560265975, 'topK': 369, 'l1_ratio': 0.0008319959590888415, 'alpha': 0.9940056764097479} - results: ROC_AUC: 0.0003791, PRECISION: 0.0000910, PRECISION_RECALL_MIN_DEN: 0.0006824, RECALL: 0.0006824, MAP: 0.0001368, MRR: 0.0001693, NDCG: 0.0002785, F1: 0.0001606, HIT_RATE: 0.0009099, ARHR: 0.0001693, NOVELTY: 0.0051426, AVERAGE_POPULARITY: 0.0135684, DIVERSITY_MEAN_INTER_LIST: 0.3297295, DIVERSITY_HERFINDAHL: 0.9329654, COVERAGE_ITEM: 0.0042348, COVERAGE_ITEM_CORRECT: 0.0001155, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0005033, DIVERSITY_GINI: 0.0005813, SHANNON_ENTROPY: 4.1709990, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'beta': 0.14984548316456017, 'topK': 322, 'l1_ratio': 0.04737471629724962, 'alpha': 0.6734817011365174} - results: ROC_AUC: 0.0003791, PRECISION: 0.0000910, PRECISION_RECALL_MIN_DEN: 0.0006824, RECALL: 0.0006824, MAP: 0.0001368, MRR: 0.0001693, NDCG: 0.0002785, F1: 0.0001606, HIT_RATE: 0.0009099, ARHR: 0.0001693, NOVELTY: 0.0051426, AVERAGE_POPULARITY: 0.0135684, DIVERSITY_MEAN_INTER_LIST: 0.3297295, DIVERSITY_HERFINDAHL: 0.9329654, COVERAGE_ITEM: 0.0042348, COVERAGE_ITEM_CORRECT: 0.0001155, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0005033, DIVERSITY_GINI: 0.0005813, SHANNON_ENTROPY: 4.1709990, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'beta': 0.5256235910629725, 'topK': 975, 'l1_ratio': 0.0004213432583349836, 'alpha': 0.5099955250765809} - results: ROC_AUC: 0.0046507, PRECISION: 0.0005232, PRECISION_RECALL_MIN_DEN: 0.0025800, RECALL: 0.0025747, MAP: 0.0019964, MRR: 0.0043397, NDCG: 0.0025881, F1: 0.0008697, HIT_RATE: 0.0052320, ARHR: 0.0043397, NOVELTY: 0.0051290, AVERAGE_POPULARITY: 0.0191277, DIVERSITY_MEAN_INTER_LIST: 0.3421213, DIVERSITY_HERFINDAHL: 0.9342043, COVERAGE_ITEM: 0.0042733, COVERAGE_ITEM_CORRECT: 0.0002310, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0028942, DIVERSITY_GINI: 0.0005940, SHANNON_ENTROPY: 4.2136809, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'beta': 0.21067999684364386, 'topK': 187, 'l1_ratio': 9.348189902728803e-05, 'alpha': 0.8511141948336123} - results: ROC_AUC: 0.0003791, PRECISION: 0.0000910, PRECISION_RECALL_MIN_DEN: 0.0006824, RECALL: 0.0006824, MAP: 0.0001368, MRR: 0.0001693, NDCG: 0.0002785, F1: 0.0001606, HIT_RATE: 0.0009099, ARHR: 0.0001693, NOVELTY: 0.0051361, AVERAGE_POPULARITY: 0.0135799, DIVERSITY_MEAN_INTER_LIST: 0.3387904, DIVERSITY_HERFINDAHL: 0.9338713, COVERAGE_ITEM: 0.0053128, COVERAGE_ITEM_CORRECT: 0.0001155, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0005033, DIVERSITY_GINI: 0.0006090, SHANNON_ENTROPY: 4.2256322, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'beta': 0.7221290504534851, 'topK': 857, 'l1_ratio': 0.006616751892887876, 'alpha': 0.08178570159388227} - results: ROC_AUC: 0.0008341, PRECISION: 0.0001365, PRECISION_RECALL_MIN_DEN: 0.0008417, RECALL: 0.0008417, MAP: 0.0002960, MRR: 0.0006242, NDCG: 0.0004951, F1: 0.0002349, HIT_RATE: 0.0013649, ARHR: 0.0006242, NOVELTY: 0.0051384, AVERAGE_POPULARITY: 0.0150864, DIVERSITY_MEAN_INTER_LIST: 0.3312740, DIVERSITY_HERFINDAHL: 0.9331199, COVERAGE_ITEM: 0.0042733, COVERAGE_ITEM_CORRECT: 0.0001540, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0007550, DIVERSITY_GINI: 0.0005838, SHANNON_ENTROPY: 4.1795213, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'beta': 1.0, 'topK': 5, 'l1_ratio': 1e-05, 'alpha': 0.001} - results: ROC_AUC: 0.0812991, PRECISION: 0.0136943, PRECISION_RECALL_MIN_DEN: 0.0577145, RECALL: 0.0567348, MAP: 0.0272363, MRR: 0.0555593, NDCG: 0.0406667, F1: 0.0220631, HIT_RATE: 0.1369427, ARHR: 0.0582859, NOVELTY: 0.0051263, AVERAGE_POPULARITY: 0.0489171, DIVERSITY_MEAN_INTER_LIST: 0.9703080, DIVERSITY_HERFINDAHL: 0.9970087, COVERAGE_ITEM: 0.4167469, COVERAGE_ITEM_CORRECT: 0.0167084, COVERAGE_USER: 0.5531647, COVERAGE_USER_CORRECT: 0.0680760, DIVERSITY_GINI: 0.1624648, SHANNON_ENTROPY: 11.6005131, 
