
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.9792954484792685, 'l1_ratio': 0.5449494145045616, 'topK': 130, 'normalize': False} - results: ROC_AUC: 0.1809418, PRECISION: 0.0387287, PRECISION_RECALL_MIN_DEN: 0.1341086, RECALL: 0.1296623, MAP: 0.0638786, MRR: 0.1360824, NDCG: 0.0953850, F1: 0.0596418, HIT_RATE: 0.3872870, ARHR: 0.1581811, NOVELTY: 0.0049118, AVERAGE_POPULARITY: 0.0939416, DIVERSITY_MEAN_INTER_LIST: 0.9888412, DIVERSITY_HERFINDAHL: 0.9988666, COVERAGE_ITEM: 0.4809625, COVERAGE_ITEM_CORRECT: 0.0479615, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1999748, DIVERSITY_GINI: 0.1679716, SHANNON_ENTROPY: 11.8500634, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.0962450528687128, 'l1_ratio': 0.31593791110555175, 'topK': 986, 'normalize': False} - results: ROC_AUC: 0.1816744, PRECISION: 0.0388024, PRECISION_RECALL_MIN_DEN: 0.1351684, RECALL: 0.1308603, MAP: 0.0635953, MRR: 0.1353175, NDCG: 0.0954602, F1: 0.0598559, HIT_RATE: 0.3880238, ARHR: 0.1566877, NOVELTY: 0.0048025, AVERAGE_POPULARITY: 0.1070169, DIVERSITY_MEAN_INTER_LIST: 0.9860814, DIVERSITY_HERFINDAHL: 0.9985907, COVERAGE_ITEM: 0.4288277, COVERAGE_ITEM_CORRECT: 0.0450587, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2024915, DIVERSITY_GINI: 0.1326470, SHANNON_ENTROPY: 11.4534920, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.22052908820586875, 'l1_ratio': 0.6366802197247468, 'topK': 989, 'normalize': True} - results: ROC_AUC: 0.1865216, PRECISION: 0.0401459, PRECISION_RECALL_MIN_DEN: 0.1401696, RECALL: 0.1357360, MAP: 0.0661773, MRR: 0.1401859, NDCG: 0.0990941, F1: 0.0619641, HIT_RATE: 0.4014589, ARHR: 0.1625495, NOVELTY: 0.0048208, AVERAGE_POPULARITY: 0.1010418, DIVERSITY_MEAN_INTER_LIST: 0.9879748, DIVERSITY_HERFINDAHL: 0.9987800, COVERAGE_ITEM: 0.4323850, COVERAGE_ITEM_CORRECT: 0.0487546, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2081037, DIVERSITY_GINI: 0.1367616, SHANNON_ENTROPY: 11.5699984, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.46407238169216725, 'l1_ratio': 0.2792294721446625, 'topK': 289, 'normalize': True} - results: ROC_AUC: 0.1839738, PRECISION: 0.0394215, PRECISION_RECALL_MIN_DEN: 0.1372578, RECALL: 0.1328268, MAP: 0.0647515, MRR: 0.1373499, NDCG: 0.0970177, F1: 0.0607978, HIT_RATE: 0.3942148, ARHR: 0.1594091, NOVELTY: 0.0048563, AVERAGE_POPULARITY: 0.0984925, DIVERSITY_MEAN_INTER_LIST: 0.9883741, DIVERSITY_HERFINDAHL: 0.9988199, COVERAGE_ITEM: 0.4484158, COVERAGE_ITEM_CORRECT: 0.0482695, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2044797, DIVERSITY_GINI: 0.1469989, SHANNON_ENTROPY: 11.6762118, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'alpha': 0.08223527726423209, 'l1_ratio': 0.7659358400137872, 'topK': 153, 'normalize': True} - results: ROC_AUC: 0.1832808, PRECISION: 0.0390890, PRECISION_RECALL_MIN_DEN: 0.1363433, RECALL: 0.1319479, MAP: 0.0644025, MRR: 0.1366187, NDCG: 0.0964443, F1: 0.0603103, HIT_RATE: 0.3908904, ARHR: 0.1581362, NOVELTY: 0.0048785, AVERAGE_POPULARITY: 0.0935539, DIVERSITY_MEAN_INTER_LIST: 0.9898729, DIVERSITY_HERFINDAHL: 0.9989698, COVERAGE_ITEM: 0.4555534, COVERAGE_ITEM_CORRECT: 0.0493551, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034227, DIVERSITY_GINI: 0.1541316, SHANNON_ENTROPY: 11.8073915, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'alpha': 0.846823743894617, 'l1_ratio': 0.6410107986213175, 'topK': 973, 'normalize': False} - results: ROC_AUC: 0.1848808, PRECISION: 0.0394944, PRECISION_RECALL_MIN_DEN: 0.1386275, RECALL: 0.1343519, MAP: 0.0651091, MRR: 0.1375166, NDCG: 0.0977391, F1: 0.0610420, HIT_RATE: 0.3949436, ARHR: 0.1593971, NOVELTY: 0.0048062, AVERAGE_POPULARITY: 0.1086538, DIVERSITY_MEAN_INTER_LIST: 0.9847093, DIVERSITY_HERFINDAHL: 0.9984535, COVERAGE_ITEM: 0.4393686, COVERAGE_ITEM_CORRECT: 0.0465371, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2057883, DIVERSITY_GINI: 0.1367519, SHANNON_ENTROPY: 11.4278803, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'alpha': 0.7944940071910823, 'l1_ratio': 0.22064077238023677, 'topK': 264, 'normalize': False} - results: ROC_AUC: 0.1781566, PRECISION: 0.0380603, PRECISION_RECALL_MIN_DEN: 0.1317498, RECALL: 0.1274437, MAP: 0.0622780, MRR: 0.1331383, NDCG: 0.0934072, F1: 0.0586136, HIT_RATE: 0.3806028, ARHR: 0.1544241, NOVELTY: 0.0048602, AVERAGE_POPULARITY: 0.1019670, DIVERSITY_MEAN_INTER_LIST: 0.9867404, DIVERSITY_HERFINDAHL: 0.9986566, COVERAGE_ITEM: 0.4610510, COVERAGE_ITEM_CORRECT: 0.0450048, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1980370, DIVERSITY_GINI: 0.1527322, SHANNON_ENTROPY: 11.6448298, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'alpha': 0.042863075351429865, 'l1_ratio': 0.7778243146413719, 'topK': 299, 'normalize': False} - results: ROC_AUC: 0.1837282, PRECISION: 0.0395705, PRECISION_RECALL_MIN_DEN: 0.1374404, RECALL: 0.1329417, MAP: 0.0647898, MRR: 0.1377960, NDCG: 0.0971156, F1: 0.0609865, HIT_RATE: 0.3957046, ARHR: 0.1597894, NOVELTY: 0.0048573, AVERAGE_POPULARITY: 0.0959932, DIVERSITY_MEAN_INTER_LIST: 0.9893623, DIVERSITY_HERFINDAHL: 0.9989188, COVERAGE_ITEM: 0.4435881, COVERAGE_ITEM_CORRECT: 0.0493936, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2055115, DIVERSITY_GINI: 0.1459645, SHANNON_ENTROPY: 11.7202260, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'alpha': 0.6995996948240252, 'l1_ratio': 0.3052762124508785, 'topK': 495, 'normalize': False} - results: ROC_AUC: 0.1787083, PRECISION: 0.0382789, PRECISION_RECALL_MIN_DEN: 0.1329569, RECALL: 0.1286842, MAP: 0.0623971, MRR: 0.1336267, NDCG: 0.0938934, F1: 0.0590036, HIT_RATE: 0.3827893, ARHR: 0.1546248, NOVELTY: 0.0048134, AVERAGE_POPULARITY: 0.1091433, DIVERSITY_MEAN_INTER_LIST: 0.9846975, DIVERSITY_HERFINDAHL: 0.9984523, COVERAGE_ITEM: 0.4440115, COVERAGE_ITEM_CORRECT: 0.0439654, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1997232, DIVERSITY_GINI: 0.1398066, SHANNON_ENTROPY: 11.4550159, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'alpha': 0.4078350642872922, 'l1_ratio': 0.4732362950755944, 'topK': 510, 'normalize': False} - results: ROC_AUC: 0.1821606, PRECISION: 0.0389506, PRECISION_RECALL_MIN_DEN: 0.1355276, RECALL: 0.1312170, MAP: 0.0639618, MRR: 0.1359414, NDCG: 0.0959249, F1: 0.0600678, HIT_RATE: 0.3895062, ARHR: 0.1574639, NOVELTY: 0.0048181, AVERAGE_POPULARITY: 0.1067690, DIVERSITY_MEAN_INTER_LIST: 0.9856004, DIVERSITY_HERFINDAHL: 0.9985426, COVERAGE_ITEM: 0.4422791, COVERAGE_ITEM_CORRECT: 0.0454514, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028690, DIVERSITY_GINI: 0.1393303, SHANNON_ENTROPY: 11.4865002, 
