
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2450301092859642, 'b': 0.5871987612718907, 'c': 0.14328319077926013, 'normalize': True} - results: ROC_AUC: 0.1824076, PRECISION: 0.0397593, PRECISION_RECALL_MIN_DEN: 0.1366263, RECALL: 0.1319728, MAP: 0.0632267, MRR: 0.1360772, NDCG: 0.0956865, F1: 0.0611068, HIT_RATE: 0.3975929, ARHR: 0.1586947, NOVELTY: 0.0048323, AVERAGE_POPULARITY: 0.0930796, DIVERSITY_MEAN_INTER_LIST: 0.9905754, DIVERSITY_HERFINDAHL: 0.9990400, COVERAGE_ITEM: 0.3539788, COVERAGE_ITEM_CORRECT: 0.0465217, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2046307, DIVERSITY_GINI: 0.1104766, SHANNON_ENTROPY: 11.5182635, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.08611315358162709, 'b': 0.0724961392341973, 'c': 0.556353904562534, 'normalize': True} - results: ROC_AUC: 0.1694424, PRECISION: 0.0366478, PRECISION_RECALL_MIN_DEN: 0.1280667, RECALL: 0.1239294, MAP: 0.0571459, MRR: 0.1241567, NDCG: 0.0877779, F1: 0.0565672, HIT_RATE: 0.3664783, ARHR: 0.1437746, NOVELTY: 0.0048620, AVERAGE_POPULARITY: 0.0821253, DIVERSITY_MEAN_INTER_LIST: 0.9929445, DIVERSITY_HERFINDAHL: 0.9992769, COVERAGE_ITEM: 0.3161270, COVERAGE_ITEM_CORRECT: 0.0466218, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1927520, DIVERSITY_GINI: 0.1020871, SHANNON_ENTROPY: 11.5751837, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.8147190618902445, 'b': 0.08178139423400212, 'c': 0.39913949065856114, 'normalize': True} - results: ROC_AUC: 0.1773463, PRECISION: 0.0388974, PRECISION_RECALL_MIN_DEN: 0.1341302, RECALL: 0.1295297, MAP: 0.0607435, MRR: 0.1310337, NDCG: 0.0925933, F1: 0.0598278, HIT_RATE: 0.3889744, ARHR: 0.1530024, NOVELTY: 0.0048497, AVERAGE_POPULARITY: 0.0855110, DIVERSITY_MEAN_INTER_LIST: 0.9923725, DIVERSITY_HERFINDAHL: 0.9992197, COVERAGE_ITEM: 0.3267834, COVERAGE_ITEM_CORRECT: 0.0476535, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2009060, DIVERSITY_GINI: 0.1038215, SHANNON_ENTROPY: 11.5551664, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.24237057233539455, 'b': 0.5412466832385939, 'c': 0.43022325268272765, 'normalize': False} - results: ROC_AUC: 0.1824542, PRECISION: 0.0392184, PRECISION_RECALL_MIN_DEN: 0.1360236, RECALL: 0.1316554, MAP: 0.0634610, MRR: 0.1357122, NDCG: 0.0957132, F1: 0.0604329, HIT_RATE: 0.3921836, ARHR: 0.1576054, NOVELTY: 0.0048071, AVERAGE_POPULARITY: 0.1032528, DIVERSITY_MEAN_INTER_LIST: 0.9873994, DIVERSITY_HERFINDAHL: 0.9987225, COVERAGE_ITEM: 0.3829451, COVERAGE_ITEM_CORRECT: 0.0445428, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2036743, DIVERSITY_GINI: 0.1178554, SHANNON_ENTROPY: 11.4262877, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.6275977625776457, 'b': 0.5216854729254439, 'c': 0.6742350398018729, 'normalize': False} - results: ROC_AUC: 0.1854449, PRECISION: 0.0399923, PRECISION_RECALL_MIN_DEN: 0.1387684, RECALL: 0.1343105, MAP: 0.0649701, MRR: 0.1385859, NDCG: 0.0977982, F1: 0.0616313, HIT_RATE: 0.3999227, ARHR: 0.1610891, NOVELTY: 0.0048153, AVERAGE_POPULARITY: 0.1003924, DIVERSITY_MEAN_INTER_LIST: 0.9883141, DIVERSITY_HERFINDAHL: 0.9988139, COVERAGE_ITEM: 0.3788797, COVERAGE_ITEM_CORRECT: 0.0459750, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2068957, DIVERSITY_GINI: 0.1169557, SHANNON_ENTROPY: 11.4587724, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.1414730245299192, 'b': 0.9050229038183425, 'c': 0.5386007240885248, 'normalize': False} - results: ROC_AUC: 0.1798776, PRECISION: 0.0385683, PRECISION_RECALL_MIN_DEN: 0.1333873, RECALL: 0.1290900, MAP: 0.0622502, MRR: 0.1339383, NDCG: 0.0939975, F1: 0.0593909, HIT_RATE: 0.3856832, ARHR: 0.1553658, NOVELTY: 0.0048017, AVERAGE_POPULARITY: 0.1050306, DIVERSITY_MEAN_INTER_LIST: 0.9867825, DIVERSITY_HERFINDAHL: 0.9986608, COVERAGE_ITEM: 0.3849779, COVERAGE_ITEM_CORRECT: 0.0434110, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2003523, DIVERSITY_GINI: 0.1183761, SHANNON_ENTROPY: 11.4042034, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5607999474862877, 'b': 0.29464786313931385, 'c': 0.9995517205745841, 'normalize': True} - results: ROC_AUC: 0.1723171, PRECISION: 0.0376152, PRECISION_RECALL_MIN_DEN: 0.1301105, RECALL: 0.1257303, MAP: 0.0586167, MRR: 0.1269908, NDCG: 0.0896016, F1: 0.0579056, HIT_RATE: 0.3761519, ARHR: 0.1477980, NOVELTY: 0.0048567, AVERAGE_POPULARITY: 0.0834993, DIVERSITY_MEAN_INTER_LIST: 0.9927207, DIVERSITY_HERFINDAHL: 0.9992545, COVERAGE_ITEM: 0.3198845, COVERAGE_ITEM_CORRECT: 0.0470375, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1957720, DIVERSITY_GINI: 0.1026045, SHANNON_ENTROPY: 11.5660493, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.7531982174354102, 'b': 0.06448861116245898, 'c': 0.7917034992335615, 'normalize': True} - results: ROC_AUC: 0.1726469, PRECISION: 0.0378167, PRECISION_RECALL_MIN_DEN: 0.1305455, RECALL: 0.1261124, MAP: 0.0588222, MRR: 0.1271794, NDCG: 0.0898861, F1: 0.0581849, HIT_RATE: 0.3781672, ARHR: 0.1482478, NOVELTY: 0.0048562, AVERAGE_POPULARITY: 0.0834470, DIVERSITY_MEAN_INTER_LIST: 0.9927419, DIVERSITY_HERFINDAHL: 0.9992567, COVERAGE_ITEM: 0.3192531, COVERAGE_ITEM_CORRECT: 0.0472839, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1962502, DIVERSITY_GINI: 0.1023677, SHANNON_ENTROPY: 11.5645325, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.05443383008904158, 'b': 0.8391836514950971, 'c': 0.49545221620087987, 'normalize': True} - results: ROC_AUC: 0.1769545, PRECISION: 0.0385198, PRECISION_RECALL_MIN_DEN: 0.1329280, RECALL: 0.1284133, MAP: 0.0602905, MRR: 0.1308722, NDCG: 0.0919923, F1: 0.0592624, HIT_RATE: 0.3851980, ARHR: 0.1524912, NOVELTY: 0.0048481, AVERAGE_POPULARITY: 0.0870161, DIVERSITY_MEAN_INTER_LIST: 0.9920321, DIVERSITY_HERFINDAHL: 0.9991857, COVERAGE_ITEM: 0.3330587, COVERAGE_ITEM_CORRECT: 0.0467295, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1995973, DIVERSITY_GINI: 0.1055854, SHANNON_ENTROPY: 11.5545694, 
