
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1681445, PRECISION: 0.0355365, PRECISION_RECALL_MIN_DEN: 0.1230025, RECALL: 0.1190971, MAP: 0.0578834, MRR: 0.1245684, NDCG: 0.0872152, F1: 0.0547359, HIT_RATE: 0.3553653, ARHR: 0.1436919, NOVELTY: 0.0048279, AVERAGE_POPULARITY: 0.1145993, DIVERSITY_MEAN_INTER_LIST: 0.9827497, DIVERSITY_HERFINDAHL: 0.9982576, COVERAGE_ITEM: 0.4487931, COVERAGE_ITEM_CORRECT: 0.0388527, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1872656, DIVERSITY_GINI: 0.1462905, SHANNON_ENTROPY: 11.4674599, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1754534, PRECISION: 0.0372752, PRECISION_RECALL_MIN_DEN: 0.1299398, RECALL: 0.1258489, MAP: 0.0607075, MRR: 0.1304942, NDCG: 0.0915768, F1: 0.0575134, HIT_RATE: 0.3727516, ARHR: 0.1507230, NOVELTY: 0.0047970, AVERAGE_POPULARITY: 0.1131888, DIVERSITY_MEAN_INTER_LIST: 0.9833085, DIVERSITY_HERFINDAHL: 0.9983135, COVERAGE_ITEM: 0.4415476, COVERAGE_ITEM_CORRECT: 0.0416862, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1957972, DIVERSITY_GINI: 0.1375525, SHANNON_ENTROPY: 11.3821993, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1619421, PRECISION: 0.0341452, PRECISION_RECALL_MIN_DEN: 0.1180507, RECALL: 0.1142846, MAP: 0.0556306, MRR: 0.1198761, NDCG: 0.0838108, F1: 0.0525773, HIT_RATE: 0.3414515, ARHR: 0.1380266, NOVELTY: 0.0048466, AVERAGE_POPULARITY: 0.1144760, DIVERSITY_MEAN_INTER_LIST: 0.9827130, DIVERSITY_HERFINDAHL: 0.9982539, COVERAGE_ITEM: 0.4503792, COVERAGE_ITEM_CORRECT: 0.0370972, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1803448, DIVERSITY_GINI: 0.1498936, SHANNON_ENTROPY: 11.5189223, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1612149, PRECISION: 0.0340002, PRECISION_RECALL_MIN_DEN: 0.1175210, RECALL: 0.1137640, MAP: 0.0552494, MRR: 0.1192839, NDCG: 0.0833318, F1: 0.0523502, HIT_RATE: 0.3400015, ARHR: 0.1372790, NOVELTY: 0.0048475, AVERAGE_POPULARITY: 0.1145073, DIVERSITY_MEAN_INTER_LIST: 0.9826879, DIVERSITY_HERFINDAHL: 0.9982514, COVERAGE_ITEM: 0.4505409, COVERAGE_ITEM_CORRECT: 0.0368277, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1797408, DIVERSITY_GINI: 0.1500078, SHANNON_ENTROPY: 11.5190801, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1677592, PRECISION: 0.0353462, PRECISION_RECALL_MIN_DEN: 0.1227279, RECALL: 0.1188682, MAP: 0.0577851, MRR: 0.1242352, NDCG: 0.0870081, F1: 0.0544858, HIT_RATE: 0.3534619, ARHR: 0.1432250, NOVELTY: 0.0048333, AVERAGE_POPULARITY: 0.1144036, DIVERSITY_MEAN_INTER_LIST: 0.9828250, DIVERSITY_HERFINDAHL: 0.9982651, COVERAGE_ITEM: 0.4486622, COVERAGE_ITEM_CORRECT: 0.0387603, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1864351, DIVERSITY_GINI: 0.1472237, SHANNON_ENTROPY: 11.4845036, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1794888, PRECISION: 0.0383426, PRECISION_RECALL_MIN_DEN: 0.1340870, RECALL: 0.1299442, MAP: 0.0627448, MRR: 0.1341339, NDCG: 0.0945417, F1: 0.0592121, HIT_RATE: 0.3834261, ARHR: 0.1551583, NOVELTY: 0.0048000, AVERAGE_POPULARITY: 0.1121851, DIVERSITY_MEAN_INTER_LIST: 0.9836316, DIVERSITY_HERFINDAHL: 0.9983458, COVERAGE_ITEM: 0.4402618, COVERAGE_ITEM_CORRECT: 0.0437267, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2007298, DIVERSITY_GINI: 0.1370708, SHANNON_ENTROPY: 11.3919769, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1687531, PRECISION: 0.0357518, PRECISION_RECALL_MIN_DEN: 0.1239037, RECALL: 0.1199826, MAP: 0.0582237, MRR: 0.1251540, NDCG: 0.0877523, F1: 0.0550849, HIT_RATE: 0.3575181, ARHR: 0.1443993, NOVELTY: 0.0048269, AVERAGE_POPULARITY: 0.1145089, DIVERSITY_MEAN_INTER_LIST: 0.9827915, DIVERSITY_HERFINDAHL: 0.9982618, COVERAGE_ITEM: 0.4485005, COVERAGE_ITEM_CORRECT: 0.0392069, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1882723, DIVERSITY_GINI: 0.1459564, SHANNON_ENTROPY: 11.4651110, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1605968, PRECISION: 0.0337563, PRECISION_RECALL_MIN_DEN: 0.1168506, RECALL: 0.1131317, MAP: 0.0550677, MRR: 0.1187932, NDCG: 0.0829725, F1: 0.0519942, HIT_RATE: 0.3375632, ARHR: 0.1365886, NOVELTY: 0.0048497, AVERAGE_POPULARITY: 0.1145106, DIVERSITY_MEAN_INTER_LIST: 0.9826653, DIVERSITY_HERFINDAHL: 0.9982492, COVERAGE_ITEM: 0.4507026, COVERAGE_ITEM_CORRECT: 0.0364273, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1786838, DIVERSITY_GINI: 0.1504242, SHANNON_ENTROPY: 11.5253164, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1677330, PRECISION: 0.0354130, PRECISION_RECALL_MIN_DEN: 0.1225317, RECALL: 0.1186380, MAP: 0.0576806, MRR: 0.1242263, NDCG: 0.0869148, F1: 0.0545409, HIT_RATE: 0.3541300, ARHR: 0.1431940, NOVELTY: 0.0048309, AVERAGE_POPULARITY: 0.1144676, DIVERSITY_MEAN_INTER_LIST: 0.9827915, DIVERSITY_HERFINDAHL: 0.9982618, COVERAGE_ITEM: 0.4490395, COVERAGE_ITEM_CORRECT: 0.0387218, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1868630, DIVERSITY_GINI: 0.1468776, SHANNON_ENTROPY: 11.4769207, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.06162894636864159, 'l1_ratio': 0.7750867227642295} - results: ROC_AUC: 0.1611083, PRECISION: 0.0339013, PRECISION_RECALL_MIN_DEN: 0.1174122, RECALL: 0.1136799, MAP: 0.0552450, MRR: 0.1191347, NDCG: 0.0832868, F1: 0.0522237, HIT_RATE: 0.3390129, ARHR: 0.1370179, NOVELTY: 0.0048489, AVERAGE_POPULARITY: 0.1144594, DIVERSITY_MEAN_INTER_LIST: 0.9826976, DIVERSITY_HERFINDAHL: 0.9982524, COVERAGE_ITEM: 0.4505563, COVERAGE_ITEM_CORRECT: 0.0367199, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1794136, DIVERSITY_GINI: 0.1503237, SHANNON_ENTROPY: 11.5248940, 
