
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.9968320853303564, 'l1_ratio': 0.6946326006316155, 'topK': 666, 'normalize': False} - results: ROC_AUC: 0.1945367, PRECISION: 0.0417512, PRECISION_RECALL_MIN_DEN: 0.1520014, RECALL: 0.1477525, MAP: 0.0701002, MRR: 0.1434999, NDCG: 0.1051955, F1: 0.0651049, HIT_RATE: 0.4175123, ARHR: 0.1667827, NOVELTY: 0.0050429, AVERAGE_POPULARITY: 0.0685160, DIVERSITY_MEAN_INTER_LIST: 0.9935544, DIVERSITY_HERFINDAHL: 0.9993379, COVERAGE_ITEM: 0.5478422, COVERAGE_ITEM_CORRECT: 0.0589490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2168617, DIVERSITY_GINI: 0.2253180, SHANNON_ENTROPY: 12.4699990, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.5239710668272983, 'l1_ratio': 0.311555796938018, 'topK': 899, 'normalize': False} - results: ROC_AUC: 0.1886188, PRECISION: 0.0404592, PRECISION_RECALL_MIN_DEN: 0.1430735, RECALL: 0.1387435, MAP: 0.0670118, MRR: 0.1403941, NDCG: 0.1005109, F1: 0.0626483, HIT_RATE: 0.4045920, ARHR: 0.1630091, NOVELTY: 0.0048122, AVERAGE_POPULARITY: 0.1128692, DIVERSITY_MEAN_INTER_LIST: 0.9832280, DIVERSITY_HERFINDAHL: 0.9983054, COVERAGE_ITEM: 0.4466910, COVERAGE_ITEM_CORRECT: 0.0479923, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2102680, DIVERSITY_GINI: 0.1406441, SHANNON_ENTROPY: 11.4126089, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.03651542577594392, 'l1_ratio': 0.5314123568664026, 'topK': 226, 'normalize': False} - results: ROC_AUC: 0.1806205, PRECISION: 0.0392509, PRECISION_RECALL_MIN_DEN: 0.1356428, RECALL: 0.1312117, MAP: 0.0637458, MRR: 0.1347145, NDCG: 0.0956632, F1: 0.0604235, HIT_RATE: 0.3925092, ARHR: 0.1568198, NOVELTY: 0.0048897, AVERAGE_POPULARITY: 0.1021774, DIVERSITY_MEAN_INTER_LIST: 0.9865099, DIVERSITY_HERFINDAHL: 0.9986336, COVERAGE_ITEM: 0.4685582, COVERAGE_ITEM_CORRECT: 0.0473840, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026928, DIVERSITY_GINI: 0.1617205, SHANNON_ENTROPY: 11.7230281, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.12033435932790473, 'l1_ratio': 0.6282229929294818, 'topK': 381, 'normalize': False} - results: ROC_AUC: 0.1994091, PRECISION: 0.0436755, PRECISION_RECALL_MIN_DEN: 0.1554121, RECALL: 0.1508450, MAP: 0.0721663, MRR: 0.1493580, NDCG: 0.1082602, F1: 0.0677371, HIT_RATE: 0.4367553, ARHR: 0.1744664, NOVELTY: 0.0049242, AVERAGE_POPULARITY: 0.0937945, DIVERSITY_MEAN_INTER_LIST: 0.9886322, DIVERSITY_HERFINDAHL: 0.9988458, COVERAGE_ITEM: 0.4970780, COVERAGE_ITEM_CORRECT: 0.0566776, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2241601, DIVERSITY_GINI: 0.1796151, SHANNON_ENTROPY: 11.9340849, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'alpha': 0.1726313442001605, 'l1_ratio': 0.5170248083803548, 'topK': 925, 'normalize': True} - results: ROC_AUC: 0.1747670, PRECISION: 0.0373953, PRECISION_RECALL_MIN_DEN: 0.1308622, RECALL: 0.1268360, MAP: 0.0609501, MRR: 0.1292322, NDCG: 0.0919237, F1: 0.0577570, HIT_RATE: 0.3739533, ARHR: 0.1494867, NOVELTY: 0.0048476, AVERAGE_POPULARITY: 0.1128210, DIVERSITY_MEAN_INTER_LIST: 0.9832060, DIVERSITY_HERFINDAHL: 0.9983032, COVERAGE_ITEM: 0.4536747, COVERAGE_ITEM_CORRECT: 0.0428104, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1959482, DIVERSITY_GINI: 0.1511589, SHANNON_ENTROPY: 11.5397934, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'alpha': 0.6262126297664293, 'l1_ratio': 0.2997560075819286, 'topK': 990, 'normalize': False} - results: ROC_AUC: 0.1882821, PRECISION: 0.0403708, PRECISION_RECALL_MIN_DEN: 0.1428524, RECALL: 0.1385219, MAP: 0.0667963, MRR: 0.1398155, NDCG: 0.1002274, F1: 0.0625195, HIT_RATE: 0.4037080, ARHR: 0.1623664, NOVELTY: 0.0048072, AVERAGE_POPULARITY: 0.1135276, DIVERSITY_MEAN_INTER_LIST: 0.9829957, DIVERSITY_HERFINDAHL: 0.9982822, COVERAGE_ITEM: 0.4445967, COVERAGE_ITEM_CORRECT: 0.0476227, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2097395, DIVERSITY_GINI: 0.1391637, SHANNON_ENTROPY: 11.3909759, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'alpha': 0.9023621129038708, 'l1_ratio': 0.6514977445489802, 'topK': 613, 'normalize': False} - results: ROC_AUC: 0.1986587, PRECISION: 0.0433238, PRECISION_RECALL_MIN_DEN: 0.1568583, RECALL: 0.1524091, MAP: 0.0722844, MRR: 0.1477209, NDCG: 0.1084881, F1: 0.0674683, HIT_RATE: 0.4332376, ARHR: 0.1721426, NOVELTY: 0.0050043, AVERAGE_POPULARITY: 0.0763519, DIVERSITY_MEAN_INTER_LIST: 0.9922360, DIVERSITY_HERFINDAHL: 0.9992061, COVERAGE_ITEM: 0.5320654, COVERAGE_ITEM_CORRECT: 0.0597806, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2232037, DIVERSITY_GINI: 0.2100814, SHANNON_ENTROPY: 12.3053929, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'alpha': 0.1311248631327128, 'l1_ratio': 0.02354996866557247, 'topK': 413, 'normalize': True} - results: ROC_AUC: 0.1647279, PRECISION: 0.0347985, PRECISION_RECALL_MIN_DEN: 0.1204962, RECALL: 0.1166703, MAP: 0.0568267, MRR: 0.1222135, NDCG: 0.0855292, F1: 0.0536040, HIT_RATE: 0.3479849, ARHR: 0.1408013, NOVELTY: 0.0048530, AVERAGE_POPULARITY: 0.1115567, DIVERSITY_MEAN_INTER_LIST: 0.9835804, DIVERSITY_HERFINDAHL: 0.9983407, COVERAGE_ITEM: 0.4575553, COVERAGE_ITEM_CORRECT: 0.0381213, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1836668, DIVERSITY_GINI: 0.1518736, SHANNON_ENTROPY: 11.5407558, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'alpha': 0.94494185239894, 'l1_ratio': 0.41751866835867546, 'topK': 522, 'normalize': False} - results: ROC_AUC: 0.1957576, PRECISION: 0.0428937, PRECISION_RECALL_MIN_DEN: 0.1511183, RECALL: 0.1465280, MAP: 0.0706482, MRR: 0.1464062, NDCG: 0.1057991, F1: 0.0663602, HIT_RATE: 0.4289374, ARHR: 0.1711436, NOVELTY: 0.0048805, AVERAGE_POPULARITY: 0.1007193, DIVERSITY_MEAN_INTER_LIST: 0.9868843, DIVERSITY_HERFINDAHL: 0.9986710, COVERAGE_ITEM: 0.4709066, COVERAGE_ITEM_CORRECT: 0.0538364, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2194539, DIVERSITY_GINI: 0.1589595, SHANNON_ENTROPY: 11.7032753, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'alpha': 0.3317664009889189, 'l1_ratio': 0.7611958276854777, 'topK': 538, 'normalize': True} - results: ROC_AUC: 0.1934470, PRECISION: 0.0426500, PRECISION_RECALL_MIN_DEN: 0.1519086, RECALL: 0.1474656, MAP: 0.0694893, MRR: 0.1442484, NDCG: 0.1049234, F1: 0.0661623, HIT_RATE: 0.4264999, ARHR: 0.1684510, NOVELTY: 0.0049271, AVERAGE_POPULARITY: 0.0934571, DIVERSITY_MEAN_INTER_LIST: 0.9885907, DIVERSITY_HERFINDAHL: 0.9988416, COVERAGE_ITEM: 0.5024216, COVERAGE_ITEM_CORRECT: 0.0551376, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2194035, DIVERSITY_GINI: 0.1853567, SHANNON_ENTROPY: 11.9851361, 
