
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1387827, PRECISION: 0.0290686, PRECISION_RECALL_MIN_DEN: 0.1085099, RECALL: 0.1055422, MAP: 0.0477290, MRR: 0.0981580, NDCG: 0.0729806, F1: 0.0455807, HIT_RATE: 0.2906865, ARHR: 0.1109116, NOVELTY: 0.0051971, AVERAGE_POPULARITY: 0.0354790, DIVERSITY_MEAN_INTER_LIST: 0.9973161, DIVERSITY_HERFINDAHL: 0.9997140, COVERAGE_ITEM: 0.5771165, COVERAGE_ITEM_CORRECT: 0.0490087, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1608406, DIVERSITY_GINI: 0.2694003, SHANNON_ENTROPY: 12.9741233, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1720171, PRECISION: 0.0362824, PRECISION_RECALL_MIN_DEN: 0.1272977, RECALL: 0.1233338, MAP: 0.0599082, MRR: 0.1278283, NDCG: 0.0899452, F1: 0.0560663, HIT_RATE: 0.3628243, ARHR: 0.1472454, NOVELTY: 0.0047845, AVERAGE_POPULARITY: 0.1088023, DIVERSITY_MEAN_INTER_LIST: 0.9854547, DIVERSITY_HERFINDAHL: 0.9985281, COVERAGE_ITEM: 0.4165313, COVERAGE_ITEM_CORRECT: 0.0408393, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1915440, DIVERSITY_GINI: 0.1223876, SHANNON_ENTROPY: 11.3143915, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.1881305, PRECISION: 0.0406923, PRECISION_RECALL_MIN_DEN: 0.1432130, RECALL: 0.1387304, MAP: 0.0675596, MRR: 0.1403694, NDCG: 0.1007689, F1: 0.0629246, HIT_RATE: 0.4069228, ARHR: 0.1635091, NOVELTY: 0.0049418, AVERAGE_POPULARITY: 0.0828952, DIVERSITY_MEAN_INTER_LIST: 0.9913036, DIVERSITY_HERFINDAHL: 0.9991128, COVERAGE_ITEM: 0.4716073, COVERAGE_ITEM_CORRECT: 0.0518576, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2093872, DIVERSITY_GINI: 0.1636512, SHANNON_ENTROPY: 11.9258552, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1882313, PRECISION: 0.0406537, PRECISION_RECALL_MIN_DEN: 0.1426791, RECALL: 0.1382089, MAP: 0.0674304, MRR: 0.1410665, NDCG: 0.1006558, F1: 0.0628250, HIT_RATE: 0.4065372, ARHR: 0.1643313, NOVELTY: 0.0048632, AVERAGE_POPULARITY: 0.0955131, DIVERSITY_MEAN_INTER_LIST: 0.9887636, DIVERSITY_HERFINDAHL: 0.9988589, COVERAGE_ITEM: 0.4489394, COVERAGE_ITEM_CORRECT: 0.0504716, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2088335, DIVERSITY_GINI: 0.1450596, SHANNON_ENTROPY: 11.6531759, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.1828532, PRECISION: 0.0392619, PRECISION_RECALL_MIN_DEN: 0.1377515, RECALL: 0.1333902, MAP: 0.0649282, MRR: 0.1361906, NDCG: 0.0970665, F1: 0.0606645, HIT_RATE: 0.3926190, ARHR: 0.1581136, NOVELTY: 0.0049454, AVERAGE_POPULARITY: 0.0821944, DIVERSITY_MEAN_INTER_LIST: 0.9912838, DIVERSITY_HERFINDAHL: 0.9991109, COVERAGE_ITEM: 0.4681732, COVERAGE_ITEM_CORRECT: 0.0493244, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032968, DIVERSITY_GINI: 0.1614317, SHANNON_ENTROPY: 11.9077153, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.1859244, PRECISION: 0.0400707, PRECISION_RECALL_MIN_DEN: 0.1406872, RECALL: 0.1362626, MAP: 0.0662507, MRR: 0.1386322, NDCG: 0.0990556, F1: 0.0619269, HIT_RATE: 0.4007074, ARHR: 0.1611044, NOVELTY: 0.0049303, AVERAGE_POPULARITY: 0.0846294, DIVERSITY_MEAN_INTER_LIST: 0.9909153, DIVERSITY_HERFINDAHL: 0.9990740, COVERAGE_ITEM: 0.4655168, COVERAGE_ITEM_CORRECT: 0.0504100, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2069209, DIVERSITY_GINI: 0.1590526, SHANNON_ENTROPY: 11.8704921, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1914520, PRECISION: 0.0414202, PRECISION_RECALL_MIN_DEN: 0.1483511, RECALL: 0.1439940, MAP: 0.0692842, MRR: 0.1418035, NDCG: 0.1034100, F1: 0.0643335, HIT_RATE: 0.4142024, ARHR: 0.1654052, NOVELTY: 0.0049256, AVERAGE_POPULARITY: 0.0840228, DIVERSITY_MEAN_INTER_LIST: 0.9913017, DIVERSITY_HERFINDAHL: 0.9991127, COVERAGE_ITEM: 0.4888162, COVERAGE_ITEM_CORRECT: 0.0550991, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2137410, DIVERSITY_GINI: 0.1757458, SHANNON_ENTROPY: 12.0141550, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.7434007521831745, 'l1_ratio': 0.32535370781203904} - results: ROC_AUC: 0.1893969, PRECISION: 0.0414075, PRECISION_RECALL_MIN_DEN: 0.1473718, RECALL: 0.1428821, MAP: 0.0681743, MRR: 0.1400563, NDCG: 0.1021810, F1: 0.0642061, HIT_RATE: 0.4140755, ARHR: 0.1636713, NOVELTY: 0.0050020, AVERAGE_POPULARITY: 0.0715746, DIVERSITY_MEAN_INTER_LIST: 0.9935009, DIVERSITY_HERFINDAHL: 0.9993325, COVERAGE_ITEM: 0.5099519, COVERAGE_ITEM_CORRECT: 0.0564543, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2133887, DIVERSITY_GINI: 0.1949262, SHANNON_ENTROPY: 12.2667365, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8019333337858512, 'l1_ratio': 0.08391961855661857} - results: ROC_AUC: 0.1828265, PRECISION: 0.0392050, PRECISION_RECALL_MIN_DEN: 0.1375035, RECALL: 0.1331580, MAP: 0.0646978, MRR: 0.1359997, NDCG: 0.0968472, F1: 0.0605720, HIT_RATE: 0.3920497, ARHR: 0.1577865, NOVELTY: 0.0049180, AVERAGE_POPULARITY: 0.0865825, DIVERSITY_MEAN_INTER_LIST: 0.9904738, DIVERSITY_HERFINDAHL: 0.9990299, COVERAGE_ITEM: 0.4597190, COVERAGE_ITEM_CORRECT: 0.0484235, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032465, DIVERSITY_GINI: 0.1546205, SHANNON_ENTROPY: 11.8127411, 

