
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 156, 'shrink': 446, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0922118, PRECISION: 0.0183489, PRECISION_RECALL_MIN_DEN: 0.0706865, RECALL: 0.0690037, MAP: 0.0306900, MRR: 0.0650554, NDCG: 0.0475145, F1: 0.0289879, HIT_RATE: 0.1834885, ARHR: 0.0713951, NOVELTY: 0.0050220, AVERAGE_POPULARITY: 0.0149644, DIVERSITY_MEAN_INTER_LIST: 0.9976642, DIVERSITY_HERFINDAHL: 0.9997475, COVERAGE_ITEM: 0.5793802, COVERAGE_ITEM_CORRECT: 0.0348643, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1004656, DIVERSITY_GINI: 0.2951196, SHANNON_ENTROPY: 13.1361351, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 312, 'shrink': 985, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0934002, PRECISION: 0.0188377, PRECISION_RECALL_MIN_DEN: 0.0721103, RECALL: 0.0703324, MAP: 0.0311206, MRR: 0.0658817, NDCG: 0.0482801, F1: 0.0297158, HIT_RATE: 0.1883771, ARHR: 0.0725777, NOVELTY: 0.0050265, AVERAGE_POPULARITY: 0.0150577, DIVERSITY_MEAN_INTER_LIST: 0.9976858, DIVERSITY_HERFINDAHL: 0.9997497, COVERAGE_ITEM: 0.5812281, COVERAGE_ITEM_CORRECT: 0.0356189, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1023028, DIVERSITY_GINI: 0.2966017, SHANNON_ENTROPY: 13.1435193, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 920, 'shrink': 566, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1012282, PRECISION: 0.0202337, PRECISION_RECALL_MIN_DEN: 0.0787672, RECALL: 0.0769269, MAP: 0.0350140, MRR: 0.0716117, NDCG: 0.0534039, F1: 0.0320391, HIT_RATE: 0.2023374, ARHR: 0.0791864, NOVELTY: 0.0050791, AVERAGE_POPULARITY: 0.0166187, DIVERSITY_MEAN_INTER_LIST: 0.9970545, DIVERSITY_HERFINDAHL: 0.9996866, COVERAGE_ITEM: 0.5021367, COVERAGE_ITEM_CORRECT: 0.0368277, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1084938, DIVERSITY_GINI: 0.2384289, SHANNON_ENTROPY: 12.8238303, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 188, 'shrink': 266, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1021140, PRECISION: 0.0205143, PRECISION_RECALL_MIN_DEN: 0.0791278, RECALL: 0.0771822, MAP: 0.0351327, MRR: 0.0726910, NDCG: 0.0536966, F1: 0.0324125, HIT_RATE: 0.2051430, ARHR: 0.0803743, NOVELTY: 0.0050664, AVERAGE_POPULARITY: 0.0162775, DIVERSITY_MEAN_INTER_LIST: 0.9972880, DIVERSITY_HERFINDAHL: 0.9997099, COVERAGE_ITEM: 0.5340982, COVERAGE_ITEM_CORRECT: 0.0377363, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1098779, DIVERSITY_GINI: 0.2639113, SHANNON_ENTROPY: 12.9704933, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 280, 'shrink': 110, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0814975, PRECISION: 0.0164089, PRECISION_RECALL_MIN_DEN: 0.0631980, RECALL: 0.0616481, MAP: 0.0271759, MRR: 0.0575860, NDCG: 0.0422382, F1: 0.0259168, HIT_RATE: 0.1640888, ARHR: 0.0630349, NOVELTY: 0.0050824, AVERAGE_POPULARITY: 0.0155440, DIVERSITY_MEAN_INTER_LIST: 0.9960899, DIVERSITY_HERFINDAHL: 0.9995901, COVERAGE_ITEM: 0.4129047, COVERAGE_ITEM_CORRECT: 0.0297902, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0901724, DIVERSITY_GINI: 0.1776353, SHANNON_ENTROPY: 12.4094009, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 426, 'shrink': 965, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0808954, PRECISION: 0.0163175, PRECISION_RECALL_MIN_DEN: 0.0632086, RECALL: 0.0617043, MAP: 0.0272069, MRR: 0.0575121, NDCG: 0.0422495, F1: 0.0258069, HIT_RATE: 0.1631754, ARHR: 0.0628388, NOVELTY: 0.0050846, AVERAGE_POPULARITY: 0.0154935, DIVERSITY_MEAN_INTER_LIST: 0.9959547, DIVERSITY_HERFINDAHL: 0.9995766, COVERAGE_ITEM: 0.4073609, COVERAGE_ITEM_CORRECT: 0.0296439, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0898201, DIVERSITY_GINI: 0.1726016, SHANNON_ENTROPY: 12.3627708, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 961, 'shrink': 943, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1009201, PRECISION: 0.0201314, PRECISION_RECALL_MIN_DEN: 0.0779396, RECALL: 0.0760729, MAP: 0.0348472, MRR: 0.0714311, NDCG: 0.0530450, F1: 0.0318359, HIT_RATE: 0.2013140, ARHR: 0.0789789, NOVELTY: 0.0050835, AVERAGE_POPULARITY: 0.0167233, DIVERSITY_MEAN_INTER_LIST: 0.9969392, DIVERSITY_HERFINDAHL: 0.9996750, COVERAGE_ITEM: 0.4920423, COVERAGE_ITEM_CORRECT: 0.0365582, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1080408, DIVERSITY_GINI: 0.2312645, SHANNON_ENTROPY: 12.7781035, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 388, 'shrink': 318, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0809621, PRECISION: 0.0162720, PRECISION_RECALL_MIN_DEN: 0.0629714, RECALL: 0.0614726, MAP: 0.0271171, MRR: 0.0573702, NDCG: 0.0421131, F1: 0.0257299, HIT_RATE: 0.1627200, ARHR: 0.0626862, NOVELTY: 0.0050839, AVERAGE_POPULARITY: 0.0154806, DIVERSITY_MEAN_INTER_LIST: 0.9959857, DIVERSITY_HERFINDAHL: 0.9995797, COVERAGE_ITEM: 0.4082926, COVERAGE_ITEM_CORRECT: 0.0295438, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0896439, DIVERSITY_GINI: 0.1735202, SHANNON_ENTROPY: 12.3719530, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 924, 'shrink': 886, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0939618, PRECISION: 0.0189401, PRECISION_RECALL_MIN_DEN: 0.0724258, RECALL: 0.0706401, MAP: 0.0313086, MRR: 0.0663094, NDCG: 0.0485494, F1: 0.0298707, HIT_RATE: 0.1894009, ARHR: 0.0730881, NOVELTY: 0.0050288, AVERAGE_POPULARITY: 0.0150862, DIVERSITY_MEAN_INTER_LIST: 0.9977283, DIVERSITY_HERFINDAHL: 0.9997539, COVERAGE_ITEM: 0.5889432, COVERAGE_ITEM_CORRECT: 0.0357729, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1026299, DIVERSITY_GINI: 0.3020278, SHANNON_ENTROPY: 13.1683313, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 982, 'shrink': 276, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1016971, PRECISION: 0.0203553, PRECISION_RECALL_MIN_DEN: 0.0792336, RECALL: 0.0774185, MAP: 0.0352135, MRR: 0.0719799, NDCG: 0.0537325, F1: 0.0322335, HIT_RATE: 0.2035530, ARHR: 0.0795152, NOVELTY: 0.0050756, AVERAGE_POPULARITY: 0.0163680, DIVERSITY_MEAN_INTER_LIST: 0.9972242, DIVERSITY_HERFINDAHL: 0.9997035, COVERAGE_ITEM: 0.5226872, COVERAGE_ITEM_CORRECT: 0.0372204, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1094501, DIVERSITY_GINI: 0.2524230, SHANNON_ENTROPY: 12.9057406, 
