
SearchBayesianSkopt: New best config found. Config 6: {'topK': 275, 'alpha': 0.4767316848422841, 'beta': 0.04473489266088105, 'normalize_similarity': True} - results: ROC_AUC: 0.0550257, PRECISION: 0.0080925, PRECISION_RECALL_MIN_DEN: 0.0716763, RECALL: 0.0716763, MAP: 0.0329604, MRR: 0.0364180, NDCG: 0.0431425, F1: 0.0145430, HIT_RATE: 0.0809249, ARHR: 0.0365832, NOVELTY: 0.0052513, AVERAGE_POPULARITY: 0.0467654, DIVERSITY_MEAN_INTER_LIST: 0.9846692, DIVERSITY_HERFINDAHL: 0.9983531, COVERAGE_ITEM: 0.1927623, COVERAGE_ITEM_CORRECT: 0.0026564, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0086825, DIVERSITY_GINI: 0.1202138, SHANNON_ENTROPY: 11.4252833, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'topK': 275, 'alpha': 0.4767316848422841, 'beta': 0.04473489266088105, 'normalize_similarity': True} - results:
CUTOFF: 10 - ROC_AUC: 0.0565772, PRECISION: 0.0093621, PRECISION_RECALL_MIN_DEN: 0.0774177, RECALL: 0.0774177, MAP: 0.0337852, MRR: 0.0401414, NDCG: 0.0456981, F1: 0.0167042, HIT_RATE: 0.0936214, ARHR: 0.0409559, NOVELTY: 0.0052658, AVERAGE_POPULARITY: 0.0446987, DIVERSITY_MEAN_INTER_LIST: 0.9865547, DIVERSITY_HERFINDAHL: 0.9985540, COVERAGE_ITEM: 0.2082387, COVERAGE_ITEM_CORRECT: 0.0033879, COVERAGE_USER: 0.1223103, COVERAGE_USER_CORRECT: 0.0110734, DIVERSITY_GINI: 0.1276851, SHANNON_ENTROPY: 11.5615246, 

SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 729, 'alpha': 1.5922188197293758, 'beta': 1.7748048416324769, 'normalize_similarity': True} - results: ROC_AUC: 0.0202954, PRECISION: 0.0034682, PRECISION_RECALL_MIN_DEN: 0.0312139, RECALL: 0.0312139, MAP: 0.0130533, MRR: 0.0148018, NDCG: 0.0176615, F1: 0.0062428, HIT_RATE: 0.0346821, ARHR: 0.0148018, NOVELTY: 0.0058228, AVERAGE_POPULARITY: 0.0098213, DIVERSITY_MEAN_INTER_LIST: 0.9861959, DIVERSITY_HERFINDAHL: 0.9985056, COVERAGE_ITEM: 0.2141675, COVERAGE_ITEM_CORRECT: 0.0011550, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0037750, DIVERSITY_GINI: 0.1478799, SHANNON_ENTROPY: 11.7453089, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 818, 'alpha': 0.6279931197275784, 'beta': 1.3220814541911456, 'normalize_similarity': True} - results: ROC_AUC: 0.0202954, PRECISION: 0.0035838, PRECISION_RECALL_MIN_DEN: 0.0315992, RECALL: 0.0315992, MAP: 0.0129934, MRR: 0.0146440, NDCG: 0.0177146, F1: 0.0064375, HIT_RATE: 0.0358382, ARHR: 0.0146440, NOVELTY: 0.0059006, AVERAGE_POPULARITY: 0.0085171, DIVERSITY_MEAN_INTER_LIST: 0.9861119, DIVERSITY_HERFINDAHL: 0.9984972, COVERAGE_ITEM: 0.2060058, COVERAGE_ITEM_CORRECT: 0.0011935, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0039008, DIVERSITY_GINI: 0.1388386, SHANNON_ENTROPY: 11.6801230, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 538, 'alpha': 0.7685180937485068, 'beta': 0.3406859547231614, 'normalize_similarity': True} - results: ROC_AUC: 0.0357097, PRECISION: 0.0058960, PRECISION_RECALL_MIN_DEN: 0.0524085, RECALL: 0.0524085, MAP: 0.0204420, MRR: 0.0232150, NDCG: 0.0286457, F1: 0.0105995, HIT_RATE: 0.0589595, ARHR: 0.0232150, NOVELTY: 0.0055213, AVERAGE_POPULARITY: 0.0273474, DIVERSITY_MEAN_INTER_LIST: 0.9860819, DIVERSITY_HERFINDAHL: 0.9984942, COVERAGE_ITEM: 0.2200577, COVERAGE_ITEM_CORRECT: 0.0019634, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0064175, DIVERSITY_GINI: 0.1539089, SHANNON_ENTROPY: 11.7695820, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 90, 'alpha': 0.5809332699527113, 'beta': 1.113586951238092, 'normalize_similarity': True} - results: ROC_AUC: 0.0202954, PRECISION: 0.0036994, PRECISION_RECALL_MIN_DEN: 0.0335260, RECALL: 0.0335260, MAP: 0.0119598, MRR: 0.0134820, NDCG: 0.0173313, F1: 0.0066636, HIT_RATE: 0.0369942, ARHR: 0.0134820, NOVELTY: 0.0058855, AVERAGE_POPULARITY: 0.0087571, DIVERSITY_MEAN_INTER_LIST: 0.9860231, DIVERSITY_HERFINDAHL: 0.9984883, COVERAGE_ITEM: 0.2072762, COVERAGE_ITEM_CORRECT: 0.0012320, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0040267, DIVERSITY_GINI: 0.1399826, SHANNON_ENTROPY: 11.6849174, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 155, 'alpha': 0.2560241819305214, 'beta': 0.8694110655110567, 'normalize_similarity': False} - results: ROC_AUC: 0.0178548, PRECISION: 0.0031214, PRECISION_RECALL_MIN_DEN: 0.0283237, RECALL: 0.0283237, MAP: 0.0096268, MRR: 0.0105468, NDCG: 0.0142887, F1: 0.0056231, HIT_RATE: 0.0312139, ARHR: 0.0105468, NOVELTY: 0.0059428, AVERAGE_POPULARITY: 0.0076780, DIVERSITY_MEAN_INTER_LIST: 0.9852727, DIVERSITY_HERFINDAHL: 0.9984134, COVERAGE_ITEM: 0.1969586, COVERAGE_ITEM_CORRECT: 0.0010395, COVERAGE_USER: 0.1088461, COVERAGE_USER_CORRECT: 0.0033975, DIVERSITY_GINI: 0.1289848, SHANNON_ENTROPY: 11.5844662, 
