
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1657406, PRECISION: 0.0349071, PRECISION_RECALL_MIN_DEN: 0.1194121, RECALL: 0.1155738, MAP: 0.0563720, MRR: 0.1227874, NDCG: 0.0851300, F1: 0.0536177, HIT_RATE: 0.3490708, ARHR: 0.1415531, NOVELTY: 0.0048296, AVERAGE_POPULARITY: 0.1171454, DIVERSITY_MEAN_INTER_LIST: 0.9818306, DIVERSITY_HERFINDAHL: 0.9981657, COVERAGE_ITEM: 0.4461983, COVERAGE_ITEM_CORRECT: 0.0373975, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1844218, DIVERSITY_GINI: 0.1427547, SHANNON_ENTROPY: 11.4040503, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1716960, PRECISION: 0.0362537, PRECISION_RECALL_MIN_DEN: 0.1243282, RECALL: 0.1203100, MAP: 0.0587451, MRR: 0.1276131, NDCG: 0.0885611, F1: 0.0557168, HIT_RATE: 0.3625366, ARHR: 0.1473589, NOVELTY: 0.0048178, AVERAGE_POPULARITY: 0.1129804, DIVERSITY_MEAN_INTER_LIST: 0.9832873, DIVERSITY_HERFINDAHL: 0.9983114, COVERAGE_ITEM: 0.4439808, COVERAGE_ITEM_CORRECT: 0.0399769, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1903360, DIVERSITY_GINI: 0.1382691, SHANNON_ENTROPY: 11.3887879, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1661010, PRECISION: 0.0350800, PRECISION_RECALL_MIN_DEN: 0.1196082, RECALL: 0.1157220, MAP: 0.0565440, MRR: 0.1232125, NDCG: 0.0853531, F1: 0.0538376, HIT_RATE: 0.3508001, ARHR: 0.1421606, NOVELTY: 0.0048381, AVERAGE_POPULARITY: 0.1148823, DIVERSITY_MEAN_INTER_LIST: 0.9826564, DIVERSITY_HERFINDAHL: 0.9982483, COVERAGE_ITEM: 0.4481925, COVERAGE_ITEM_CORRECT: 0.0378903, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1847238, DIVERSITY_GINI: 0.1444965, SHANNON_ENTROPY: 11.4449298, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1721094, PRECISION: 0.0362497, PRECISION_RECALL_MIN_DEN: 0.1250093, RECALL: 0.1209739, MAP: 0.0589685, MRR: 0.1275805, NDCG: 0.0888433, F1: 0.0557827, HIT_RATE: 0.3624974, ARHR: 0.1472784, NOVELTY: 0.0047971, AVERAGE_POPULARITY: 0.1154681, DIVERSITY_MEAN_INTER_LIST: 0.9823695, DIVERSITY_HERFINDAHL: 0.9982196, COVERAGE_ITEM: 0.4363734, COVERAGE_ITEM_CORRECT: 0.0398152, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1907890, DIVERSITY_GINI: 0.1321935, SHANNON_ENTROPY: 11.2994488, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1724781, PRECISION: 0.0363307, PRECISION_RECALL_MIN_DEN: 0.1251752, RECALL: 0.1211128, MAP: 0.0592926, MRR: 0.1281140, NDCG: 0.0891577, F1: 0.0558932, HIT_RATE: 0.3633074, ARHR: 0.1479447, NOVELTY: 0.0048109, AVERAGE_POPULARITY: 0.1116405, DIVERSITY_MEAN_INTER_LIST: 0.9836184, DIVERSITY_HERFINDAHL: 0.9983445, COVERAGE_ITEM: 0.4378826, COVERAGE_ITEM_CORRECT: 0.0401540, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1909148, DIVERSITY_GINI: 0.1339496, SHANNON_ENTROPY: 11.3581506, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1713101, PRECISION: 0.0361157, PRECISION_RECALL_MIN_DEN: 0.1248380, RECALL: 0.1208427, MAP: 0.0583983, MRR: 0.1268402, NDCG: 0.0883252, F1: 0.0556098, HIT_RATE: 0.3611574, ARHR: 0.1463615, NOVELTY: 0.0047785, AVERAGE_POPULARITY: 0.1205322, DIVERSITY_MEAN_INTER_LIST: 0.9805582, DIVERSITY_HERFINDAHL: 0.9980385, COVERAGE_ITEM: 0.4332936, COVERAGE_ITEM_CORRECT: 0.0392762, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1903611, DIVERSITY_GINI: 0.1294117, SHANNON_ENTROPY: 11.2144547, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1717546, PRECISION: 0.0362394, PRECISION_RECALL_MIN_DEN: 0.1252270, RECALL: 0.1212209, MAP: 0.0587859, MRR: 0.1273671, NDCG: 0.0887479, F1: 0.0557966, HIT_RATE: 0.3623936, ARHR: 0.1470062, NOVELTY: 0.0047849, AVERAGE_POPULARITY: 0.1185568, DIVERSITY_MEAN_INTER_LIST: 0.9812715, DIVERSITY_HERFINDAHL: 0.9981098, COVERAGE_ITEM: 0.4339172, COVERAGE_ITEM_CORRECT: 0.0395919, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1908896, DIVERSITY_GINI: 0.1301377, SHANNON_ENTROPY: 11.2441776, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1725048, PRECISION: 0.0363557, PRECISION_RECALL_MIN_DEN: 0.1251816, RECALL: 0.1211037, MAP: 0.0592632, MRR: 0.1279712, NDCG: 0.0891211, F1: 0.0559216, HIT_RATE: 0.3635575, ARHR: 0.1478469, NOVELTY: 0.0048204, AVERAGE_POPULARITY: 0.1094840, DIVERSITY_MEAN_INTER_LIST: 0.9843221, DIVERSITY_HERFINDAHL: 0.9984148, COVERAGE_ITEM: 0.4396997, COVERAGE_ITEM_CORRECT: 0.0402926, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1907890, DIVERSITY_GINI: 0.1356718, SHANNON_ENTROPY: 11.3989826, 
