
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1684887, PRECISION: 0.0366864, PRECISION_RECALL_MIN_DEN: 0.1276369, RECALL: 0.1233446, MAP: 0.0569440, MRR: 0.1234640, NDCG: 0.0873769, F1: 0.0565517, HIT_RATE: 0.3668636, ARHR: 0.1429656, NOVELTY: 0.0048323, AVERAGE_POPULARITY: 0.0810907, DIVERSITY_MEAN_INTER_LIST: 0.9928970, DIVERSITY_HERFINDAHL: 0.9992722, COVERAGE_ITEM: 0.3081193, COVERAGE_ITEM_CORRECT: 0.0475534, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1924248, DIVERSITY_GINI: 0.0949515, SHANNON_ENTROPY: 11.4766773, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1822648, PRECISION: 0.0399537, PRECISION_RECALL_MIN_DEN: 0.1378671, RECALL: 0.1331671, MAP: 0.0630558, MRR: 0.1352806, NDCG: 0.0956924, F1: 0.0614645, HIT_RATE: 0.3995374, ARHR: 0.1580878, NOVELTY: 0.0048397, AVERAGE_POPULARITY: 0.0866674, DIVERSITY_MEAN_INTER_LIST: 0.9921267, DIVERSITY_HERFINDAHL: 0.9991951, COVERAGE_ITEM: 0.3313725, COVERAGE_ITEM_CORRECT: 0.0485313, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2054108, DIVERSITY_GINI: 0.1035829, SHANNON_ENTROPY: 11.5304635, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1695430, PRECISION: 0.0365305, PRECISION_RECALL_MIN_DEN: 0.1277335, RECALL: 0.1236100, MAP: 0.0571157, MRR: 0.1236099, NDCG: 0.0876325, F1: 0.0563945, HIT_RATE: 0.3653055, ARHR: 0.1430535, NOVELTY: 0.0048581, AVERAGE_POPULARITY: 0.0815049, DIVERSITY_MEAN_INTER_LIST: 0.9930346, DIVERSITY_HERFINDAHL: 0.9992859, COVERAGE_ITEM: 0.3134090, COVERAGE_ITEM_CORRECT: 0.0469143, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925506, DIVERSITY_GINI: 0.1006746, SHANNON_ENTROPY: 11.5627209, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1716414, PRECISION: 0.0374496, PRECISION_RECALL_MIN_DEN: 0.1297386, RECALL: 0.1253745, MAP: 0.0582862, MRR: 0.1263033, NDCG: 0.0892020, F1: 0.0576719, HIT_RATE: 0.3744957, ARHR: 0.1467751, NOVELTY: 0.0048552, AVERAGE_POPULARITY: 0.0826198, DIVERSITY_MEAN_INTER_LIST: 0.9928713, DIVERSITY_HERFINDAHL: 0.9992696, COVERAGE_ITEM: 0.3163272, COVERAGE_ITEM_CORRECT: 0.0473455, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1952687, DIVERSITY_GINI: 0.1012480, SHANNON_ENTROPY: 11.5590115, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1857133, PRECISION: 0.0404812, PRECISION_RECALL_MIN_DEN: 0.1432549, RECALL: 0.1388012, MAP: 0.0657689, MRR: 0.1379297, NDCG: 0.0993025, F1: 0.0626800, HIT_RATE: 0.4048115, ARHR: 0.1603326, NOVELTY: 0.0048138, AVERAGE_POPULARITY: 0.0905366, DIVERSITY_MEAN_INTER_LIST: 0.9906142, DIVERSITY_HERFINDAHL: 0.9990439, COVERAGE_ITEM: 0.3751761, COVERAGE_ITEM_CORRECT: 0.0502791, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2099409, DIVERSITY_GINI: 0.1114692, SHANNON_ENTROPY: 11.4693740, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1646788, PRECISION: 0.0361564, PRECISION_RECALL_MIN_DEN: 0.1255728, RECALL: 0.1211867, MAP: 0.0556640, MRR: 0.1203217, NDCG: 0.0855136, F1: 0.0556949, HIT_RATE: 0.3615642, ARHR: 0.1392768, NOVELTY: 0.0048155, AVERAGE_POPULARITY: 0.0813887, DIVERSITY_MEAN_INTER_LIST: 0.9926368, DIVERSITY_HERFINDAHL: 0.9992461, COVERAGE_ITEM: 0.3041001, COVERAGE_ITEM_CORRECT: 0.0471068, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1897320, DIVERSITY_GINI: 0.0910597, SHANNON_ENTROPY: 11.4093052, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1690930, PRECISION: 0.0365232, PRECISION_RECALL_MIN_DEN: 0.1272586, RECALL: 0.1231621, MAP: 0.0569853, MRR: 0.1238296, NDCG: 0.0875149, F1: 0.0563384, HIT_RATE: 0.3652319, ARHR: 0.1429815, NOVELTY: 0.0048504, AVERAGE_POPULARITY: 0.0808014, DIVERSITY_MEAN_INTER_LIST: 0.9930791, DIVERSITY_HERFINDAHL: 0.9992904, COVERAGE_ITEM: 0.3102599, COVERAGE_ITEM_CORRECT: 0.0474533, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925255, DIVERSITY_GINI: 0.0984569, SHANNON_ENTROPY: 11.5362301, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1921063, PRECISION: 0.0416361, PRECISION_RECALL_MIN_DEN: 0.1478135, RECALL: 0.1433707, MAP: 0.0687021, MRR: 0.1429805, NDCG: 0.1031940, F1: 0.0645305, HIT_RATE: 0.4163613, ARHR: 0.1661587, NOVELTY: 0.0048257, AVERAGE_POPULARITY: 0.0936853, DIVERSITY_MEAN_INTER_LIST: 0.9895378, DIVERSITY_HERFINDAHL: 0.9989363, COVERAGE_ITEM: 0.4119962, COVERAGE_ITEM_CORRECT: 0.0518730, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2153769, DIVERSITY_GINI: 0.1273588, SHANNON_ENTROPY: 11.5557270, 
