
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 811, 'shrink': 452, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1885444, PRECISION: 0.0416017, PRECISION_RECALL_MIN_DEN: 0.1467829, RECALL: 0.1423251, MAP: 0.0675931, MRR: 0.1401857, NDCG: 0.1018058, F1: 0.0643831, HIT_RATE: 0.4160171, ARHR: 0.1637983, NOVELTY: 0.0050428, AVERAGE_POPULARITY: 0.0629071, DIVERSITY_MEAN_INTER_LIST: 0.9946761, DIVERSITY_HERFINDAHL: 0.9994500, COVERAGE_ITEM: 0.5547488, COVERAGE_ITEM_CORRECT: 0.0591723, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2132629, DIVERSITY_GINI: 0.2243248, SHANNON_ENTROPY: 12.4992283, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 938, 'shrink': 978, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1777523, PRECISION: 0.0373112, PRECISION_RECALL_MIN_DEN: 0.1382481, RECALL: 0.1345834, MAP: 0.0636308, MRR: 0.1308114, NDCG: 0.0956683, F1: 0.0584230, HIT_RATE: 0.3731115, ARHR: 0.1500746, NOVELTY: 0.0046367, AVERAGE_POPULARITY: 0.1418363, DIVERSITY_MEAN_INTER_LIST: 0.9704103, DIVERSITY_HERFINDAHL: 0.9970239, COVERAGE_ITEM: 0.3918460, COVERAGE_ITEM_CORRECT: 0.0422098, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1992198, DIVERSITY_GINI: 0.1059952, SHANNON_ENTROPY: 10.7504468, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 462, 'shrink': 76, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1791148, PRECISION: 0.0377882, PRECISION_RECALL_MIN_DEN: 0.1392714, RECALL: 0.1355081, MAP: 0.0641093, MRR: 0.1318668, NDCG: 0.0963963, F1: 0.0590942, HIT_RATE: 0.3778818, ARHR: 0.1515687, NOVELTY: 0.0046612, AVERAGE_POPULARITY: 0.1359842, DIVERSITY_MEAN_INTER_LIST: 0.9731569, DIVERSITY_HERFINDAHL: 0.9972985, COVERAGE_ITEM: 0.4030183, COVERAGE_ITEM_CORRECT: 0.0434495, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2010822, DIVERSITY_GINI: 0.1125108, SHANNON_ENTROPY: 10.8790263, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 57, 'shrink': 276, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1574771, PRECISION: 0.0341487, PRECISION_RECALL_MIN_DEN: 0.1172751, RECALL: 0.1133394, MAP: 0.0546287, MRR: 0.1159388, NDCG: 0.0823099, F1: 0.0524831, HIT_RATE: 0.3414869, ARHR: 0.1345117, NOVELTY: 0.0053514, AVERAGE_POPULARITY: 0.0295398, DIVERSITY_MEAN_INTER_LIST: 0.9982868, DIVERSITY_HERFINDAHL: 0.9998110, COVERAGE_ITEM: 0.6675727, COVERAGE_ITEM_CORRECT: 0.0577709, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1780798, DIVERSITY_GINI: 0.3475774, SHANNON_ENTROPY: 13.3821066, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 116, 'shrink': 509, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1650222, PRECISION: 0.0345260, PRECISION_RECALL_MIN_DEN: 0.1229966, RECALL: 0.1192091, MAP: 0.0585905, MRR: 0.1233615, NDCG: 0.0872337, F1: 0.0535424, HIT_RATE: 0.3452601, ARHR: 0.1417402, NOVELTY: 0.0047522, AVERAGE_POPULARITY: 0.1165201, DIVERSITY_MEAN_INTER_LIST: 0.9807228, DIVERSITY_HERFINDAHL: 0.9980549, COVERAGE_ITEM: 0.4302291, COVERAGE_ITEM_CORRECT: 0.0397228, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1828615, DIVERSITY_GINI: 0.1297343, SHANNON_ENTROPY: 11.2414033, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 81, 'shrink': 592, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1586764, PRECISION: 0.0347026, PRECISION_RECALL_MIN_DEN: 0.1196577, RECALL: 0.1156473, MAP: 0.0560084, MRR: 0.1172981, NDCG: 0.0839326, F1: 0.0533839, HIT_RATE: 0.3470255, ARHR: 0.1364765, NOVELTY: 0.0053473, AVERAGE_POPULARITY: 0.0288478, DIVERSITY_MEAN_INTER_LIST: 0.9983242, DIVERSITY_HERFINDAHL: 0.9998148, COVERAGE_ITEM: 0.6636843, COVERAGE_ITEM_CORRECT: 0.0587257, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1792123, DIVERSITY_GINI: 0.3445411, SHANNON_ENTROPY: 13.3752910, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 620, 'shrink': 816, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1609944, PRECISION: 0.0353114, PRECISION_RECALL_MIN_DEN: 0.1236103, RECALL: 0.1198097, MAP: 0.0572391, MRR: 0.1188599, NDCG: 0.0861136, F1: 0.0545453, HIT_RATE: 0.3531139, ARHR: 0.1376318, NOVELTY: 0.0053072, AVERAGE_POPULARITY: 0.0297761, DIVERSITY_MEAN_INTER_LIST: 0.9981808, DIVERSITY_HERFINDAHL: 0.9998004, COVERAGE_ITEM: 0.6415091, COVERAGE_ITEM_CORRECT: 0.0606198, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1845728, DIVERSITY_GINI: 0.3184777, SHANNON_ENTROPY: 13.2597514, 

SearchBayesianSkopt-CV: New best config found. Config 17: {'topK': 919, 'shrink': 934, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1911205, PRECISION: 0.0420223, PRECISION_RECALL_MIN_DEN: 0.1483942, RECALL: 0.1438840, MAP: 0.0684420, MRR: 0.1421445, NDCG: 0.1030799, F1: 0.0650466, HIT_RATE: 0.4202227, ARHR: 0.1658066, NOVELTY: 0.0049402, AVERAGE_POPULARITY: 0.0770431, DIVERSITY_MEAN_INTER_LIST: 0.9920710, DIVERSITY_HERFINDAHL: 0.9991896, COVERAGE_ITEM: 0.5077036, COVERAGE_ITEM_CORRECT: 0.0560616, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2158299, DIVERSITY_GINI: 0.1855922, SHANNON_ENTROPY: 12.1061531, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 512, 'shrink': 402, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1641848, PRECISION: 0.0340450, PRECISION_RECALL_MIN_DEN: 0.1223281, RECALL: 0.1186869, MAP: 0.0577860, MRR: 0.1224973, NDCG: 0.0864168, F1: 0.0529110, HIT_RATE: 0.3404504, ARHR: 0.1400992, NOVELTY: 0.0046918, AVERAGE_POPULARITY: 0.1275852, DIVERSITY_MEAN_INTER_LIST: 0.9760378, DIVERSITY_HERFINDAHL: 0.9975865, COVERAGE_ITEM: 0.3911376, COVERAGE_ITEM_CORRECT: 0.0375977, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1823330, DIVERSITY_GINI: 0.1083004, SHANNON_ENTROPY: 10.9205537, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 934, 'shrink': 849, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1777432, PRECISION: 0.0372865, PRECISION_RECALL_MIN_DEN: 0.1382018, RECALL: 0.1345425, MAP: 0.0636159, MRR: 0.1307606, NDCG: 0.0956348, F1: 0.0583890, HIT_RATE: 0.3728647, ARHR: 0.1500167, NOVELTY: 0.0046370, AVERAGE_POPULARITY: 0.1417600, DIVERSITY_MEAN_INTER_LIST: 0.9704404, DIVERSITY_HERFINDAHL: 0.9970269, COVERAGE_ITEM: 0.3918460, COVERAGE_ITEM_CORRECT: 0.0421713, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991443, DIVERSITY_GINI: 0.1060411, SHANNON_ENTROPY: 10.7515614, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 305, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1329137, PRECISION: 0.0262250, PRECISION_RECALL_MIN_DEN: 0.0922500, RECALL: 0.0892928, MAP: 0.0447102, MRR: 0.0956000, NDCG: 0.0665602, F1: 0.0405412, HIT_RATE: 0.2622499, ARHR: 0.1076333, NOVELTY: 0.0053263, AVERAGE_POPULARITY: 0.0242667, DIVERSITY_MEAN_INTER_LIST: 0.9779273, DIVERSITY_HERFINDAHL: 0.9977754, COVERAGE_ITEM: 0.6716381, COVERAGE_ITEM_CORRECT: 0.0472993, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1456147, DIVERSITY_GINI: 0.3214920, SHANNON_ENTROPY: 12.6326963, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 173, 'shrink': 569, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1607608, PRECISION: 0.0350532, PRECISION_RECALL_MIN_DEN: 0.1216055, RECALL: 0.1176609, MAP: 0.0562216, MRR: 0.1180390, NDCG: 0.0846937, F1: 0.0540132, HIT_RATE: 0.3505324, ARHR: 0.1371453, NOVELTY: 0.0053363, AVERAGE_POPULARITY: 0.0293037, DIVERSITY_MEAN_INTER_LIST: 0.9982671, DIVERSITY_HERFINDAHL: 0.9998091, COVERAGE_ITEM: 0.6539365, COVERAGE_ITEM_CORRECT: 0.0597883, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1830376, DIVERSITY_GINI: 0.3336857, SHANNON_ENTROPY: 13.3294364, 
