
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 56, 'alpha': 1.931769611547156, 'normalize_similarity': True} - results: ROC_AUC: 0.0898942, PRECISION: 0.0182019, PRECISION_RECALL_MIN_DEN: 0.0710344, RECALL: 0.0694152, MAP: 0.0289842, MRR: 0.0604573, NDCG: 0.0459185, F1: 0.0288370, HIT_RATE: 0.1820191, ARHR: 0.0658180, NOVELTY: 0.0053128, AVERAGE_POPULARITY: 0.0411158, DIVERSITY_MEAN_INTER_LIST: 0.9972131, DIVERSITY_HERFINDAHL: 0.9997037, COVERAGE_ITEM: 0.4852127, COVERAGE_ITEM_CORRECT: 0.0311684, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1097773, DIVERSITY_GINI: 0.2261277, SHANNON_ENTROPY: 12.7845592, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 288, 'alpha': 0.09224198065425383, 'normalize_similarity': True} - results: ROC_AUC: 0.1487720, PRECISION: 0.0323179, PRECISION_RECALL_MIN_DEN: 0.1064690, RECALL: 0.1024588, MAP: 0.0486426, MRR: 0.1099801, NDCG: 0.0746500, F1: 0.0491353, HIT_RATE: 0.3231788, ARHR: 0.1281501, NOVELTY: 0.0050497, AVERAGE_POPULARITY: 0.0689043, DIVERSITY_MEAN_INTER_LIST: 0.9937423, DIVERSITY_HERFINDAHL: 0.9993567, COVERAGE_ITEM: 0.4892089, COVERAGE_ITEM_CORRECT: 0.0432647, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1672329, DIVERSITY_GINI: 0.1883335, SHANNON_ENTROPY: 12.2462800, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 648, 'alpha': 1.358035506220097, 'normalize_similarity': False} - results: ROC_AUC: 0.1038638, PRECISION: 0.0221514, PRECISION_RECALL_MIN_DEN: 0.0842342, RECALL: 0.0821984, MAP: 0.0344608, MRR: 0.0717584, NDCG: 0.0545347, F1: 0.0348962, HIT_RATE: 0.2215135, ARHR: 0.0800517, NOVELTY: 0.0052484, AVERAGE_POPULARITY: 0.0525500, DIVERSITY_MEAN_INTER_LIST: 0.9965055, DIVERSITY_HERFINDAHL: 0.9996329, COVERAGE_ITEM: 0.5121155, COVERAGE_ITEM_CORRECT: 0.0348181, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1271172, DIVERSITY_GINI: 0.2420987, SHANNON_ENTROPY: 12.7869594, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 587, 'alpha': 1.1024522650240987, 'normalize_similarity': False} - results: ROC_AUC: 0.1264299, PRECISION: 0.0275644, PRECISION_RECALL_MIN_DEN: 0.0973106, RECALL: 0.0941035, MAP: 0.0417515, MRR: 0.0899394, NDCG: 0.0649958, F1: 0.0426368, HIT_RATE: 0.2756438, ARHR: 0.1028783, NOVELTY: 0.0051841, AVERAGE_POPULARITY: 0.0596122, DIVERSITY_MEAN_INTER_LIST: 0.9955243, DIVERSITY_HERFINDAHL: 0.9995348, COVERAGE_ITEM: 0.5057478, COVERAGE_ITEM_CORRECT: 0.0391376, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1500189, DIVERSITY_GINI: 0.2255601, SHANNON_ENTROPY: 12.6151222, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 550, 'alpha': 1.148128714777455, 'normalize_similarity': False} - results: ROC_AUC: 0.1210725, PRECISION: 0.0262500, PRECISION_RECALL_MIN_DEN: 0.0936373, RECALL: 0.0906875, MAP: 0.0399086, MRR: 0.0855619, NDCG: 0.0623069, F1: 0.0407129, HIT_RATE: 0.2625005, ARHR: 0.0973279, NOVELTY: 0.0052045, AVERAGE_POPULARITY: 0.0568985, DIVERSITY_MEAN_INTER_LIST: 0.9958969, DIVERSITY_HERFINDAHL: 0.9995721, COVERAGE_ITEM: 0.5082348, COVERAGE_ITEM_CORRECT: 0.0383215, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1442557, DIVERSITY_GINI: 0.2306125, SHANNON_ENTROPY: 12.6716687, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 782, 'alpha': 1.527211694511894, 'normalize_similarity': False} - results: ROC_AUC: 0.0948497, PRECISION: 0.0197764, PRECISION_RECALL_MIN_DEN: 0.0784805, RECALL: 0.0769642, MAP: 0.0318025, MRR: 0.0648216, NDCG: 0.0504313, F1: 0.0314668, HIT_RATE: 0.1977637, ARHR: 0.0713415, NOVELTY: 0.0052680, AVERAGE_POPULARITY: 0.0508068, DIVERSITY_MEAN_INTER_LIST: 0.9967332, DIVERSITY_HERFINDAHL: 0.9996557, COVERAGE_ITEM: 0.5135630, COVERAGE_ITEM_CORRECT: 0.0326391, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1165975, DIVERSITY_GINI: 0.2471880, SHANNON_ENTROPY: 12.8355037, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 684, 'alpha': 1.055303014333028, 'normalize_similarity': True} - results: ROC_AUC: 0.1382955, PRECISION: 0.0302074, PRECISION_RECALL_MIN_DEN: 0.1044056, RECALL: 0.1008674, MAP: 0.0451851, MRR: 0.0987891, NDCG: 0.0704039, F1: 0.0464900, HIT_RATE: 0.3020744, ARHR: 0.1135782, NOVELTY: 0.0051185, AVERAGE_POPULARITY: 0.0708688, DIVERSITY_MEAN_INTER_LIST: 0.9938772, DIVERSITY_HERFINDAHL: 0.9993702, COVERAGE_ITEM: 0.4917960, COVERAGE_ITEM_CORRECT: 0.0391761, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1621492, DIVERSITY_GINI: 0.2078129, SHANNON_ENTROPY: 12.4054356, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 115, 'alpha': 0.36477828187039335, 'normalize_similarity': True} - results: ROC_AUC: 0.1578562, PRECISION: 0.0338616, PRECISION_RECALL_MIN_DEN: 0.1134200, RECALL: 0.1091585, MAP: 0.0523761, MRR: 0.1170063, NDCG: 0.0796966, F1: 0.0516877, HIT_RATE: 0.3386165, ARHR: 0.1357820, NOVELTY: 0.0050905, AVERAGE_POPULARITY: 0.0657827, DIVERSITY_MEAN_INTER_LIST: 0.9943060, DIVERSITY_HERFINDAHL: 0.9994130, COVERAGE_ITEM: 0.5030452, COVERAGE_ITEM_CORRECT: 0.0460212, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1762678, DIVERSITY_GINI: 0.2018383, SHANNON_ENTROPY: 12.3757151, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 93, 'alpha': 1.6914116294424886, 'normalize_similarity': True} - results: ROC_AUC: 0.1003952, PRECISION: 0.0206764, PRECISION_RECALL_MIN_DEN: 0.0792836, RECALL: 0.0773749, MAP: 0.0327007, MRR: 0.0681232, NDCG: 0.0516414, F1: 0.0326294, HIT_RATE: 0.2067641, ARHR: 0.0747490, NOVELTY: 0.0052707, AVERAGE_POPULARITY: 0.0465681, DIVERSITY_MEAN_INTER_LIST: 0.9968697, DIVERSITY_HERFINDAHL: 0.9996694, COVERAGE_ITEM: 0.4819326, COVERAGE_ITEM_CORRECT: 0.0332397, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1221341, DIVERSITY_GINI: 0.2226676, SHANNON_ENTROPY: 12.7288228, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 22, 'alpha': 1.8146451130912353, 'normalize_similarity': True} - results: ROC_AUC: 0.0841069, PRECISION: 0.0162591, PRECISION_RECALL_MIN_DEN: 0.0633204, RECALL: 0.0619099, MAP: 0.0270118, MRR: 0.0564901, NDCG: 0.0420962, F1: 0.0257503, HIT_RATE: 0.1625907, ARHR: 0.0609120, NOVELTY: 0.0053952, AVERAGE_POPULARITY: 0.0335228, DIVERSITY_MEAN_INTER_LIST: 0.9972010, DIVERSITY_HERFINDAHL: 0.9997025, COVERAGE_ITEM: 0.5058248, COVERAGE_ITEM_CORRECT: 0.0292820, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0993079, DIVERSITY_GINI: 0.2427537, SHANNON_ENTROPY: 12.8873729, 
