
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 384, 'alpha': 1.7396818177581161, 'beta': 1.4001306835787732, 'normalize_similarity': True} - results: ROC_AUC: 0.0498490, PRECISION: 0.0103756, PRECISION_RECALL_MIN_DEN: 0.0411199, RECALL: 0.0402978, MAP: 0.0170563, MRR: 0.0344335, NDCG: 0.0266570, F1: 0.0165010, HIT_RATE: 0.1037563, ARHR: 0.0381350, NOVELTY: 0.0059990, AVERAGE_POPULARITY: 0.0075776, DIVERSITY_MEAN_INTER_LIST: 0.9980182, DIVERSITY_HERFINDAHL: 0.9997842, COVERAGE_ITEM: 0.5388643, COVERAGE_ITEM_CORRECT: 0.0216978, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0603247, DIVERSITY_GINI: 0.2784428, SHANNON_ENTROPY: 13.1212659, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 814, 'alpha': 1.3593907383969024, 'beta': 1.7637366460061794, 'normalize_similarity': False} - results: ROC_AUC: 0.0487374, PRECISION: 0.0101845, PRECISION_RECALL_MIN_DEN: 0.0389792, RECALL: 0.0381887, MAP: 0.0164866, MRR: 0.0336687, NDCG: 0.0257334, F1: 0.0160789, HIT_RATE: 0.1018448, ARHR: 0.0376078, NOVELTY: 0.0061055, AVERAGE_POPULARITY: 0.0059059, DIVERSITY_MEAN_INTER_LIST: 0.9982444, DIVERSITY_HERFINDAHL: 0.9998068, COVERAGE_ITEM: 0.5384716, COVERAGE_ITEM_CORRECT: 0.0213513, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0585630, DIVERSITY_GINI: 0.2927626, SHANNON_ENTROPY: 13.2110595, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 442, 'alpha': 0.6372136158358465, 'beta': 1.127114311887251, 'normalize_similarity': True} - results: ROC_AUC: 0.0575273, PRECISION: 0.0125527, PRECISION_RECALL_MIN_DEN: 0.0436606, RECALL: 0.0420926, MAP: 0.0189137, MRR: 0.0408870, NDCG: 0.0292458, F1: 0.0193376, HIT_RATE: 0.1255274, ARHR: 0.0470778, NOVELTY: 0.0060991, AVERAGE_POPULARITY: 0.0061277, DIVERSITY_MEAN_INTER_LIST: 0.9983304, DIVERSITY_HERFINDAHL: 0.9998154, COVERAGE_ITEM: 0.5742676, COVERAGE_ITEM_CORRECT: 0.0265640, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0679502, DIVERSITY_GINI: 0.3179604, SHANNON_ENTROPY: 13.3191122, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 744, 'alpha': 1.8636377228599097, 'beta': 1.3850442339996916, 'normalize_similarity': True} - results: ROC_AUC: 0.0498552, PRECISION: 0.0102516, PRECISION_RECALL_MIN_DEN: 0.0410495, RECALL: 0.0402797, MAP: 0.0171085, MRR: 0.0342809, NDCG: 0.0266547, F1: 0.0163426, HIT_RATE: 0.1025162, ARHR: 0.0378768, NOVELTY: 0.0059789, AVERAGE_POPULARITY: 0.0079673, DIVERSITY_MEAN_INTER_LIST: 0.9980303, DIVERSITY_HERFINDAHL: 0.9997854, COVERAGE_ITEM: 0.5409586, COVERAGE_ITEM_CORRECT: 0.0213898, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0598968, DIVERSITY_GINI: 0.2796803, SHANNON_ENTROPY: 13.1282943, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 242, 'alpha': 0.8394465260007664, 'beta': 1.6156569775608345, 'normalize_similarity': False} - results: ROC_AUC: 0.0507195, PRECISION: 0.0109265, PRECISION_RECALL_MIN_DEN: 0.0378506, RECALL: 0.0364651, MAP: 0.0166298, MRR: 0.0357645, NDCG: 0.0255362, F1: 0.0168126, HIT_RATE: 0.1092645, ARHR: 0.0409082, NOVELTY: 0.0061913, AVERAGE_POPULARITY: 0.0048963, DIVERSITY_MEAN_INTER_LIST: 0.9979849, DIVERSITY_HERFINDAHL: 0.9997809, COVERAGE_ITEM: 0.4815630, COVERAGE_ITEM_CORRECT: 0.0230837, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0598213, DIVERSITY_GINI: 0.2445701, SHANNON_ENTROPY: 12.9715648, 

SearchBayesianSkopt-CV: New best config found. Config 14: {'topK': 378, 'alpha': 0.4011437553174185, 'beta': 0.5151468187384868, 'normalize_similarity': True} - results: ROC_AUC: 0.0946791, PRECISION: 0.0221580, PRECISION_RECALL_MIN_DEN: 0.0740769, RECALL: 0.0710365, MAP: 0.0309896, MRR: 0.0675374, NDCG: 0.0485863, F1: 0.0337791, HIT_RATE: 0.2215802, ARHR: 0.0792545, NOVELTY: 0.0057997, AVERAGE_POPULARITY: 0.0183870, DIVERSITY_MEAN_INTER_LIST: 0.9985095, DIVERSITY_HERFINDAHL: 0.9998333, COVERAGE_ITEM: 0.6962156, COVERAGE_ITEM_CORRECT: 0.0407777, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1164716, DIVERSITY_GINI: 0.4249450, SHANNON_ENTROPY: 13.6721667, 

SearchBayesianSkopt-CV: New best config found. Config 15: {'topK': 384, 'alpha': 0.29395555054467387, 'beta': 0.1624541023177726, 'normalize_similarity': False} - results: ROC_AUC: 0.1695830, PRECISION: 0.0359078, PRECISION_RECALL_MIN_DEN: 0.1227547, RECALL: 0.1186842, MAP: 0.0583919, MRR: 0.1265174, NDCG: 0.0876627, F1: 0.0551333, HIT_RATE: 0.3590780, ARHR: 0.1465116, NOVELTY: 0.0049545, AVERAGE_POPULARITY: 0.0972914, DIVERSITY_MEAN_INTER_LIST: 0.9867213, DIVERSITY_HERFINDAHL: 0.9986547, COVERAGE_ITEM: 0.5014360, COVERAGE_ITEM_CORRECT: 0.0422175, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1870895, DIVERSITY_GINI: 0.1733975, SHANNON_ENTROPY: 11.7488425, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 494, 'alpha': 0.8521306636918762, 'beta': 1.7264251267822313, 'normalize_similarity': True} - results: ROC_AUC: 0.0517034, PRECISION: 0.0108773, PRECISION_RECALL_MIN_DEN: 0.0382865, RECALL: 0.0369520, MAP: 0.0167061, MRR: 0.0366201, NDCG: 0.0258283, F1: 0.0168057, HIT_RATE: 0.1087734, ARHR: 0.0416175, NOVELTY: 0.0061718, AVERAGE_POPULARITY: 0.0051551, DIVERSITY_MEAN_INTER_LIST: 0.9979302, DIVERSITY_HERFINDAHL: 0.9997754, COVERAGE_ITEM: 0.4952839, COVERAGE_ITEM_CORRECT: 0.0229374, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0603498, DIVERSITY_GINI: 0.2475153, SHANNON_ENTROPY: 12.9789928, 
