
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 510, 'shrink': 967, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.7894484032522353, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1215844, PRECISION: 0.0266110, PRECISION_RECALL_MIN_DEN: 0.0934663, RECALL: 0.0906255, MAP: 0.0403226, MRR: 0.0863751, NDCG: 0.0629462, F1: 0.0411396, HIT_RATE: 0.2661100, ARHR: 0.0984478, NOVELTY: 0.0057036, AVERAGE_POPULARITY: 0.0610100, DIVERSITY_MEAN_INTER_LIST: 0.9984440, DIVERSITY_HERFINDAHL: 0.9998255, COVERAGE_ITEM: 0.6998730, COVERAGE_ITEM_CORRECT: 0.0475996, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1347175, DIVERSITY_GINI: 0.4007865, SHANNON_ENTROPY: 13.5975621, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 936, 'shrink': 703, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.07476797218192534, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1360542, PRECISION: 0.0269245, PRECISION_RECALL_MIN_DEN: 0.1035134, RECALL: 0.1012683, MAP: 0.0466291, MRR: 0.0971822, NDCG: 0.0713146, F1: 0.0425360, HIT_RATE: 0.2692450, ARHR: 0.1078216, NOVELTY: 0.0052303, AVERAGE_POPULARITY: 0.1635774, DIVERSITY_MEAN_INTER_LIST: 0.9673481, DIVERSITY_HERFINDAHL: 0.9967165, COVERAGE_ITEM: 0.3675303, COVERAGE_ITEM_CORRECT: 0.0278961, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1435007, DIVERSITY_GINI: 0.0987755, SHANNON_ENTROPY: 10.6267510, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 159, 'shrink': 139, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.5824091534229673, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1544976, PRECISION: 0.0317391, PRECISION_RECALL_MIN_DEN: 0.1194597, RECALL: 0.1167286, MAP: 0.0534258, MRR: 0.1107581, NDCG: 0.0818409, F1: 0.0499060, HIT_RATE: 0.3173915, ARHR: 0.1248274, NOVELTY: 0.0053488, AVERAGE_POPULARITY: 0.1270963, DIVERSITY_MEAN_INTER_LIST: 0.9885799, DIVERSITY_HERFINDAHL: 0.9988393, COVERAGE_ITEM: 0.4631684, COVERAGE_ITEM_CORRECT: 0.0389913, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1638857, DIVERSITY_GINI: 0.1598766, SHANNON_ENTROPY: 11.7426557, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 838, 'shrink': 752, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.07238456710323206, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1534153, PRECISION: 0.0314132, PRECISION_RECALL_MIN_DEN: 0.1214390, RECALL: 0.1188292, MAP: 0.0540457, MRR: 0.1095605, NDCG: 0.0825124, F1: 0.0496867, HIT_RATE: 0.3141321, ARHR: 0.1230202, NOVELTY: 0.0052568, AVERAGE_POPULARITY: 0.1578075, DIVERSITY_MEAN_INTER_LIST: 0.9746071, DIVERSITY_HERFINDAHL: 0.9974422, COVERAGE_ITEM: 0.4231992, COVERAGE_ITEM_CORRECT: 0.0353725, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1635837, DIVERSITY_GINI: 0.1282702, SHANNON_ENTROPY: 11.0537173, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 616, 'shrink': 596, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.5256334535938593, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1156291, PRECISION: 0.0245229, PRECISION_RECALL_MIN_DEN: 0.0891295, RECALL: 0.0867921, MAP: 0.0382938, MRR: 0.0810899, NDCG: 0.0598643, F1: 0.0382371, HIT_RATE: 0.2452285, ARHR: 0.0913903, NOVELTY: 0.0057243, AVERAGE_POPULARITY: 0.0591153, DIVERSITY_MEAN_INTER_LIST: 0.9983608, DIVERSITY_HERFINDAHL: 0.9998172, COVERAGE_ITEM: 0.6799615, COVERAGE_ITEM_CORRECT: 0.0444658, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1276960, DIVERSITY_GINI: 0.3793485, SHANNON_ENTROPY: 13.5206297, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 718, 'shrink': 973, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.10968756057459353, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1222224, PRECISION: 0.0267137, PRECISION_RECALL_MIN_DEN: 0.0939896, RECALL: 0.0911439, MAP: 0.0405564, MRR: 0.0868134, NDCG: 0.0632888, F1: 0.0413162, HIT_RATE: 0.2671372, ARHR: 0.0989745, NOVELTY: 0.0057005, AVERAGE_POPULARITY: 0.0613904, DIVERSITY_MEAN_INTER_LIST: 0.9984269, DIVERSITY_HERFINDAHL: 0.9998238, COVERAGE_ITEM: 0.6982868, COVERAGE_ITEM_CORRECT: 0.0478306, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1352963, DIVERSITY_GINI: 0.3983253, SHANNON_ENTROPY: 13.5871704, 

SearchBayesianSkopt-CV: New best config found. Config 16: {'topK': 331, 'shrink': 353, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.23016507674015502, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1572710, PRECISION: 0.0325730, PRECISION_RECALL_MIN_DEN: 0.1233077, RECALL: 0.1204984, MAP: 0.0550246, MRR: 0.1128948, NDCG: 0.0841118, F1: 0.0512795, HIT_RATE: 0.3257295, ARHR: 0.1273995, NOVELTY: 0.0053019, AVERAGE_POPULARITY: 0.1421551, DIVERSITY_MEAN_INTER_LIST: 0.9822771, DIVERSITY_HERFINDAHL: 0.9982091, COVERAGE_ITEM: 0.4491165, COVERAGE_ITEM_CORRECT: 0.0384755, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1676608, DIVERSITY_GINI: 0.1462152, SHANNON_ENTROPY: 11.3996600, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 609, 'shrink': 868, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.05579415190046223, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1379902, PRECISION: 0.0272012, PRECISION_RECALL_MIN_DEN: 0.1047207, RECALL: 0.1024511, MAP: 0.0471426, MRR: 0.0983081, NDCG: 0.0721015, F1: 0.0429861, HIT_RATE: 0.2720124, ARHR: 0.1091428, NOVELTY: 0.0052491, AVERAGE_POPULARITY: 0.1571695, DIVERSITY_MEAN_INTER_LIST: 0.9721193, DIVERSITY_HERFINDAHL: 0.9971935, COVERAGE_ITEM: 0.3789105, COVERAGE_ITEM_CORRECT: 0.0285197, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1449855, DIVERSITY_GINI: 0.1056182, SHANNON_ENTROPY: 10.7921452, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 296, 'shrink': 531, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.9745328411025628, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1542658, PRECISION: 0.0316398, PRECISION_RECALL_MIN_DEN: 0.1205118, RECALL: 0.1178548, MAP: 0.0539674, MRR: 0.1107669, NDCG: 0.0824593, F1: 0.0498832, HIT_RATE: 0.3163978, ARHR: 0.1246186, NOVELTY: 0.0052954, AVERAGE_POPULARITY: 0.1427694, DIVERSITY_MEAN_INTER_LIST: 0.9819340, DIVERSITY_HERFINDAHL: 0.9981748, COVERAGE_ITEM: 0.4306603, COVERAGE_ITEM_CORRECT: 0.0366891, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1639864, DIVERSITY_GINI: 0.1350964, SHANNON_ENTROPY: 11.2989990, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 857, 'shrink': 778, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.2699251428926139, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1364521, PRECISION: 0.0269927, PRECISION_RECALL_MIN_DEN: 0.1038586, RECALL: 0.1016205, MAP: 0.0466311, MRR: 0.0972473, NDCG: 0.0714190, F1: 0.0426530, HIT_RATE: 0.2699273, ARHR: 0.1079338, NOVELTY: 0.0052337, AVERAGE_POPULARITY: 0.1623574, DIVERSITY_MEAN_INTER_LIST: 0.9682914, DIVERSITY_HERFINDAHL: 0.9968108, COVERAGE_ITEM: 0.3691935, COVERAGE_ITEM_CORRECT: 0.0280808, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1439285, DIVERSITY_GINI: 0.0998559, SHANNON_ENTROPY: 10.6556384, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 208, 'shrink': 619, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.013907663651943628, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1395969, PRECISION: 0.0278881, PRECISION_RECALL_MIN_DEN: 0.1056306, RECALL: 0.1033244, MAP: 0.0471404, MRR: 0.0987617, NDCG: 0.0725230, F1: 0.0439200, HIT_RATE: 0.2788814, ARHR: 0.1101167, NOVELTY: 0.0053486, AVERAGE_POPULARITY: 0.1269884, DIVERSITY_MEAN_INTER_LIST: 0.9879104, DIVERSITY_HERFINDAHL: 0.9987723, COVERAGE_ITEM: 0.4555226, COVERAGE_ITEM_CORRECT: 0.0323003, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1475525, DIVERSITY_GINI: 0.1570509, SHANNON_ENTROPY: 11.7085576, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 253, 'shrink': 431, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.6577432470967134, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1425255, PRECISION: 0.0286045, PRECISION_RECALL_MIN_DEN: 0.1087806, RECALL: 0.1063697, MAP: 0.0489134, MRR: 0.1017798, NDCG: 0.0748445, F1: 0.0450827, HIT_RATE: 0.2860447, ARHR: 0.1135476, NOVELTY: 0.0053102, AVERAGE_POPULARITY: 0.1376738, DIVERSITY_MEAN_INTER_LIST: 0.9834581, DIVERSITY_HERFINDAHL: 0.9983272, COVERAGE_ITEM: 0.4203580, COVERAGE_ITEM_CORRECT: 0.0321617, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1506984, DIVERSITY_GINI: 0.1319623, SHANNON_ENTROPY: 11.3405242, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 448, 'shrink': 303, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.9247481473062172, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1408834, PRECISION: 0.0280845, PRECISION_RECALL_MIN_DEN: 0.1072958, RECALL: 0.1049297, MAP: 0.0481573, MRR: 0.1003613, NDCG: 0.0737729, F1: 0.0443064, HIT_RATE: 0.2808446, ARHR: 0.1118182, NOVELTY: 0.0052655, AVERAGE_POPULARITY: 0.1517642, DIVERSITY_MEAN_INTER_LIST: 0.9757968, DIVERSITY_HERFINDAHL: 0.9975612, COVERAGE_ITEM: 0.3905448, COVERAGE_ITEM_CORRECT: 0.0299288, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1485592, DIVERSITY_GINI: 0.1125900, SHANNON_ENTROPY: 10.9440664, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 942, 'shrink': 604, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.2836149727745641, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1507396, PRECISION: 0.0304163, PRECISION_RECALL_MIN_DEN: 0.1185973, RECALL: 0.1161277, MAP: 0.0528886, MRR: 0.1075194, NDCG: 0.0807300, F1: 0.0482028, HIT_RATE: 0.3041631, ARHR: 0.1202628, NOVELTY: 0.0052400, AVERAGE_POPULARITY: 0.1620025, DIVERSITY_MEAN_INTER_LIST: 0.9715092, DIVERSITY_HERFINDAHL: 0.9971325, COVERAGE_ITEM: 0.4020173, COVERAGE_ITEM_CORRECT: 0.0337401, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1597081, DIVERSITY_GINI: 0.1158459, SHANNON_ENTROPY: 10.8686652, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 924, 'shrink': 730, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.8215916371753197, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1360644, PRECISION: 0.0269472, PRECISION_RECALL_MIN_DEN: 0.1035990, RECALL: 0.1013553, MAP: 0.0466032, MRR: 0.0971578, NDCG: 0.0713179, F1: 0.0425720, HIT_RATE: 0.2694720, ARHR: 0.1077999, NOVELTY: 0.0052309, AVERAGE_POPULARITY: 0.1633744, DIVERSITY_MEAN_INTER_LIST: 0.9675089, DIVERSITY_HERFINDAHL: 0.9967326, COVERAGE_ITEM: 0.3678229, COVERAGE_ITEM_CORRECT: 0.0279346, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1436517, DIVERSITY_GINI: 0.0989825, SHANNON_ENTROPY: 10.6317241, 
