
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 131, 'shrink': 603, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0840805, PRECISION: 0.0176512, PRECISION_RECALL_MIN_DEN: 0.0590105, RECALL: 0.0568256, MAP: 0.0263644, MRR: 0.0596345, NDCG: 0.0408550, F1: 0.0269342, HIT_RATE: 0.1765124, ARHR: 0.0673889, NOVELTY: 0.0052832, AVERAGE_POPULARITY: 0.0162772, DIVERSITY_MEAN_INTER_LIST: 0.9979487, DIVERSITY_HERFINDAHL: 0.9997772, COVERAGE_ITEM: 0.6414321, COVERAGE_ITEM_CORRECT: 0.0345871, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0979741, DIVERSITY_GINI: 0.3261526, SHANNON_ENTROPY: 13.2693448, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 894, 'shrink': 478, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0915796, PRECISION: 0.0197111, PRECISION_RECALL_MIN_DEN: 0.0695930, RECALL: 0.0673176, MAP: 0.0291943, MRR: 0.0629591, NDCG: 0.0460595, F1: 0.0304919, HIT_RATE: 0.1971113, ARHR: 0.0710239, NOVELTY: 0.0052941, AVERAGE_POPULARITY: 0.0155579, DIVERSITY_MEAN_INTER_LIST: 0.9974355, DIVERSITY_HERFINDAHL: 0.9997259, COVERAGE_ITEM: 0.5529625, COVERAGE_ITEM_CORRECT: 0.0379365, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1106329, DIVERSITY_GINI: 0.2622705, SHANNON_ENTROPY: 12.9587501, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 309, 'shrink': 351, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0864311, PRECISION: 0.0184820, PRECISION_RECALL_MIN_DEN: 0.0612721, RECALL: 0.0589311, MAP: 0.0273121, MRR: 0.0614481, NDCG: 0.0423113, F1: 0.0281378, HIT_RATE: 0.1848200, ARHR: 0.0698280, NOVELTY: 0.0052841, AVERAGE_POPULARITY: 0.0166730, DIVERSITY_MEAN_INTER_LIST: 0.9981456, DIVERSITY_HERFINDAHL: 0.9997969, COVERAGE_ITEM: 0.6464139, COVERAGE_ITEM_CORRECT: 0.0362425, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1014723, DIVERSITY_GINI: 0.3294782, SHANNON_ENTROPY: 13.2980553, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 578, 'shrink': 588, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0870142, PRECISION: 0.0188242, PRECISION_RECALL_MIN_DEN: 0.0619462, RECALL: 0.0595183, MAP: 0.0274023, MRR: 0.0616929, NDCG: 0.0426040, F1: 0.0286015, HIT_RATE: 0.1882421, ARHR: 0.0702366, NOVELTY: 0.0052839, AVERAGE_POPULARITY: 0.0165131, DIVERSITY_MEAN_INTER_LIST: 0.9982205, DIVERSITY_HERFINDAHL: 0.9998044, COVERAGE_ITEM: 0.6459442, COVERAGE_ITEM_CORRECT: 0.0368739, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1029823, DIVERSITY_GINI: 0.3305839, SHANNON_ENTROPY: 13.3108783, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 646, 'shrink': 771, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0757364, PRECISION: 0.0155902, PRECISION_RECALL_MIN_DEN: 0.0533959, RECALL: 0.0515907, MAP: 0.0234144, MRR: 0.0528145, NDCG: 0.0367093, F1: 0.0239411, HIT_RATE: 0.1559022, ARHR: 0.0586947, NOVELTY: 0.0052964, AVERAGE_POPULARITY: 0.0147744, DIVERSITY_MEAN_INTER_LIST: 0.9971053, DIVERSITY_HERFINDAHL: 0.9996929, COVERAGE_ITEM: 0.5034610, COVERAGE_ITEM_CORRECT: 0.0302907, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0894174, DIVERSITY_GINI: 0.2281585, SHANNON_ENTROPY: 12.7665965, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 956, 'shrink': 908, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0913711, PRECISION: 0.0197080, PRECISION_RECALL_MIN_DEN: 0.0695757, RECALL: 0.0672893, MAP: 0.0291964, MRR: 0.0630272, NDCG: 0.0460404, F1: 0.0304850, HIT_RATE: 0.1970800, ARHR: 0.0711435, NOVELTY: 0.0052942, AVERAGE_POPULARITY: 0.0155633, DIVERSITY_MEAN_INTER_LIST: 0.9974102, DIVERSITY_HERFINDAHL: 0.9997234, COVERAGE_ITEM: 0.5523157, COVERAGE_ITEM_CORRECT: 0.0379288, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1103058, DIVERSITY_GINI: 0.2616247, SHANNON_ENTROPY: 12.9536115, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 196, 'shrink': 296, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0753430, PRECISION: 0.0154315, PRECISION_RECALL_MIN_DEN: 0.0529286, RECALL: 0.0511616, MAP: 0.0232188, MRR: 0.0526249, NDCG: 0.0364454, F1: 0.0237086, HIT_RATE: 0.1543146, ARHR: 0.0587142, NOVELTY: 0.0052936, AVERAGE_POPULARITY: 0.0147293, DIVERSITY_MEAN_INTER_LIST: 0.9973026, DIVERSITY_HERFINDAHL: 0.9997126, COVERAGE_ITEM: 0.5164504, COVERAGE_ITEM_CORRECT: 0.0301367, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0880836, DIVERSITY_GINI: 0.2405370, SHANNON_ENTROPY: 12.8502373, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 661, 'shrink': 469, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0757579, PRECISION: 0.0155585, PRECISION_RECALL_MIN_DEN: 0.0533346, RECALL: 0.0515357, MAP: 0.0233860, MRR: 0.0527832, NDCG: 0.0366718, F1: 0.0238980, HIT_RATE: 0.1555852, ARHR: 0.0586473, NOVELTY: 0.0052963, AVERAGE_POPULARITY: 0.0147690, DIVERSITY_MEAN_INTER_LIST: 0.9970993, DIVERSITY_HERFINDAHL: 0.9996923, COVERAGE_ITEM: 0.5031607, COVERAGE_ITEM_CORRECT: 0.0302291, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0893167, DIVERSITY_GINI: 0.2280038, SHANNON_ENTROPY: 12.7652309, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 584, 'shrink': 893, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0868907, PRECISION: 0.0188488, PRECISION_RECALL_MIN_DEN: 0.0615459, RECALL: 0.0590709, MAP: 0.0272142, MRR: 0.0613766, NDCG: 0.0423332, F1: 0.0285774, HIT_RATE: 0.1884882, ARHR: 0.0700108, NOVELTY: 0.0052859, AVERAGE_POPULARITY: 0.0161499, DIVERSITY_MEAN_INTER_LIST: 0.9982712, DIVERSITY_HERFINDAHL: 0.9998095, COVERAGE_ITEM: 0.6400462, COVERAGE_ITEM_CORRECT: 0.0369971, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1027809, DIVERSITY_GINI: 0.3291864, SHANNON_ENTROPY: 13.3139938, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 478, 'shrink': 928, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0923045, PRECISION: 0.0198668, PRECISION_RECALL_MIN_DEN: 0.0697275, RECALL: 0.0673679, MAP: 0.0293649, MRR: 0.0636978, NDCG: 0.0462497, F1: 0.0306826, HIT_RATE: 0.1986682, ARHR: 0.0720136, NOVELTY: 0.0052898, AVERAGE_POPULARITY: 0.0155698, DIVERSITY_MEAN_INTER_LIST: 0.9976603, DIVERSITY_HERFINDAHL: 0.9997484, COVERAGE_ITEM: 0.5586449, COVERAGE_ITEM_CORRECT: 0.0382060, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1109098, DIVERSITY_GINI: 0.2685983, SHANNON_ENTROPY: 13.0073077, 
