
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1591518, PRECISION: 0.0334096, PRECISION_RECALL_MIN_DEN: 0.1139385, RECALL: 0.1102484, MAP: 0.0537925, MRR: 0.1175302, NDCG: 0.0813168, F1: 0.0512763, HIT_RATE: 0.3340965, ARHR: 0.1352183, NOVELTY: 0.0048492, AVERAGE_POPULARITY: 0.1160408, DIVERSITY_MEAN_INTER_LIST: 0.9820784, DIVERSITY_HERFINDAHL: 0.9981905, COVERAGE_ITEM: 0.4478999, COVERAGE_ITEM_CORRECT: 0.0352801, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1766704, DIVERSITY_GINI: 0.1460719, SHANNON_ENTROPY: 11.4644389, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1725857, PRECISION: 0.0368406, PRECISION_RECALL_MIN_DEN: 0.1251672, RECALL: 0.1209651, MAP: 0.0592146, MRR: 0.1287788, NDCG: 0.0891782, F1: 0.0564791, HIT_RATE: 0.3684061, ARHR: 0.1491607, NOVELTY: 0.0048611, AVERAGE_POPULARITY: 0.1036906, DIVERSITY_MEAN_INTER_LIST: 0.9862267, DIVERSITY_HERFINDAHL: 0.9986052, COVERAGE_ITEM: 0.4526891, COVERAGE_ITEM_CORRECT: 0.0419018, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1921731, DIVERSITY_GINI: 0.1462856, SHANNON_ENTROPY: 11.5722983, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1674946, PRECISION: 0.0354449, PRECISION_RECALL_MIN_DEN: 0.1203651, RECALL: 0.1161560, MAP: 0.0572680, MRR: 0.1248564, NDCG: 0.0859968, F1: 0.0543143, HIT_RATE: 0.3544490, ARHR: 0.1446622, NOVELTY: 0.0049951, AVERAGE_POPULARITY: 0.0797425, DIVERSITY_MEAN_INTER_LIST: 0.9918556, DIVERSITY_HERFINDAHL: 0.9991680, COVERAGE_ITEM: 0.4846891, COVERAGE_ITEM_CORRECT: 0.0442656, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1847238, DIVERSITY_GINI: 0.1733049, SHANNON_ENTROPY: 12.0300500, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1741373, PRECISION: 0.0368757, PRECISION_RECALL_MIN_DEN: 0.1259053, RECALL: 0.1217382, MAP: 0.0598210, MRR: 0.1292820, NDCG: 0.0898762, F1: 0.0566032, HIT_RATE: 0.3687566, ARHR: 0.1496862, NOVELTY: 0.0048496, AVERAGE_POPULARITY: 0.1027611, DIVERSITY_MEAN_INTER_LIST: 0.9864733, DIVERSITY_HERFINDAHL: 0.9986299, COVERAGE_ITEM: 0.4459365, COVERAGE_ITEM_CORRECT: 0.0417863, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1927016, DIVERSITY_GINI: 0.1410664, SHANNON_ENTROPY: 11.5312717, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1699656, PRECISION: 0.0363241, PRECISION_RECALL_MIN_DEN: 0.1227891, RECALL: 0.1186311, MAP: 0.0580799, MRR: 0.1267787, NDCG: 0.0875744, F1: 0.0556163, HIT_RATE: 0.3632410, ARHR: 0.1467477, NOVELTY: 0.0048779, AVERAGE_POPULARITY: 0.1021590, DIVERSITY_MEAN_INTER_LIST: 0.9867493, DIVERSITY_HERFINDAHL: 0.9986575, COVERAGE_ITEM: 0.4558999, COVERAGE_ITEM_CORRECT: 0.0408778, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1897068, DIVERSITY_GINI: 0.1502748, SHANNON_ENTROPY: 11.6324949, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1719095, PRECISION: 0.0366287, PRECISION_RECALL_MIN_DEN: 0.1241465, RECALL: 0.1199536, MAP: 0.0588029, MRR: 0.1281416, NDCG: 0.0885842, F1: 0.0561187, HIT_RATE: 0.3662867, ARHR: 0.1484504, NOVELTY: 0.0048664, AVERAGE_POPULARITY: 0.1035032, DIVERSITY_MEAN_INTER_LIST: 0.9862720, DIVERSITY_HERFINDAHL: 0.9986098, COVERAGE_ITEM: 0.4541059, COVERAGE_ITEM_CORRECT: 0.0414552, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1909148, DIVERSITY_GINI: 0.1479716, SHANNON_ENTROPY: 11.5904148, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1695423, PRECISION: 0.0361091, PRECISION_RECALL_MIN_DEN: 0.1232143, RECALL: 0.1191926, MAP: 0.0578111, MRR: 0.1263541, NDCG: 0.0874986, F1: 0.0554246, HIT_RATE: 0.3610909, ARHR: 0.1459537, NOVELTY: 0.0048270, AVERAGE_POPULARITY: 0.1130323, DIVERSITY_MEAN_INTER_LIST: 0.9832678, DIVERSITY_HERFINDAHL: 0.9983094, COVERAGE_ITEM: 0.4453590, COVERAGE_ITEM_CORRECT: 0.0394456, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1891028, DIVERSITY_GINI: 0.1408417, SHANNON_ENTROPY: 11.4220486, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9398795406092607, 'l1_ratio': 0.8960220958040324, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1707054, PRECISION: 0.0363429, PRECISION_RECALL_MIN_DEN: 0.1236441, RECALL: 0.1194114, MAP: 0.0583129, MRR: 0.1267315, NDCG: 0.0878579, F1: 0.0557236, HIT_RATE: 0.3634294, ARHR: 0.1469137, NOVELTY: 0.0049272, AVERAGE_POPULARITY: 0.0874499, DIVERSITY_MEAN_INTER_LIST: 0.9903164, DIVERSITY_HERFINDAHL: 0.9990141, COVERAGE_ITEM: 0.4596189, COVERAGE_ITEM_CORRECT: 0.0433263, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1891028, DIVERSITY_GINI: 0.1543750, SHANNON_ENTROPY: 11.8163044, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.4400202122448458, 'l1_ratio': 0.43092240533788406, 'topK': 206, 'normalize': True} - results: ROC_AUC: 0.1710542, PRECISION: 0.0366280, PRECISION_RECALL_MIN_DEN: 0.1238163, RECALL: 0.1195381, MAP: 0.0589713, MRR: 0.1284814, NDCG: 0.0885836, F1: 0.0560708, HIT_RATE: 0.3662800, ARHR: 0.1488852, NOVELTY: 0.0049091, AVERAGE_POPULARITY: 0.0967006, DIVERSITY_MEAN_INTER_LIST: 0.9881446, DIVERSITY_HERFINDAHL: 0.9987970, COVERAGE_ITEM: 0.4670953, COVERAGE_ITEM_CORRECT: 0.0428874, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1898578, DIVERSITY_GINI: 0.1580051, SHANNON_ENTROPY: 11.7473658, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.5224935654854184, 'l1_ratio': 0.45658530243612383, 'topK': 925, 'normalize': False} - results: ROC_AUC: 0.1739181, PRECISION: 0.0369040, PRECISION_RECALL_MIN_DEN: 0.1263788, RECALL: 0.1222583, MAP: 0.0594474, MRR: 0.1292029, NDCG: 0.0897481, F1: 0.0566932, HIT_RATE: 0.3690395, ARHR: 0.1494407, NOVELTY: 0.0048306, AVERAGE_POPULARITY: 0.1079099, DIVERSITY_MEAN_INTER_LIST: 0.9849547, DIVERSITY_HERFINDAHL: 0.9984781, COVERAGE_ITEM: 0.4445351, COVERAGE_ITEM_CORRECT: 0.0412782, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1931546, DIVERSITY_GINI: 0.1390791, SHANNON_ENTROPY: 11.4550415, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.6219629823300152, 'l1_ratio': 0.9148525772264141, 'topK': 383, 'normalize': True} - results: ROC_AUC: 0.1715661, PRECISION: 0.0364953, PRECISION_RECALL_MIN_DEN: 0.1239786, RECALL: 0.1197271, MAP: 0.0588619, MRR: 0.1278477, NDCG: 0.0884555, F1: 0.0559374, HIT_RATE: 0.3649532, ARHR: 0.1480841, NOVELTY: 0.0049313, AVERAGE_POPULARITY: 0.0880068, DIVERSITY_MEAN_INTER_LIST: 0.9902528, DIVERSITY_HERFINDAHL: 0.9990078, COVERAGE_ITEM: 0.4649471, COVERAGE_ITEM_CORRECT: 0.0433956, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1902101, DIVERSITY_GINI: 0.1578076, SHANNON_ENTROPY: 11.8384242, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.2453986390312189, 'l1_ratio': 0.9403688216827955, 'topK': 929, 'normalize': False} - results: ROC_AUC: 0.1719313, PRECISION: 0.0365716, PRECISION_RECALL_MIN_DEN: 0.1250741, RECALL: 0.1209573, MAP: 0.0589286, MRR: 0.1279561, NDCG: 0.0888792, F1: 0.0561612, HIT_RATE: 0.3657157, ARHR: 0.1480246, NOVELTY: 0.0048752, AVERAGE_POPULARITY: 0.0984653, DIVERSITY_MEAN_INTER_LIST: 0.9877045, DIVERSITY_HERFINDAHL: 0.9987530, COVERAGE_ITEM: 0.4531511, COVERAGE_ITEM_CORRECT: 0.0414398, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1911665, DIVERSITY_GINI: 0.1472908, SHANNON_ENTROPY: 11.6350133, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.31093262856993215, 'l1_ratio': 0.2613139953404677, 'topK': 158, 'normalize': True} - results: ROC_AUC: 0.1676624, PRECISION: 0.0358052, PRECISION_RECALL_MIN_DEN: 0.1203767, RECALL: 0.1161513, MAP: 0.0571800, MRR: 0.1250281, NDCG: 0.0860921, F1: 0.0547351, HIT_RATE: 0.3580523, ARHR: 0.1448629, NOVELTY: 0.0049126, AVERAGE_POPULARITY: 0.0986843, DIVERSITY_MEAN_INTER_LIST: 0.9875011, DIVERSITY_HERFINDAHL: 0.9987327, COVERAGE_ITEM: 0.4650241, COVERAGE_ITEM_CORRECT: 0.0413474, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1861835, DIVERSITY_GINI: 0.1582918, SHANNON_ENTROPY: 11.7296498, 
