
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1813673, PRECISION: 0.0385084, PRECISION_RECALL_MIN_DEN: 0.1360233, RECALL: 0.1318474, MAP: 0.0636193, MRR: 0.1346030, NDCG: 0.0955979, F1: 0.0596063, HIT_RATE: 0.3850844, ARHR: 0.1556861, NOVELTY: 0.0047895, AVERAGE_POPULARITY: 0.1164375, DIVERSITY_MEAN_INTER_LIST: 0.9820372, DIVERSITY_HERFINDAHL: 0.9981864, COVERAGE_ITEM: 0.4421636, COVERAGE_ITEM_CORRECT: 0.0437344, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2019127, DIVERSITY_GINI: 0.1353029, SHANNON_ENTROPY: 11.3130945, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1761891, PRECISION: 0.0377099, PRECISION_RECALL_MIN_DEN: 0.1308417, RECALL: 0.1266118, MAP: 0.0614703, MRR: 0.1314503, NDCG: 0.0923765, F1: 0.0581100, HIT_RATE: 0.3770991, ARHR: 0.1522091, NOVELTY: 0.0048478, AVERAGE_POPULARITY: 0.1063517, DIVERSITY_MEAN_INTER_LIST: 0.9853272, DIVERSITY_HERFINDAHL: 0.9985153, COVERAGE_ITEM: 0.4662252, COVERAGE_ITEM_CORRECT: 0.0435573, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965522, DIVERSITY_GINI: 0.1517754, SHANNON_ENTROPY: 11.5654480, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1943897, PRECISION: 0.0424639, PRECISION_RECALL_MIN_DEN: 0.1494264, RECALL: 0.1448457, MAP: 0.0699075, MRR: 0.1454201, NDCG: 0.1046325, F1: 0.0656727, HIT_RATE: 0.4246393, ARHR: 0.1700382, NOVELTY: 0.0048937, AVERAGE_POPULARITY: 0.0983751, DIVERSITY_MEAN_INTER_LIST: 0.9876715, DIVERSITY_HERFINDAHL: 0.9987497, COVERAGE_ITEM: 0.4746949, COVERAGE_ITEM_CORRECT: 0.0531511, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2174154, DIVERSITY_GINI: 0.1620274, SHANNON_ENTROPY: 11.7604738, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1968115, PRECISION: 0.0430651, PRECISION_RECALL_MIN_DEN: 0.1530108, RECALL: 0.1484427, MAP: 0.0714708, MRR: 0.1475345, NDCG: 0.1068461, F1: 0.0667593, HIT_RATE: 0.4306509, ARHR: 0.1721758, NOVELTY: 0.0049122, AVERAGE_POPULARITY: 0.0952454, DIVERSITY_MEAN_INTER_LIST: 0.9883247, DIVERSITY_HERFINDAHL: 0.9988150, COVERAGE_ITEM: 0.4856362, COVERAGE_ITEM_CORRECT: 0.0551684, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2208129, DIVERSITY_GINI: 0.1705490, SHANNON_ENTROPY: 11.8562085, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1808074, PRECISION: 0.0384336, PRECISION_RECALL_MIN_DEN: 0.1350333, RECALL: 0.1308040, MAP: 0.0631915, MRR: 0.1343785, NDCG: 0.0950158, F1: 0.0594080, HIT_RATE: 0.3843365, ARHR: 0.1554565, NOVELTY: 0.0047998, AVERAGE_POPULARITY: 0.1141615, DIVERSITY_MEAN_INTER_LIST: 0.9828286, DIVERSITY_HERFINDAHL: 0.9982655, COVERAGE_ITEM: 0.4455207, COVERAGE_ITEM_CORRECT: 0.0438268, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013338, DIVERSITY_GINI: 0.1376465, SHANNON_ENTROPY: 11.3598364, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1782548, PRECISION: 0.0382256, PRECISION_RECALL_MIN_DEN: 0.1329104, RECALL: 0.1286372, MAP: 0.0625439, MRR: 0.1334824, NDCG: 0.0938971, F1: 0.0589351, HIT_RATE: 0.3822561, ARHR: 0.1545214, NOVELTY: 0.0048406, AVERAGE_POPULARITY: 0.1069228, DIVERSITY_MEAN_INTER_LIST: 0.9851619, DIVERSITY_HERFINDAHL: 0.9984988, COVERAGE_ITEM: 0.4592955, COVERAGE_ITEM_CORRECT: 0.0444350, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989430, DIVERSITY_GINI: 0.1484582, SHANNON_ENTROPY: 11.5403174, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1821244, PRECISION: 0.0391349, PRECISION_RECALL_MIN_DEN: 0.1360636, RECALL: 0.1316636, MAP: 0.0640138, MRR: 0.1358500, NDCG: 0.0960423, F1: 0.0603340, HIT_RATE: 0.3913488, ARHR: 0.1576960, NOVELTY: 0.0048489, AVERAGE_POPULARITY: 0.1056551, DIVERSITY_MEAN_INTER_LIST: 0.9856055, DIVERSITY_HERFINDAHL: 0.9985431, COVERAGE_ITEM: 0.4603118, COVERAGE_ITEM_CORRECT: 0.0459750, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028187, DIVERSITY_GINI: 0.1498482, SHANNON_ENTROPY: 11.5701083, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1376206, PRECISION: 0.0288346, PRECISION_RECALL_MIN_DEN: 0.1057352, RECALL: 0.1026563, MAP: 0.0468682, MRR: 0.0975170, NDCG: 0.0715799, F1: 0.0450205, HIT_RATE: 0.2883465, ARHR: 0.1104100, NOVELTY: 0.0052413, AVERAGE_POPULARITY: 0.0298875, DIVERSITY_MEAN_INTER_LIST: 0.9975691, DIVERSITY_HERFINDAHL: 0.9997393, COVERAGE_ITEM: 0.5834302, COVERAGE_ITEM_CORRECT: 0.0493782, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1587769, DIVERSITY_GINI: 0.2772460, SHANNON_ENTROPY: 13.0382592, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1798910, PRECISION: 0.0384416, PRECISION_RECALL_MIN_DEN: 0.1339187, RECALL: 0.1296056, MAP: 0.0630314, MRR: 0.1344314, NDCG: 0.0945923, F1: 0.0592937, HIT_RATE: 0.3844156, ARHR: 0.1557573, NOVELTY: 0.0048472, AVERAGE_POPULARITY: 0.1058691, DIVERSITY_MEAN_INTER_LIST: 0.9855072, DIVERSITY_HERFINDAHL: 0.9985333, COVERAGE_ITEM: 0.4606968, COVERAGE_ITEM_CORRECT: 0.0449663, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1998993, DIVERSITY_GINI: 0.1497738, SHANNON_ENTROPY: 11.5655385, 
