
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.1866035147912, 'b': 0.1386194034850811, 'c': 0.9653241639936099, 'normalize': True} - results: ROC_AUC: 0.1996895, PRECISION: 0.0438549, PRECISION_RECALL_MIN_DEN: 0.1566486, RECALL: 0.1521103, MAP: 0.0720499, MRR: 0.1482049, NDCG: 0.1084553, F1: 0.0680805, HIT_RATE: 0.4385492, ARHR: 0.1730246, NOVELTY: 0.0048512, AVERAGE_POPULARITY: 0.0958069, DIVERSITY_MEAN_INTER_LIST: 0.9884134, DIVERSITY_HERFINDAHL: 0.9988239, COVERAGE_ITEM: 0.4738479, COVERAGE_ITEM_CORRECT: 0.0565005, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2251164, DIVERSITY_GINI: 0.1625803, SHANNON_ENTROPY: 11.7939614, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.05626105288332718, 'b': 0.6784942722603287, 'c': 0.27453513539666524, 'normalize': True} - results: ROC_AUC: 0.1883864, PRECISION: 0.0405699, PRECISION_RECALL_MIN_DEN: 0.1420814, RECALL: 0.1375842, MAP: 0.0666000, MRR: 0.1409724, NDCG: 0.0999682, F1: 0.0626616, HIT_RATE: 0.4056993, ARHR: 0.1636204, NOVELTY: 0.0048155, AVERAGE_POPULARITY: 0.1020138, DIVERSITY_MEAN_INTER_LIST: 0.9879411, DIVERSITY_HERFINDAHL: 0.9987767, COVERAGE_ITEM: 0.4283580, COVERAGE_ITEM_CORRECT: 0.0496939, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2103184, DIVERSITY_GINI: 0.1357577, SHANNON_ENTROPY: 11.5710899, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.8867375721575027, 'b': 0.35780908371244197, 'c': 0.9448424391609364, 'normalize': False} - results: ROC_AUC: 0.1769500, PRECISION: 0.0382947, PRECISION_RECALL_MIN_DEN: 0.1371438, RECALL: 0.1329645, MAP: 0.0616982, MRR: 0.1296982, NDCG: 0.0938888, F1: 0.0594632, HIT_RATE: 0.3829467, ARHR: 0.1501172, NOVELTY: 0.0050883, AVERAGE_POPULARITY: 0.0523438, DIVERSITY_MEAN_INTER_LIST: 0.9958020, DIVERSITY_HERFINDAHL: 0.9995626, COVERAGE_ITEM: 0.5725428, COVERAGE_ITEM_CORRECT: 0.0561001, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2005537, DIVERSITY_GINI: 0.2519101, SHANNON_ENTROPY: 12.7528311, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.7069036746712921, 'b': 0.17395446034850773, 'c': 0.3481207791294046, 'normalize': False} - results: ROC_AUC: 0.1489803, PRECISION: 0.0319411, PRECISION_RECALL_MIN_DEN: 0.1156071, RECALL: 0.1121460, MAP: 0.0502966, MRR: 0.1064595, NDCG: 0.0776047, F1: 0.0497177, HIT_RATE: 0.3194107, ARHR: 0.1217830, NOVELTY: 0.0051974, AVERAGE_POPULARITY: 0.0332487, DIVERSITY_MEAN_INTER_LIST: 0.9973463, DIVERSITY_HERFINDAHL: 0.9997170, COVERAGE_ITEM: 0.5950337, COVERAGE_ITEM_CORRECT: 0.0522425, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1729458, DIVERSITY_GINI: 0.2786537, SHANNON_ENTROPY: 13.0120791, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.059197737139066633, 'b': 0.008472154871327466, 'c': 0.6753634552644749, 'normalize': True} - results: ROC_AUC: 0.1977294, PRECISION: 0.0429709, PRECISION_RECALL_MIN_DEN: 0.1545813, RECALL: 0.1501827, MAP: 0.0713370, MRR: 0.1465795, NDCG: 0.1072451, F1: 0.0668216, HIT_RATE: 0.4297093, ARHR: 0.1706162, NOVELTY: 0.0048157, AVERAGE_POPULARITY: 0.1030518, DIVERSITY_MEAN_INTER_LIST: 0.9858530, DIVERSITY_HERFINDAHL: 0.9985679, COVERAGE_ITEM: 0.4628835, COVERAGE_ITEM_CORRECT: 0.0542984, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2219957, DIVERSITY_GINI: 0.1531549, SHANNON_ENTROPY: 11.6193995, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7294487319606859, 'b': 0.9235986808969413, 'c': 0.8785196617384968, 'normalize': True} - results: ROC_AUC: 0.1999739, PRECISION: 0.0441836, PRECISION_RECALL_MIN_DEN: 0.1563943, RECALL: 0.1516381, MAP: 0.0720016, MRR: 0.1491869, NDCG: 0.1083830, F1: 0.0684272, HIT_RATE: 0.4418359, ARHR: 0.1746554, NOVELTY: 0.0048975, AVERAGE_POPULARITY: 0.0870243, DIVERSITY_MEAN_INTER_LIST: 0.9910769, DIVERSITY_HERFINDAHL: 0.9990902, COVERAGE_ITEM: 0.4843349, COVERAGE_ITEM_CORRECT: 0.0584100, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2255946, DIVERSITY_GINI: 0.1730099, SHANNON_ENTROPY: 11.9942663, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5928854911252461, 'b': 0.3585495528160158, 'c': 0.02803089029697093, 'normalize': False} - results: ROC_AUC: 0.1205998, PRECISION: 0.0255237, PRECISION_RECALL_MIN_DEN: 0.0940832, RECALL: 0.0913990, MAP: 0.0403201, MRR: 0.0838785, NDCG: 0.0624476, F1: 0.0399016, HIT_RATE: 0.2552368, ARHR: 0.0949842, NOVELTY: 0.0052682, AVERAGE_POPULARITY: 0.0213232, DIVERSITY_MEAN_INTER_LIST: 0.9977496, DIVERSITY_HERFINDAHL: 0.9997573, COVERAGE_ITEM: 0.6020789, COVERAGE_ITEM_CORRECT: 0.0473609, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1419655, DIVERSITY_GINI: 0.2882871, SHANNON_ENTROPY: 13.1005490, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.37040081145621623, 'b': 0.4466287748477785, 'c': 0.3884914787156526, 'normalize': False} - results: ROC_AUC: 0.1818716, PRECISION: 0.0393479, PRECISION_RECALL_MIN_DEN: 0.1411833, RECALL: 0.1369587, MAP: 0.0639896, MRR: 0.1339004, NDCG: 0.0970533, F1: 0.0611324, HIT_RATE: 0.3934788, ARHR: 0.1551195, NOVELTY: 0.0050699, AVERAGE_POPULARITY: 0.0557614, DIVERSITY_MEAN_INTER_LIST: 0.9954778, DIVERSITY_HERFINDAHL: 0.9995302, COVERAGE_ITEM: 0.5671299, COVERAGE_ITEM_CORRECT: 0.0570164, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2055870, DIVERSITY_GINI: 0.2458011, SHANNON_ENTROPY: 12.6972202, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5696674940614533, 'b': 0.25191167082106897, 'c': 0.6051407533913082, 'normalize': True} - results: ROC_AUC: 0.1955582, PRECISION: 0.0424937, PRECISION_RECALL_MIN_DEN: 0.1525650, RECALL: 0.1481636, MAP: 0.0697232, MRR: 0.1445526, NDCG: 0.1052916, F1: 0.0660446, HIT_RATE: 0.4249374, ARHR: 0.1683697, NOVELTY: 0.0049885, AVERAGE_POPULARITY: 0.0709500, DIVERSITY_MEAN_INTER_LIST: 0.9937219, DIVERSITY_HERFINDAHL: 0.9993546, COVERAGE_ITEM: 0.5343908, COVERAGE_ITEM_CORRECT: 0.0591338, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2194539, DIVERSITY_GINI: 0.2138511, SHANNON_ENTROPY: 12.4018580, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.4189765895893993, 'b': 0.7753647228219799, 'c': 0.05593188639807768, 'normalize': True} - results: ROC_AUC: 0.1980796, PRECISION: 0.0437111, PRECISION_RECALL_MIN_DEN: 0.1541634, RECALL: 0.1494197, MAP: 0.0713707, MRR: 0.1481271, NDCG: 0.1072364, F1: 0.0676350, HIT_RATE: 0.4371106, ARHR: 0.1732554, NOVELTY: 0.0048951, AVERAGE_POPULARITY: 0.0877265, DIVERSITY_MEAN_INTER_LIST: 0.9911621, DIVERSITY_HERFINDAHL: 0.9990987, COVERAGE_ITEM: 0.4732936, COVERAGE_ITEM_CORRECT: 0.0577401, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2234051, DIVERSITY_GINI: 0.1665833, SHANNON_ENTROPY: 11.9578316, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.31047060664166476, 'b': 0.0954793681640557, 'c': 0.5901585618439756, 'normalize': False} - results: ROC_AUC: 0.1915208, PRECISION: 0.0417794, PRECISION_RECALL_MIN_DEN: 0.1503417, RECALL: 0.1459241, MAP: 0.0681016, MRR: 0.1413218, NDCG: 0.1031196, F1: 0.0649599, HIT_RATE: 0.4177942, ARHR: 0.1643678, NOVELTY: 0.0049933, AVERAGE_POPULARITY: 0.0695079, DIVERSITY_MEAN_INTER_LIST: 0.9933686, DIVERSITY_HERFINDAHL: 0.9993193, COVERAGE_ITEM: 0.5448470, COVERAGE_ITEM_CORRECT: 0.0576400, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2165345, DIVERSITY_GINI: 0.2218795, SHANNON_ENTROPY: 12.4327559, 
